Rank,BankRoll Bills,SmashTag,Wins,Losses,WinPercentage
1.0,235.0,Ginger,20,4,0.833
2.0,197.0,CLG. | SFAT,12,4,0.75
3.0,168.0,Revenge | Gahtzu,8,2,0.8
4.0,144.0,S2J,4,2,0.667
5.0,124.0,LSD,14,3,0.824
6.0,113.0,KoDoRiN,8,3,0.727
7.0,104.0,Fiction,14,4,0.778
8.0,98.0,Dom,13,6,0.684
9.0,73.0,bobby big ballz,13,6,0.684
10.0,67.0,cliché,12,7,0.632
11.0,66.0,GHQ | Zamu,11,5,0.688
12.0,63.0,Golden,8,3,0.727
13.0,55.0,SANS | Blues Clues,15,7,0.682
14.0,48.0,Chem,13,10,0.565
15.0,47.0,Captain G,12,10,0.545
16.0,42.0,DD,7,4,0.636
17.0,34.0,EP | Justus,14,9,0.609
18.0,29.0,Hulka,9,6,0.6
22.0,28.0,306 | Polo,8,3,0.727
22.0,28.0,ABG | salami,8,5,0.615
22.0,28.0,MIOM | Toph,8,5,0.615
22.0,28.0,billybopeep,8,6,0.571
23.0,17.0,Hunybear,12,9,0.571
25.0,16.0,DarkGenex,11,11,0.5
25.0,16.0,Cock Lot | JEEPER,11,15,0.423
26.0,15.0,Milo,10,10,0.5
27.0,14.0,Dawson,9,8,0.529
30.0,12.0,ANTIFA CEO | Quiggles,11,14,0.44
30.0,12.0,W8ASec,7,7,0.5
30.0,12.0,:3 | Marrgasm,7,3,0.7
36.0,11.0,Pipe,6,13,0.316
36.0,11.0,GST | Ryobeat,6,2,0.75
36.0,11.0,Musashi,6,5,0.545
36.0,11.0,306 | Amrak,6,4,0.6
36.0,11.0,TheFormuoli,10,14,0.417
36.0,11.0,2Framez,6,3,0.667
37.0,10.0,Thad <3,5,4,0.556
39.0,9.0,TG NBR | Panos,4,4,0.5
39.0,9.0,NOOT,4,3,0.571
42.0,8.0,Slump,7,12,0.368
42.0,8.0,RedX,7,10,0.412
42.0,8.0,OtES,7,12,0.368
45.0,5.0,jams,4,16,0.2
45.0,5.0,DiscipleOfBorp,4,11,0.267
45.0,5.0,Vitro,4,6,0.4
46.0,4.0,Theftz,3,6,0.333
49.0,3.0,Miranda,2,4,0.333
49.0,3.0,Alex18+,2,8,0.2
49.0,3.0,Chewy,2,8,0.2
55.0,2.0,radvillainy,1,11,0.083
55.0,2.0,Strazz,1,9,0.1
55.0,2.0,Fishpaste,1,9,0.1
55.0,2.0,N8V,1,8,0.111
55.0,2.0,Ringler,1,11,0.083
55.0,2.0,ericiscool.net,1,2,0.333
60.0,1.0,Pawn,0,17,0.0
60.0,1.0,Afron,0,4,0.0
60.0,1.0,Blu-J,0,2,0.0
60.0,1.0,Frost | JJK,0,4,0.0
60.0,1.0,CarltonDanks,0,5,0.0
