SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Points,Rank,WinPercentage
1016,Fiction,11,2,0,0,0,1,0,1,26,5.0,0.8461538461538461
64692,SANS | Blues Clues,14,5,0,0,0,1,0,2,29,1.0,0.7368421052631579
65777,bobby big ballz,12,4,0,0,0,1,0,3,27,4.0,0.75
279722,EP | Justus,13,7,0,0,1,0,0,4,23,6.0,0.65
61873,306 | Polo,7,1,0,0,1,0,0,5,17,18.0,0.875
1019,CLG. | SFAT,8,2,0,0,1,0,0,6,18,16.0,0.8
26750,KoDoRiN,6,1,0,0,1,0,0,7,16,23.0,0.8571428571428571
10485,DD,6,2,0,0,1,0,0,8,16,23.0,0.75
4127,MIOM | Toph,8,3,0,0,1,0,0,9,18,16.0,0.7272727272727273
294260,ABG | salami,8,3,0,0,1,0,0,9,18,16.0,0.7272727272727273
3734,Hulka,9,4,0,0,1,0,0,11,19,12.0,0.6923076923076923
927948,cliché,10,5,0,0,1,0,0,12,20,10.0,0.6666666666666666
135157,billybopeep,8,4,0,0,1,0,0,12,18,16.0,0.6666666666666666
585236,306 | Amrak,6,4,0,1,0,0,0,14,11,35.0,0.6
327212,:3 | Marrgasm,7,3,0,1,0,0,0,15,12,29.0,0.7
12137,Cock Lot | JEEPER,11,15,0,1,0,0,0,16,16,23.0,0.4230769230769231
265808,NOOT,4,3,0,1,0,0,0,17,9,38.0,0.5714285714285714
27862,Musashi,6,5,0,1,0,0,0,18,11,35.0,0.5454545454545454
38175,W8ASec,7,7,0,1,0,0,0,19,12,29.0,0.5
38643,RedX,7,10,1,0,0,0,0,20,8,41.0,0.4117647058823529
286517,Thad <3,5,4,0,1,0,0,0,21,10,36.0,0.5555555555555556
407878,Slump,7,12,1,0,0,0,0,22,8,41.0,0.3684210526315789
4864,Theftz,3,6,1,0,0,0,0,23,4,45.0,0.3333333333333333
627118,Pipe,6,13,0,1,0,0,0,24,11,35.0,0.3157894736842105
391890,TheFormuoli,10,14,1,0,0,0,0,25,11,35.0,0.4166666666666667
51608,Vitro,4,6,1,0,0,0,0,26,5,44.0,0.4
14617,DiscipleOfBorp,4,11,1,0,0,0,0,27,5,44.0,0.26666666666666666
288395,jams,4,16,1,0,0,0,0,28,5,44.0,0.2
53365,Ringler,1,11,1,0,0,0,0,29,2,54.0,0.08333333333333333
617254,N8V,1,8,1,0,0,0,0,30,2,54.0,0.1111111111111111
2082068,CarltonDanks,0,5,1,0,0,0,0,31,1,59.0,0.0
40403,Pawn,0,17,1,0,0,0,0,31,1,59.0,0.0
61897,LSD,12,1,0,0,0,1,0,1,27,4.0,0.9230769230769231
3561,Ginger,12,3,0,0,0,1,0,2,27,4.0,0.8
21215,Dom,10,4,0,0,1,0,0,3,20,10.0,0.7142857142857143
1077,Revenge | Gahtzu,5,0,0,0,1,0,0,4,15,25.0,1.0
138710,Golden,6,1,0,0,1,0,0,5,16,23.0,0.8571428571428571
23920,GHQ | Zamu,9,3,0,0,1,0,0,6,19,12.0,0.75
709843,Chem,11,8,0,0,1,0,0,7,21,8.0,0.5789473684210527
185618,Captain G,11,8,0,0,1,0,0,7,21,8.0,0.5789473684210527
4748,GST | Ryobeat,6,2,0,1,0,0,0,9,11,35.0,0.75
465131,Hunybear,12,9,0,1,0,0,0,10,17,18.0,0.5714285714285714
147811,Dawson,9,8,0,1,0,0,0,11,14,26.0,0.5294117647058824
257025,2Framez,6,3,0,1,0,0,0,12,11,35.0,0.6666666666666666
26153,DarkGenex,11,11,0,1,0,0,0,13,16,23.0,0.5
353165,Milo,10,10,0,1,0,0,0,14,15,25.0,0.5
5618,ANTIFA CEO | Quiggles,11,14,1,0,0,0,0,15,12,29.0,0.44
16066,TG NBR | Panos,4,4,0,1,0,0,0,16,9,38.0,0.5
45356,OtES,7,12,1,0,0,0,0,17,8,41.0,0.3684210526315789
65566,Miranda,2,4,1,0,0,0,0,18,3,48.0,0.3333333333333333
255496,ericiscool.net,1,2,1,0,0,0,0,19,2,54.0,0.3333333333333333
158148,Chewy,2,8,1,0,0,0,0,20,3,48.0,0.2
241260,Alex18+,2,8,1,0,0,0,0,20,3,48.0,0.2
925369,Fishpaste,1,9,1,0,0,0,0,22,2,54.0,0.1
11945,Strazz,1,9,1,0,0,0,0,23,2,54.0,0.1
155077,radvillainy,1,11,1,0,0,0,0,24,2,54.0,0.08333333333333333
13622,Blu-J,0,2,1,0,0,0,0,25,1,59.0,0.0
424095,Frost | JJK,0,4,1,0,0,0,0,25,1,59.0,0.0
357233,Afron,0,4,1,0,0,0,0,25,1,59.0,0.0
