SmasherID,SmashTag,Wins,Losses,Placement
3561,Ginger,8,1,1
1019,CLG. | SFAT,4,2,2
1077,Revenge | Gahtzu,3,2,3
1017,S2J,4,2,4
61897,LSD,2,2,5
26750,KoDoRiN,2,2,5
21215,Dom,3,2,7
1016,Fiction,3,2,7
65777,bobby big ballz,1,2,9
138710,Golden,2,2,9
927948,cliché,2,2,9
23920,GHQ | Zamu,2,2,9
709843,Chem,2,2,13
10485,DD,1,2,13
64692,SANS | Blues Clues,1,2,13
185618,Captain G,1,2,13
4127,MIOM | Toph,0,2,17
279722,EP | Justus,1,2,17
3734,Hulka,0,2,17
61873,306 | Polo,1,2,17
294260,ABG | salami,0,2,17
135157,billybopeep,0,2,17
