SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Floated,WinPercentage
1016,Fiction,14,4,0,0,0,1,0,7,0,0.7777777777777778
64692,SANS | Blues Clues,15,7,0,0,0,1,0,13,0,0.6818181818181818
65777,bobby big ballz,13,6,0,0,0,1,0,9,0,0.6842105263157895
279722,EP | Justus,14,9,0,0,1,0,0,17,0,0.6086956521739131
61873,306 | Polo,8,3,0,0,1,0,0,17,0,0.7272727272727273
1019,CLG. | SFAT,12,4,0,0,1,0,0,2,0,0.75
26750,KoDoRiN,8,3,0,0,1,0,0,5,0,0.7272727272727273
10485,DD,7,4,0,0,1,0,0,13,0,0.6363636363636364
4127,MIOM | Toph,8,5,0,0,1,0,0,17,0,0.6153846153846154
294260,ABG | salami,8,5,0,0,1,0,0,17,0,0.6153846153846154
3734,Hulka,9,6,0,0,1,0,0,17,0,0.6
927948,cliché,12,7,0,0,1,0,0,9,0,0.631578947368421
135157,billybopeep,8,6,0,0,1,0,0,17,0,0.5714285714285714
585236,306 | Amrak,6,4,0,1,0,0,0,-1,0,0.6
327212,:3 | Marrgasm,7,3,0,1,0,0,0,-1,0,0.7
12137,Cock Lot | JEEPER,11,15,0,1,0,0,0,-1,0,0.4230769230769231
265808,NOOT,4,3,0,1,0,0,0,-1,0,0.5714285714285714
27862,Musashi,6,5,0,1,0,0,0,-1,0,0.5454545454545454
38175,W8ASec,7,7,0,1,0,0,0,-1,0,0.5
38643,RedX,7,10,1,0,0,0,0,-1,0,0.4117647058823529
286517,Thad <3,5,4,0,1,0,0,0,-1,0,0.5555555555555556
407878,Slump,7,12,1,0,0,0,0,-1,0,0.3684210526315789
4864,Theftz,3,6,1,0,0,0,0,-1,0,0.3333333333333333
627118,Pipe,6,13,0,1,0,0,0,-1,0,0.3157894736842105
391890,TheFormuoli,10,14,1,0,0,0,0,-1,0,0.4166666666666667
51608,Vitro,4,6,1,0,0,0,0,-1,0,0.4
14617,DiscipleOfBorp,4,11,1,0,0,0,0,-1,0,0.26666666666666666
288395,jams,4,16,1,0,0,0,0,-1,0,0.2
53365,Ringler,1,11,1,0,0,0,0,-1,0,0.08333333333333333
617254,N8V,1,8,1,0,0,0,0,-1,0,0.1111111111111111
2082068,CarltonDanks,0,5,1,0,0,0,0,-1,0,0.0
40403,Pawn,0,17,1,0,0,0,0,-1,0,0.0
61897,LSD,14,3,0,0,0,1,0,5,0,0.8235294117647058
3561,Ginger,20,4,0,0,0,1,0,1,0,0.8333333333333334
21215,Dom,13,6,0,0,1,0,0,7,0,0.6842105263157895
1077,Revenge | Gahtzu,8,2,0,0,1,0,0,3,0,0.8
138710,Golden,8,3,0,0,1,0,0,9,0,0.7272727272727273
23920,GHQ | Zamu,11,5,0,0,1,0,0,9,0,0.6875
709843,Chem,13,10,0,0,1,0,0,13,0,0.5652173913043478
185618,Captain G,12,10,0,0,1,0,0,13,0,0.5454545454545454
4748,GST | Ryobeat,6,2,0,1,0,0,0,-1,0,0.75
465131,Hunybear,12,9,0,1,0,0,0,-1,0,0.5714285714285714
147811,Dawson,9,8,0,1,0,0,0,-1,0,0.5294117647058824
257025,2Framez,6,3,0,1,0,0,0,-1,0,0.6666666666666666
26153,DarkGenex,11,11,0,1,0,0,0,-1,0,0.5
353165,Milo,10,10,0,1,0,0,0,-1,0,0.5
5618,ANTIFA CEO | Quiggles,11,14,1,0,0,0,0,-1,0,0.44
16066,TG NBR | Panos,4,4,0,1,0,0,0,-1,0,0.5
45356,OtES,7,12,1,0,0,0,0,-1,0,0.3684210526315789
65566,Miranda,2,4,1,0,0,0,0,-1,0,0.3333333333333333
255496,ericiscool.net,1,2,1,0,0,0,0,-1,0,0.3333333333333333
158148,Chewy,2,8,1,0,0,0,0,-1,0,0.2
241260,Alex18+,2,8,1,0,0,0,0,-1,0,0.2
925369,Fishpaste,1,9,1,0,0,0,0,-1,0,0.1
11945,Strazz,1,9,1,0,0,0,0,-1,0,0.1
155077,radvillainy,1,11,1,0,0,0,0,-1,0,0.08333333333333333
13622,Blu-J,0,2,1,0,0,0,0,-1,0,0.0
424095,Frost | JJK,0,4,1,0,0,0,0,-1,0,0.0
357233,Afron,0,4,1,0,0,0,0,-1,0,0.0
1017,S2J,4,2,0,0,0,0,0,4,1,0.6666666666666666
