SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement
64692,SANS | Blues Clues,9,2,0,0,1,0,0,1
16023,soccermom69,10,3,0,0,1,0,0,2
585236,306 | Amrak,13,5,0,0,1,0,0,3
36990,Trock,13,7,0,0,1,0,0,4
38567,Android 0,7,0,0,0,1,0,0,5
28793,Light,11,4,0,0,1,0,0,6
60696,FM | Cilan,13,6,0,0,1,0,0,7
10529,The Leaf,6,0,0,0,1,0,0,8
65777,bobby big ballz,6,1,0,0,1,0,0,9
29840,TBD,13,7,0,0,1,0,0,10
250581,Fizz,16,11,0,0,1,0,0,11
27862,Musashi,6,2,0,0,1,0,0,12
10485,DD,11,6,0,0,1,0,0,13
327212,Marrgasm,11,7,0,0,1,0,0,14
19346,SonOfJ,8,6,0,0,1,0,0,15
927948,cliché,12,9,0,0,1,0,0,15
150888,Shy,7,4,0,1,0,0,0,17
627118,Pipe,9,10,0,1,0,0,0,18
25789,Tourist,4,3,0,1,0,0,0,19
27527,Megaman,11,14,0,1,0,0,0,20
301566,JustJoshin,3,4,1,0,0,0,0,21
147251,GS | TreyTheTrashman,3,4,1,0,0,0,0,21
4197,Uncle Pete,3,6,0,1,0,0,0,23
286517,Thad <3,5,5,1,0,0,0,0,24
735376,CVSmashMods | Ripn,3,3,1,0,0,0,0,24
40403,Pawn,5,8,1,0,0,0,0,26
2085246,kippu,3,5,1,0,0,0,0,27
718293,Nico,3,8,1,0,0,0,0,28
18722,K.H.D | Reign,2,15,1,0,0,0,0,29
157632,TurboThot,1,3,1,0,0,0,0,30
229216,KaiKwonDo,2,6,1,0,0,0,0,30
528737,3OutChange,1,11,1,0,0,0,0,32
33387,pointykitty,1,19,1,0,0,0,0,33
148200,Big Pivot,0,27,1,0,0,0,0,34
21661,GLR | JAM,16,5,0,0,0,1,0,1
47866,S.C.E. | Erik,12,5,0,0,0,1,0,2
54390,Question,16,8,0,0,1,0,0,3
12353,Twisty,7,2,0,0,1,0,0,4
7201,.Ðempt,15,9,0,0,1,0,0,5
657464,CowCowCowCowCow,8,6,0,0,1,0,0,6
5618,ANTIFA CEO | Quiggles,13,10,0,0,1,0,0,7
241260,Alex18+,9,9,1,0,0,0,0,8
257025,2Framez,3,4,1,0,0,0,0,9
11945,Strazz,4,5,1,0,0,0,0,10
15948,glum oinkin',2,4,1,0,0,0,0,11
183400,Doctor Dank,2,13,1,0,0,0,0,12
223503,Rigo Bigo,5,11,1,0,0,0,0,13
641180,Luppi,1,7,1,0,0,0,0,14
2064187,Abhi,0,15,1,0,0,0,0,15
