Rank,RankChange,SmashTag,Wins,Losses,WinPercentage,BankRoll Bills
1.0,0.0,Ginger,24,6,0.8,424.0
2.0,0.0,Revenge | Gahtzu,14,2,0.875,384.0
3.0,2.0,bobby big ballz,28,11,0.718,383.0
4.0,4.0,LSD,37,4,0.902,362.0
5.0,-2.0,CLG. | SFAT,16,6,0.727,361.0
6.0,0.0,KoDoRiN,15,7,0.682,340.0
7.0,3.0,Fiction,18,6,0.75,293.0
8.0,-4.0,S2J,6,4,0.6,246.0
9.0,-2.0,SANS | Blues Clues,30,13,0.698,210.0
10.0,10.0,306 | Amrak,38,16,0.704,188.0
11.0,2.0,DD,31,18,0.633,136.0
12.0,18.0,EP | Justus,27,16,0.628,132.0
13.0,3.0,Twisty,15,8,0.652,120.0
14.0,-5.0,Android 0,11,2,0.846,116.0
15.0,-1.0,.Ãempt,29,22,0.569,114.0
16.0,New,,8,2,0.8,113.0
17.0,12.0,ANTIFA CEO | Quiggles,37,37,0.5,103.0
18.0,-7.0,Dom,14,6,0.7,99.0
19.0,-7.0,clichÃÂ©,25,18,0.581,95.0
20.0,New,JCubez,8,2,0.8,93.0
21.0,11.0,FM | Cilan,23,14,0.622,78.0
22.0,-8.0,Fizz,18,13,0.581,73.0
23.0,21.0,yingling,27,24,0.529,72.0
24.0,-8.0,GHQ | Zamu,10,5,0.667,65.0
25.0,New,SDJ,9,3,0.75,64.0
26.0,-8.0,The Leaf,8,2,0.8,63.0
26.0,-8.0,Golden,8,3,0.727,63.0
28.0,-7.0,Trock,15,9,0.625,50.0
29.0,-7.0,Chem,13,10,0.565,48.0
30.0,-7.0,Captain G,12,10,0.545,47.0
30.0,-7.0,soccermom69,12,5,0.706,47.0
32.0,-7.0,Marrgasm,18,12,0.6,43.0
32.0,12.0,Megaman,18,19,0.486,43.0
34.0,-8.0,GLR | JAM,17,7,0.708,42.0
35.0,6.0,CowCowCowCowCow,15,14,0.517,40.0
36.0,-9.0,Question,17,10,0.63,37.0
36.0,-9.0,S.C.E. | Erik,12,7,0.632,37.0
38.0,-8.0,TBD,14,9,0.609,34.0
39.0,-6.0,Light,12,6,0.667,32.0
40.0,New,Trail,10,7,0.588,30.0
41.0,-7.0,Hulka,9,6,0.6,29.0
42.0,-7.0,ABG | salami,8,5,0.615,28.0
42.0,-7.0,billybopeep,8,6,0.571,28.0
42.0,-7.0,306 | Polo,8,3,0.727,28.0
42.0,-7.0,MIOM | Toph,8,5,0.615,28.0
46.0,-7.0,Musashi,12,9,0.571,27.0
47.0,-7.0,Pipe,15,23,0.395,25.0
48.0,New,ight,8,13,0.381,19.0
49.0,New,Cowbell,13,10,0.565,18.0
49.0,-8.0,SonOfJ,8,8,0.5,18.0
51.0,-8.0,Hunybear,12,9,0.571,17.0
52.0,-8.0,DarkGenex,11,10,0.524,16.0
52.0,-8.0,Thad <3,10,9,0.526,16.0
54.0,-6.0,Milo,10,10,0.5,15.0
54.0,-6.0,2Framez,9,7,0.562,15.0
56.0,-6.0,Dawson,9,8,0.529,14.0
56.0,25.0,ericiscool.net,2,8,0.2,14.0
58.0,11.0,JustJoshin,11,13,0.458,13.0
58.0,-7.0,Alex18+,11,19,0.367,13.0
60.0,-8.0,Shy,7,4,0.636,12.0
60.0,-8.0,W8ASec,7,7,0.5,12.0
62.0,New,Kaptinkillem,6,4,0.6,11.0
62.0,-8.0,TheFormuoli,10,14,0.417,11.0
62.0,-8.0,GST | Ryobeat,6,2,0.75,11.0
65.0,New,John,5,1,0.833,10.0
65.0,New,LanTurN,9,14,0.391,10.0
65.0,16.0,TurboThot,8,11,0.421,10.0
65.0,-2.0,Pawn,7,36,0.163,10.0
69.0,-13.0,Tourist,4,3,0.571,9.0
69.0,-13.0,TG NBR | Panos,4,4,0.5,9.0
69.0,-13.0,NOOT,4,3,0.571,9.0
69.0,-6.0,Strazz,6,20,0.231,9.0
73.0,-14.0,Uncle Pete,3,6,0.333,8.0
73.0,-14.0,RedX,7,10,0.412,8.0
73.0,-14.0,OtES,7,12,0.368,8.0
73.0,-14.0,Slump,7,12,0.368,8.0
73.0,New,moscow mich,7,10,0.412,8.0
73.0,-4.0,Theftz,6,13,0.316,8.0
79.0,-10.0,kippu,5,9,0.357,7.0
80.0,-15.0,Rigo Bigo,5,11,0.312,6.0
80.0,New,eh | sickÃ¸,5,6,0.455,6.0
82.0,-16.0,DiscipleOfBorp,4,11,0.267,5.0
82.0,-16.0,jams,4,16,0.2,5.0
82.0,-16.0,Vitro,4,6,0.4,5.0
85.0,-16.0,CVSmashMods | Ripn,3,3,0.5,4.0
85.0,-16.0,Nico,3,8,0.273,4.0
85.0,New,WOMB#619 | Wombat,3,7,0.3,4.0
85.0,New,YBBT | leroydankins,3,5,0.375,4.0
85.0,New,Jakespeare,3,17,0.15,4.0
85.0,-16.0,GS | TreyTheTrashman,3,4,0.429,4.0
91.0,-16.0,Miranda,2,4,0.333,3.0
91.0,New,ZUTH | Zuthane,2,2,0.5,3.0
91.0,New,RB | V$,2,5,0.286,3.0
91.0,-16.0,Doctor Dank,2,13,0.133,3.0
91.0,-16.0,Chewy,2,8,0.2,3.0
91.0,-16.0,glum oinkin',2,4,0.333,3.0
91.0,-16.0,KaiKwonDo,2,6,0.25,3.0
91.0,-16.0,K.H.D | Reign,2,15,0.118,3.0
99.0,New,bensw,1,5,0.167,2.0
99.0,-18.0,Fishpaste,1,8,0.111,2.0
99.0,New,markrevival,1,7,0.125,2.0
99.0,-18.0,Luppi,1,7,0.125,2.0
99.0,-18.0,N8V,1,8,0.111,2.0
99.0,-18.0,3OutChange,1,11,0.083,2.0
99.0,-18.0,radvillainy,1,11,0.083,2.0
99.0,New,DCG | Spots,1,8,0.111,2.0
99.0,New,Blue Jay,1,2,0.333,2.0
99.0,-9.0,Big Pivot,0,40,0.0,2.0
99.0,New,LUNK#783 | dom,1,1,0.5,2.0
99.0,-18.0,Ringler,1,11,0.083,2.0
99.0,-18.0,pointykitty,1,19,0.05,2.0
112.0,New,LoneCubone,0,3,0.0,1.0
112.0,-22.0,Afron,0,4,0.0,1.0
112.0,-22.0,CarltonDanks,0,5,0.0,1.0
112.0,-22.0,Blu-J,0,2,0.0,1.0
112.0,New,Tomz,0,1,0.0,1.0
112.0,-22.0,Abhi,0,15,0.0,1.0
112.0,-22.0,Frost | JJK,0,4,0.0,1.0
