Rank,SmashTag,Wins,Losses,WinPercentage,BankRoll Bills
1.0,LSD,23,0,1.0,238.0
2.0,Fiction,4,2,0.667,189.0
3.0,bobby big ballz,4,2,0.667,164.0
4.0,KoDoRiN,3,2,0.6,138.0
5.0,306 | Amrak,17,5,0.773,127.0
6.0,,8,2,0.8,113.0
7.0,EP | Justus,13,7,0.65,98.0
8.0,JCubez,8,2,0.8,93.0
9.0,ANTIFA CEO | Quiggles,13,10,0.565,68.0
10.0,SDJ,9,3,0.75,64.0
11.0,SANS | Blues Clues,2,2,0.5,57.0
12.0,yingling,16,9,0.64,56.0
13.0,Twisty,5,4,0.556,55.0
14.0,DD,11,6,0.647,46.0
15.0,FM | Cilan,10,6,0.625,45.0
16.0,.Ðempt,11,11,0.5,41.0
17.0,Trail,10,7,0.588,30.0
18.0,Megaman,7,5,0.583,27.0
19.0,CowCowCowCowCow,7,6,0.538,22.0
20.0,ight,8,13,0.381,19.0
21.0,Cowbell,13,10,0.565,18.0
22.0,ericiscool.net,1,6,0.143,12.0
23.0,Kaptinkillem,6,4,0.6,11.0
24.0,LanTurN,9,14,0.391,10.0
24.0,John,5,1,0.833,10.0
26.0,JustJoshin,8,9,0.471,9.0
27.0,moscow mich,7,10,0.412,8.0
27.0,TurboThot,7,8,0.467,8.0
29.0,eh | sickø,5,6,0.455,6.0
30.0,Theftz,3,7,0.3,4.0
30.0,YBBT | leroydankins,3,5,0.375,4.0
30.0,WOMB#619 | Wombat,3,7,0.3,4.0
30.0,Jakespeare,3,17,0.15,4.0
34.0,ZUTH | Zuthane,2,2,0.5,3.0
34.0,Pawn,2,11,0.154,3.0
34.0,RB | V$,2,5,0.286,3.0
34.0,kippu,2,4,0.333,3.0
38.0,markrevival,1,7,0.125,2.0
38.0,bensw,1,5,0.167,2.0
38.0,LUNK#783 | dom,1,1,0.5,2.0
38.0,DCG | Spots,1,8,0.111,2.0
38.0,Blue Jay,1,2,0.333,2.0
38.0,Strazz,1,6,0.143,2.0
44.0,Big Pivot,0,13,0.0,1.0
44.0,Tomz,0,1,0.0,1.0
44.0,LoneCubone,0,3,0.0,1.0
