SmasherID,SmashTag,Main,FirstTMT
7201,.Ðempt,Fox,5
2122811,$W@6 | rocketf20,Puff,2
1940641,100 Days Of Solitude,Sheik,5
257025,2Framez,Unknown,1
585236,306 | Amrak,Fox,1
61873,306 | Polo,Falcon,1
528737,3OutChange,Marth,2
133666,404 YC | Salt,Falcon,5
2031615,420 | Yolk,Falcon,4
1322460,8167263631 | Notto,Peach,4
294260,ABG | salami,Fox,1
2064187,Abhi,Falco,2
1312079,ACAB | Mugen,Fox,5
2114347,adamaggy,Fox,4
357233,Afron,Luigi,1
170887,Ahung,Marth,4
241260,Alex18+,Marth,1
38567,Android 0,Falcon,2
5618,ANTIFA CEO | Quiggles,Fox,1
11603,Arctic,Falco,5
2026451,ASAPferq,Sheik,4
1682516,BABA | Babo,Marth,4
1682252,BABA | shama,Sheik,4
176387,Badboi,Unknown,4
508959,BCM | veggies,Samus,5
694497,IMP | Ben,Sheik,5
1621,bensw,Falco,3
148200,Big Pivot,Marth,2
135157,billybopeep,Pikachu,1
51055,bird | unlucky,Falco,5
264211,BLM | Rats!,Falco,4
38201,Blue Jay,Falco,1
13622,Blu-J,Fox,3
657175,Bobakanoosh,Falcon,4
65777,bobby big ballz,Falco,1
5457,Bones,Falco,4
54390,Bonn Esports | Question,Marth,2
185618,Captain G,Falcon,1
2082068,CarltonDanks,Falco,1
1325809,CB,Falco,5
164047,CG | Firebolt,Marth,4
709843,Chem,Fox,1
158148,Chewy,Link,1
1794541,Chubbz,Fox,4
451734,CID,Fox,5
152940,CLEM#112 | Clem,Falco,4
1019,CLG. | SFAT,Fox,1
927948,cliché,Falco,1
13664,codeman,Pichu,4
15298,Cowbell,Fox,3
657464,CowCowCowCowCow,Ganon,2
34980,Crispy | Chango,Puff,4
1263692,ushi,Falco,5
526019,CSR | Tezlik,Marth,5
735376,CVSmashMods | Ripn,Puff,2
259437,Daddy Icey,ICs,5
26153,DarkGenex,Fox,1
22848,darkwizard123,Fox,4
147811,Dawson,Puff,1
483428,DCG | Spots,Falco,3
10485,DD,Puff,1
171034,Den,Marth,5
41211,Denzill,Luigi,5
53131,DHB | IggyNieves,Fox,4
26701,dirtyDev,Falco,4
14617,DiscipleOfBorp,Marth,1
41492,Divine Senator Kelly,Puff,4
183400,Doctor Dank,Doc,2
21215,Dom,Marth,1
789026,Douglas.J.Gov,Falcon,4
31658,early,Falco,4
508569,eh | sickø,Fox,3
10362,Elk G | Ivayne,Falco,5
279722,EP | Justus,Fox,1
255496,ericiscool.net,Falco,1
1016,Fiction,Falco,1
162779,FISA | JoJo,Falcon,5
925369,Fishpaste,Falco,1
250581,Fizz,Sheik,2
2111424,flowjam,Fox,4
60696,FM | Cilan,Fox,2
33371,Fraud,Sheik,4
424095,Frost | JJK,Falcon,1
219919,Frozone,Falco,4
493224,Futz,Peach,5
22479,GEM | CrossFitJesus,Sheik,4
2029721,Ghost Rider,Falco,4
23920,GHQ | Zamu,Falcon,1
3561,Ginger,Falco,1
21661,GLR | JAM,Falco,2
15948,glum oinkin',Falcon,2
138710,Golden,Puff,1
147251,GS | TreyTheTrashman,Sheik,2
4748,GST | Ryobeat,Peach,1
37116,GUG | Kürv,Fox,4
64260,Hellraid,Fox,4
13765,Help,Falco,5
230537,hHerb,Falco,4
