S2J Number,SmashTag,Path
0,S2J,
1,CLG. | SFAT,S2J
1,bobby big ballz,S2J
1,Revenge | Gahtzu,S2J
1,Null,S2J
1,LSD,S2J
1,Ginger,S2J
2,yingling,S2J <- bobby big ballz
2,KoDoRiN,S2J <- CLG. | SFAT
2,SANS | Blues Clues,S2J <- CLG. | SFAT
2,RG | Far!,S2J <- bobby big ballz
2,cliché,S2J <- bobby big ballz
2,306 | Amrak,S2J <- bobby big ballz
2,GST | Ryobeat,S2J <- Null
2,Dom,S2J <- LSD
2,GUG | Kürv,S2J <- CLG. | SFAT
2,SonOfJ,S2J <- bobby big ballz
2,Golden,S2J <- Ginger
2,Spiral Cafe | Krudo,S2J <- bobby big ballz
2,Westballz,S2J <- Null
2,Fiction,S2J <- bobby big ballz
3,FM | Cilan,S2J <- bobby big ballz <- 306 | Amrak
3,Thad <3,S2J <- bobby big ballz <- yingling
3,AlyJ,S2J <- bobby big ballz <- yingling
3,Elk G | Ivayne,S2J <- bobby big ballz <- yingling
3,LAG,S2J <- bobby big ballz <- yingling
3,Pappi,S2J <- bobby big ballz <- cliché
3,Young,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,TBD,S2J <- bobby big ballz <- yingling
3,Hulka,S2J <- bobby big ballz <- yingling
3,USF | Quadae,S2J <- bobby big ballz <- RG | Far!
3,Pipe,S2J <- bobby big ballz <- cliché
3,ManRay,S2J <- bobby big ballz <- cliché
3,noChill,S2J <- CLG. | SFAT <- KoDoRiN
3,Ben,S2J <- CLG. | SFAT <- KoDoRiN
3,Vish,S2J <- bobby big ballz <- yingling
3,Typhoon,S2J <- bobby big ballz <- yingling
3,SLO | GrizzlyBair,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,RedX,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,DD,S2J <- bobby big ballz <- cliché
3,S.C.E. | Erik,S2J <- bobby big ballz <- RG | Far!
3,MIOM | Toph,S2J <- bobby big ballz <- yingling
3,ycz6,S2J <- bobby big ballz <- cliché
3,DarkGenex,S2J <- bobby big ballz <- Spiral Cafe | Krudo
3,Marrgasm,S2J <- bobby big ballz <- yingling
3,Twisty,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,NOOT,S2J <- CLG. | SFAT <- GUG | Kürv
3,Mango's Friend | Lucky,S2J <- Null <- Westballz
3,Light,S2J <- bobby big ballz <- cliché
3,Trock,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,Neologism,S2J <- Null <- GST | Ryobeat
3,soccermom69,S2J <- bobby big ballz <- SonOfJ
3,ROFL,S2J <- bobby big ballz <- cliché
3,Android 0,S2J <- CLG. | SFAT <- KoDoRiN
3,EP | Justus,S2J <- bobby big ballz <- yingling
3,TG NBR | Panos,S2J <- Null <- GST | Ryobeat
3,CG | Firebolt,S2J <- bobby big ballz <- cliché
3,Fizz,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,The Leaf,S2J <- CLG. | SFAT <- KoDoRiN
3,Bones,S2J <- CLG. | SFAT <- SANS | Blues Clues
3,SDJ,S2J <- bobby big ballz <- yingling
3,HWY | ybot,S2J <- bobby big ballz <- cliché
3,ABG | salami,S2J <- bobby big ballz <- yingling
3,ScrubUp,S2J <- bobby big ballz <- cliché
3,Megaman,S2J <- bobby big ballz <- cliché
3,Milo,S2J <- LSD <- Dom
3,Vitro,S2J <- bobby big ballz <- yingling
3,306 | Polo,S2J <- bobby big ballz <- yingling
3,GEM | CrossFitJesus,S2J <- bobby big ballz <- cliché
3,WW | Lemonjuices,S2J <- bobby big ballz <- cliché
3,billybopeep,S2J <- bobby big ballz <- yingling
4,Phantom Airline,S2J <- CLG. | SFAT <- SANS | Blues Clues <- Young
4,Gaz,S2J <- bobby big ballz <- 306 | Amrak <- FM | Cilan
4,Eastwood,S2J <- bobby big ballz <- yingling <- Vish
4,JCubez,S2J <- bobby big ballz <- yingling <- AlyJ
4,CowCowCowCowCow,S2J <- CLG. | SFAT <- SANS | Blues Clues <- Young
4,ePG | Chevy,S2J <- bobby big ballz <- 306 | Amrak <- FM | Cilan
4,KaiKwonDo,S2J <- bobby big ballz <- yingling <- Thad <3
4,Soltrain,S2J <- bobby big ballz <- yingling <- Thad <3
4,8-bit | dansdaman,S2J <- bobby big ballz <- 306 | Amrak <- FM | Cilan
4,snacklepackle,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae
4,John,S2J <- bobby big ballz <- yingling <- Vish
4,Elysian,S2J <- bobby big ballz <- cliché <- Pipe
4,Ghost Rider,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae
4,Penguis,S2J <- bobby big ballz <- 306 | Amrak <- FM | Cilan
4,Chewy,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos
4,Help,S2J <- bobby big ballz <- cliché <- Megaman
4,Phorox,S2J <- CLG. | SFAT <- SANS | Blues Clues <- RedX
4,Zave,S2J <- bobby big ballz <- yingling <- LAG
4,ANTIFA CEO | Quiggles,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae
4,thesiscat,S2J <- bobby big ballz <- yingling <- Thad <3
4,2Framez,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos
4,BLM | Rats!,S2J <- bobby big ballz <- yingling <- LAG
4,.Ðempt,S2J <- bobby big ballz <- cliché <- Light
4,404 YC | Salt,S2J <- bobby big ballz <- yingling <- LAG
4,Uncle Pete,S2J <- bobby big ballz <- cliché <- Megaman
4,Bonn Esports | Question,S2J <- bobby big ballz <- RG | Far! <- S.C.E. | Erik
4,jams,S2J <- bobby big ballz <- cliché <- Pipe
4,olé,S2J <- bobby big ballz <- RG | Far! <- S.C.E. | Erik
4,GLR | JAM,S2J <- bobby big ballz <- 306 | Amrak <- FM | Cilan
4,Crispy | Chango,S2J <- bobby big ballz <- yingling <- LAG
4,TheFormuoli,S2J <- bobby big ballz <- cliché <- Pipe
4,Chem,S2J <- bobby big ballz <- cliché <- DD
4,Musashi,S2J <- bobby big ballz <- cliché <- Pipe
4,Solo.,S2J <- bobby big ballz <- cliché <- Pipe
4,Hunybear,S2J <- bobby big ballz <- Spiral Cafe | Krudo <- DarkGenex
4,Denzill,S2J <- bobby big ballz <- yingling <- LAG
4,YoungHanSolo,S2J <- bobby big ballz <- yingling <- Elk G | Ivayne
4,Captain G,S2J <- bobby big ballz <- Spiral Cafe | Krudo <- DarkGenex
4,moscow mich,S2J <- bobby big ballz <- cliché <- Megaman
4,W8ASec,S2J <- bobby big ballz <- yingling <- Thad <3
4,Maher,S2J <- bobby big ballz <- yingling <- Marrgasm
4,GS | TreyTheTrashman,S2J <- CLG. | SFAT <- SANS | Blues Clues <- Fizz
4,darkwizard123,S2J <- CLG. | SFAT <- GUG | Kürv <- NOOT
4,Slump,S2J <- bobby big ballz <- yingling <- Thad <3
4,Dawson,S2J <- bobby big ballz <- Spiral Cafe | Krudo <- DarkGenex
4,Shy,S2J <- CLG. | SFAT <- SANS | Blues Clues <- Fizz
4,Rive,S2J <- CLG. | SFAT <- SANS | Blues Clues <- RedX
4,GHQ | Zamu,S2J <- bobby big ballz <- yingling <- Hulka
4,DHB | IggyNieves,S2J <- bobby big ballz <- yingling <- LAG
4,Cowbell,S2J <- bobby big ballz <- cliché <- Pipe
4,Chubbz,S2J <- bobby big ballz <- yingling <- Thad <3
4,Trail,S2J <- bobby big ballz <- RG | Far! <- S.C.E. | Erik
4,Panda,S2J <- bobby big ballz <- RG | Far! <- S.C.E. | Erik
4,JustJoshin,S2J <- bobby big ballz <- cliché <- DD
5,YBBT | leroydankins,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich
5,Arctic,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,Talen,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,STP,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,Pawn,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich
5,Kaptinkillem,S2J <- bobby big ballz <- cliché <- Megaman <- moscow mich
5,Den,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,Douglas.J.Gov,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae <- snacklepackle
5,Stone,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae <- snacklepackle
5,TC | BuyMyMixTape,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae <- snacklepackle
5,Travy,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,UARK | VentusWK,S2J <- bobby big ballz <- RG | Far! <- USF | Quadae <- snacklepackle
5,Alex18+,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,Ringler,S2J <- bobby big ballz <- yingling <- Thad <3 <- Slump
5,eh | sickø,S2J <- bobby big ballz <- cliché <- Pipe <- Cowbell
5,Futz,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
5,CSR | Tezlik,S2J <- Null <- GST | Ryobeat <- TG NBR | Panos <- Chewy
