Pawn Number,SmashTag,Path
0,Pawn,
1,YBBT | leroydankins,Pawn
1,Thad <3,Pawn
1,ePG | Chevy,Pawn
1,KaiKwonDo,Pawn
1,yingling,Pawn
1,pointykitty,Pawn
1,LAG,Pawn
1,John,Pawn
1,Elysian,Pawn
1,Pipe,Pawn
1,Phorox,Pawn
1,cliché,Pawn
1,markrevival,Pawn
1,Vish,Pawn
1,bobby big ballz,Pawn
1,SLO | GrizzlyBair,Pawn
1,RedX,Pawn
1,DD,Pawn
1,Divine Senator Kelly,Pawn
1,MIOM | Toph,Pawn
1,Marrgasm,Pawn
1,NOOT,Pawn
1,Fraud,Pawn
1,jams,Pawn
1,CVSmashMods | Ripn,Pawn
1,SDJ | SudoJoe,Pawn
1,Crispy | Chango,Pawn
1,EP | Justus,Pawn
1,Tourist,Pawn
1,TheFormuoli,Pawn
1,Theftz,Pawn
1,DiscipleOfBorp,Pawn
1,Watermelons,Pawn
1,darkwizard123,Pawn
1,Slump,Pawn
1,Rive,Pawn
1,bird | unlucky,Pawn
1,ScrubUp,Pawn
1,Megaman,Pawn
1,SonOfJ,Pawn
1,Null,Pawn
1,TurboThot,Pawn
1,Cowbell,Pawn
1,WOMB#619 | Wombat,Pawn
1,billybopeep,Pawn
2,CLG. | SFAT,Pawn <- yingling
2,FM | Cilan,Pawn <- YBBT | leroydankins
2,Gaz,Pawn <- Phorox
2,Eastwood,Pawn <- Vish
2,JCubez,Pawn <- Vish
2,AlyJ,Pawn <- Thad <3
2,Kettering,Pawn <- pointykitty
2,Soltrain,Pawn <- Thad <3
2,8-bit | dansdaman,Pawn <- YBBT | leroydankins
2,Elk G | Ivayne,Pawn <- yingling
2,KoDoRiN,Pawn <- ePG | Chevy
2,Pappi,Pawn <- LAG
2,Young,Pawn <- Vish
2,hHerb,Pawn <- pointykitty
2,TBD,Pawn <- KaiKwonDo
2,Hulka,Pawn <- YBBT | leroydankins
2,ManRay,Pawn <- John
2,SANS | Blues Clues,Pawn <- ePG | Chevy
2,RG | Far!,Pawn <- KaiKwonDo
2,Penguis,Pawn <- markrevival
2,noChill,Pawn <- John
2,Help,Pawn <- KaiKwonDo
2,Zave,Pawn <- LAG
2,Rozu,Pawn <- markrevival
2,Ben,Pawn <- LAG
2,Typhoon,Pawn <- yingling
2,ANTIFA CEO | Quiggles,Pawn <- DD
2,Silkylaroux,Pawn <- pointykitty
2,S2J,Pawn <- Thad <3
2,S.C.E. | Erik,Pawn <- LAG
2,thesiscat,Pawn <- Thad <3
2,BLM | Rats!,Pawn <- LAG
2,306 | Amrak,Pawn <- YBBT | leroydankins
2,Kaptinkillem,Pawn <- TurboThot
2,404 YC | Salt,Pawn <- LAG
2,ycz6,Pawn <- LAG
2,Revenge | Gahtzu,Pawn <- bobby big ballz
2,Twisty,Pawn <- cliché
2,Melos,Pawn <- SDJ | SudoJoe
2,Uncle Pete,Pawn <- Megaman
2,Jorge,Pawn <- pointykitty
2,Mango's Friend | Lucky,Pawn <- NOOT
2,Ringler,Pawn <- Slump
2,Light,Pawn <- Thad <3
2,Trock,Pawn <- Pipe
2,GST | Ryobeat,Pawn <- Null
2,Neologism,Pawn <- Pipe
2,soccermom69,Pawn <- Thad <3
2,eh | sickø,Pawn <- Cowbell
2,100 Days Of Solitude,Pawn <- SDJ | SudoJoe
2,ROFL,Pawn <- LAG
2,Android 0,Pawn <- pointykitty
2,CG | Firebolt,Pawn <- pointykitty
2,LanTurN,Pawn <- YBBT | leroydankins
2,Chem,Pawn <- DD
2,Fizz,Pawn <- KaiKwonDo
2,Musashi,Pawn <- pointykitty
2,Solo.,Pawn <- Pipe
2,Dom,Pawn <- cliché
2,Denzill,Pawn <- LAG
2,GUG | Kürv,Pawn <- KaiKwonDo
2,Frozone,Pawn <- markrevival
2,Captain G,Pawn <- billybopeep
2,moscow mich,Pawn <- markrevival
2,W8ASec,Pawn <- Thad <3
2,Maher,Pawn <- Marrgasm
2,The Leaf,Pawn <- Marrgasm
2,K.H.D | Reign,Pawn <- WOMB#619 | Wombat
2,adamaggy,Pawn <- pointykitty
2,BABA | shama,Pawn <- Fraud
2,SDJ,Pawn <- yingling
2,3OutChange,Pawn <- pointykitty
2,Shy,Pawn <- Megaman
2,HWY | ybot,Pawn <- pointykitty
2,GHQ | Zamu,Pawn <- DD
2,ABG | salami,Pawn <- yingling
2,Yamasaki,Pawn <- WOMB#619 | Wombat
2,kippu,Pawn <- pointykitty
2,saacdaddy,Pawn <- Watermelons
2,DHB | IggyNieves,Pawn <- pointykitty
2,Vitro,Pawn <- yingling
2,306 | Polo,Pawn <- yingling
2,Troy,Pawn <- markrevival
2,LSD,Pawn <- yingling
2,GEM | CrossFitJesus,Pawn <- Pipe
