CLG. | SFAT Number,SmashTag,Path
0,CLG. | SFAT,
1,GUG | Kürv,CLG. | SFAT
1,KoDoRiN,CLG. | SFAT
1,SANS | Blues Clues,CLG. | SFAT
1,PEP | LSD,CLG. | SFAT
1,bobby big ballz,CLG. | SFAT
1,Ginger,CLG. | SFAT
1,S2J,CLG. | SFAT
2,LFG | Eddy Mexico,CLG. | SFAT <- SANS | Blues Clues
2,Divine Senator Kelly,CLG. | SFAT <- SANS | Blues Clues
2,NOOT,CLG. | SFAT <- GUG | Kürv
2,Bones,CLG. | SFAT <- GUG | Kürv
2,LAG,CLG. | SFAT <- GUG | Kürv
2,YC | Pappi,CLG. | SFAT <- SANS | Blues Clues
2,cliché,CLG. | SFAT <- bobby big ballz
2,Golden,CLG. | SFAT <- SANS | Blues Clues
2,IMP | Ben,CLG. | SFAT <- GUG | Kürv
2,Typhoon,CLG. | SFAT <- GUG | Kürv
2,NoFuxGiven,CLG. | SFAT <- SANS | Blues Clues
2,RedX,CLG. | SFAT <- SANS | Blues Clues
2,DD,CLG. | SFAT <- SANS | Blues Clues
2,Erik,CLG. | SFAT <- PEP | LSD
2,306 | Amrak,CLG. | SFAT <- bobby big ballz
2,ycz6,CLG. | SFAT <- GUG | Kürv
2,Revenge | Gahtzu,CLG. | SFAT <- PEP | LSD
2,Twisty,CLG. | SFAT <- SANS | Blues Clues
2,Trock,CLG. | SFAT <- SANS | Blues Clues
2,Young,CLG. | SFAT <- SANS | Blues Clues
2,Hulka,CLG. | SFAT <- SANS | Blues Clues
2,Android 0,CLG. | SFAT <- KoDoRiN
2,EP | Justus,CLG. | SFAT <- SANS | Blues Clues
2,Fizz,CLG. | SFAT <- SANS | Blues Clues
2,Dom,CLG. | SFAT <- PEP | LSD
2,SLO | GrizzlyBair,CLG. | SFAT <- SANS | Blues Clues
2,The Leaf,CLG. | SFAT <- KoDoRiN
2,Thad <3,CLG. | SFAT <- SANS | Blues Clues
2,yingling,CLG. | SFAT <- bobby big ballz
2,ABG | salami,CLG. | SFAT <- KoDoRiN
2,SonOfJ,CLG. | SFAT <- bobby big ballz
2,306 | Polo,CLG. | SFAT <- SANS | Blues Clues
2,Null,CLG. | SFAT <- GUG | Kürv
2,RG | Far!,CLG. | SFAT <- KoDoRiN
2,noChill,CLG. | SFAT <- KoDoRiN
2,Spiral Cafe | Krudo,CLG. | SFAT <- bobby big ballz
2,Westballz,CLG. | SFAT <- GUG | Kürv
2,Fiction,CLG. | SFAT <- SANS | Blues Clues
3,Higgins,CLG. | SFAT <- PEP | LSD <- Erik
3,NGG | Jflex,CLG. | SFAT <- GUG | Kürv <- Typhoon
3,Gaz,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,JCubez,CLG. | SFAT <- PEP | LSD <- Erik
3,CowCowCowCowCow,CLG. | SFAT <- SANS | Blues Clues <- Young
3,Rive,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,TPN,CLG. | SFAT <- GUG | Kürv <- LAG
3,ScrubUp,CLG. | SFAT <- GUG | Kürv <- LAG
3,Boy,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly
3,Pipe,CLG. | SFAT <- bobby big ballz <- cliché
3,Cowbell,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly
3,Help,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly
3,MordecaiPielord,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,PQ2 | CPU0,CLG. | SFAT <- SANS | Blues Clues <- LFG | Eddy Mexico
3,Dandy,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,ParkedInTraffic | Commas,CLG. | SFAT <- SANS | Blues Clues <- RedX
3,Enrique Iglesias,CLG. | SFAT <- SANS | Blues Clues <- Divine Senator Kelly
3,ANTIFA CEO | Quiggles,CLG. | SFAT <- SANS | Blues Clues <- DD
