Rank,SmashTag,EnteredTMT
1.0,CLG. | SFAT,1.0
2.0,bobby big ballz,1.0
3.0,S2J,0.0
4.0,KoDoRiN,0.0
5.0,PEP | LSD,0.0
6.0,Ginger,0.0
7.0,Revenge | Gahtzu,0.0
8.0,IMP | Ben,1.0
9.0,SANS | Blues Clues,1.0
10.0,Erik,1.0
13.0,GUG | Kürv,1.0
15.0,ANTIFA CEO | Quiggles,1.0
30.0,Mango's Friend | Lucky,1.0
33.0,CowCowCowCowCow,1.0
37.0,GLR | JAM,1.0
48.0,NGG | Jflex,1.0
50.0,Typhoon,1.0
163.0,CardsNG,1.0
190.0,TNC | n3zModGod,1.0
NA,SFOP,1.0
NA,DontTestMe,1.0
NA,GOL | JSalt,1.0
NA,LFG | PanterA,1.0
NA,Lotfy,1.0
NA,MT,1.0
NA,:3 | fenceturtle,1.0
NA,RB | Cum Fox,1.0
NA,RCS | Savestate,1.0
