Character,Points,SmashTag
Falco,828.0,bobby big ballz
Falco,587.0,Ginger
Falco,293.0,Fiction
Falco,155.0,cliché
Falco,127.0,Bones
Falco,115.0,NOOT
Falco,94.0,yingling
Falco,94.0,GLR | JAM
Falco,86.0,Neologism
Falco,83.0,TBD
Falco,83.0,Westballz
Falco,78.0,Ghost Rider
Falco,49.0,Pappi
Falco,33.0,Elk G | Ivayne
Falco,32.0,Light
Falco,28.0,Arctic
Falco,27.0,Pawn
Falco,25.0,ericiscool.net
Falco,24.0,KaiKwonDo
Falco,19.0,John
Falco,19.0,ROFL
Falco,17.0,CLEM#112 | Clem
Falco,17.0,Help
Falco,17.0,Jakespeare
Falco,15.0,BLM | Rats!
Falco,13.0,JustJoshin
Falco,13.0,hHerb
Falco,12.0,Shy
Falco,11.0,CB
Falco,11.0,TheFormuoli
Falco,11.0,Kaptinkillem
Falco,10.0,WOMB#619 | Wombat
Falco,8.0,TC | BuyMyMixTape
Falco,8.0,SDJ | SudoJoe
Falco,8.0,Slump
Falco,8.0,YoungHanSolo
Falco,8.0,bird | unlucky
Falco,7.0,dirtyDev
Falco,7.0,Melos
Falco,6.0,UARK | VentusWK
Falco,6.0,HorseGirl420
Falco,6.0,Rigo Bigo
Falco,4.0,Nico
Falco,4.0,rickey_kc
Falco,3.0,ZUTH | Zuthane
Falco,3.0,Frozone
Falco,2.0,early
Falco,2.0,bensw
Falco,2.0,Luppi
Falco,2.0,Fishpaste
Falco,2.0,DCG | Spots
Falco,1.0,LVD | Super
Falco,1.0,CarltonDanks
Falco,1.0,Abhi
Falco,1.0,Blu-J
Falco,1.0,PP | Droze
Falco,1.0,Snickerdoodle
Marth,705.0,KoDoRiN
Marth,690.0,LSD
Marth,99.0,Dom
Marth,63.0,Bonn Esports | Question
Marth,47.0,soccermom69
Marth,44.0,Maher
Marth,29.0,HWY | ybot
Marth,28.0,Phantom Airline
Marth,26.0,CG | Firebolt
Marth,26.0,Alex18+
Marth,26.0,Thad <3
Marth,13.0,pointykitty
Marth,12.0,Den
Marth,12.0,CSR | Tezlik
Marth,10.0,OXY | TheCrimsonBlur
Marth,10.0,Big Pivot
Marth,9.0,Tourist
Marth,9.0,kippu
Marth,8.0,moscow mich
Marth,8.0,Uncle Pete
Marth,7.0,Yamasaki
Marth,6.0,Watermelons
Marth,5.0,DiscipleOfBorp
Marth,5.0,Vitro
Marth,3.0,Ahung
Marth,3.0,RB | V$
Marth,2.0,BABA | Babo
Marth,2.0,N8V
Marth,2.0,LUNK#783 | dom
Marth,2.0,KLAWHAU5
Marth,2.0,3OutChange
Sheik,269.0,Ben
Sheik,157.0,RG | Far!
Sheik,136.0,Fizz
Sheik,86.0,Pipe
Sheik,74.0,Spiral Cafe | Krudo
Sheik,71.0,Hulka
Sheik,31.0,GEM | CrossFitJesus
Sheik,22.0,LanTurN
Sheik,14.0,ScrubUp
Sheik,13.0,Talen
Sheik,12.0,Zeph
Sheik,12.0,BABA | shama
Sheik,7.0,TT | Dair
Sheik,7.0,Fraud
Sheik,5.0,100 Days Of Solitude
Sheik,4.0,GS | TreyTheTrashman
Sheik,2.0,ASAPferq
Sheik,1.0,LoneCubone
Sheik,1.0,lemon
Sheik,1.0,Just Jason
Sheik,1.0,Rose
ICs,56.0,Trail
ICs,1.0,Daddy Icey
Falcon,856.0,S2J
Falcon,491.0,Revenge | Gahtzu
Falcon,299.0,JCubez
Falcon,116.0,Android 0
Falcon,66.0,404 YC | Salt
Falcon,65.0,GHQ | Zamu
Falcon,60.0,snacklepackle
Falcon,59.0,ight
Falcon,55.0,TG NBR | Panos
Falcon,47.0,Captain G
Falcon,28.0,306 | Polo
Falcon,18.0,Rive
Falcon,14.0,Douglas.J.Gov
Falcon,13.0,Silkylaroux
Falcon,12.0,W8ASec
Falcon,10.0,FISA | JoJo
Falcon,9.0,Bobakanoosh
Falcon,8.0,420 | Yolk
Falcon,6.0,Kettering
Falcon,5.0,sucordie
Falcon,5.0,radvillainy
Falcon,4.0,saacdaddy
Falcon,3.0,glum oinkin'
Falcon,2.0,Schweppes
Falcon,1.0,Sax
Falcon,1.0,Raffshot
Falcon,1.0,Frost | JJK
Puff,203.0,DD
Puff,64.0,SDJ
Puff,63.0,Golden
Puff,29.0,Crispy | Chango
Puff,15.0,SLO | GrizzlyBair
Puff,14.0,Dawson
Puff,11.0,Divine Senator Kelly
Puff,8.0,Theftz
Puff,4.0,CVSmashMods | Ripn
Puff,1.0,$W@6 | rocketf20
Fox,815.0,CLG. | SFAT
Fox,245.0,S.C.E. | Erik
Fox,188.0,306 | Amrak
Fox,186.0,ANTIFA CEO | Quiggles
Fox,149.0,Null
Fox,132.0,EP | Justus
Fox,120.0,Twisty
Fox,114.0,.Ðempt
Fox,108.0,Mango's Friend | Lucky
Fox,103.0,GUG | Kürv
Fox,101.0,FM | Cilan
Fox,71.0,Marrgasm
Fox,63.0,The Leaf
Fox,56.0,Megaman
Fox,50.0,Trock
Fox,48.0,Chem
Fox,41.0,DarkGenex
Fox,39.0,Cowbell
Fox,34.0,Panda
Fox,28.0,MIOM | Toph
Fox,28.0,ABG | salami
Fox,27.0,Musashi
Fox,22.0,WW | Lemonjuices
Fox,21.0,darkwizard123
Fox,18.0,SonOfJ
Fox,17.0,Jorge
Fox,15.0,Milo
Fox,15.0,Chubbz
Fox,15.0,Solo.
Fox,15.0,markrevival
Fox,15.0,YBBT | leroydankins
Fox,14.0,DHB | IggyNieves
Fox,10.0,TurboThot
Fox,10.0,olé
Fox,9.0,adamaggy
Fox,8.0,OtES
Fox,6.0,Troy
Fox,6.0,eh | sickø
Fox,6.0,Stone
Fox,4.0,Lust
Fox,4.0,CID
Fox,2.0,Blue Jay
Fox,1.0,Hellraid
Fox,1.0,flowjam
Fox,1.0,Sleeepy
Fox,1.0,ACAB | Mugen
Peach,341.0,SANS | Blues Clues
Peach,54.0,GST | Ryobeat
Peach,22.0,Soltrain
Peach,4.0,Futz
Peach,4.0,punished | gelp
Peach,1.0,8167263631 | Notto
MidTiers,91.0,CowCowCowCowCow
MidTiers,34.0,QoT | Cruelscotty
MidTiers,28.0,Travy
MidTiers,28.0,billybopeep
MidTiers,21.0,STP
MidTiers,21.0,ycz6
MidTiers,11.0,Maruf
MidTiers,11.0,Denzill
MidTiers,9.0,Strazz
MidTiers,7.0,TNC | n3zModGod
MidTiers,7.0,Sporsinick
MidTiers,7.0,Miranda
MidTiers,7.0,BCM | veggies
MidTiers,6.0,K.H.D | Reign
MidTiers,5.0,jams
MidTiers,4.0,Special K
MidTiers,4.0,snek
MidTiers,3.0,Doctor Dank
MidTiers,1.0,Afron
Other,109.0,LAG
Other,108.0,Young
Other,71.0,AlyJ
Other,67.0,ePG | Chevy
Other,45.0,Vish
Other,40.0,USF | Quadae
Other,36.0,RedX
Other,23.0,Typhoon
Other,22.0,Elysian
Other,21.0,Chewy
Other,18.0,8-bit | dansdaman
Other,17.0,Hunybear
Other,17.0,Gaz
Other,16.0,noChill
Other,15.0,2Framez
Other,15.0,thesiscat
Other,12.0,Phorox
Other,12.0,codeman
Other,12.0,Zave
Other,11.0,Mounir
Other,10.0,Rozu
Other,8.0,ManRay
Other,7.0,Penguis
Other,7.0,Hamburglar
Other,6.0,Drewski
Other,5.0,Eastwood
Other,4.0,SRN | Soulrifle211
Other,4.0,gbio
Other,4.0,jtetter
Other,3.0,Night
Other,2.0,ButterRoyaleTV
Other,2.0,Ringler
Other,2.0,JCobbs
Other,2.0,BEBO
Other,1.0,Snoos
Other,1.0,Badboi
Other,1.0,Tomz
