Character,SmashTag,Points
Falco,bobby big ballz,1217.0
Falco,Ginger,587.0
Falco,Fiction,293.0
Falco,Bones,198.0
Falco,cliché,174.0
Falco,YC | Pappi,167.0
Falco,NOOT,163.0
Falco,GLR | JAM,141.0
Falco,yingling,94.0
Falco,Neologism,86.0
Falco,TBD,83.0
Falco,Westballz,83.0
Falco,Ghost Rider,78.0
Falco,AlyJ,71.0
Falco,NoFuxGiven,38.0
Falco,Elk G | Ivayne,33.0
Falco,Light,32.0
Falco,Pawn,31.0
Falco,Help,31.0
Falco,Arctic,28.0
Falco,ericiscool.net,27.0
Falco,Kaptinkillem,24.0
Falco,KaiKwonDo,24.0
Falco,shoelegend88,21.0
Falco,ROFL,19.0
Falco,John,19.0
Falco,Jolf,19.0
Falco,CLEM#112 | Clem,17.0
Falco,Jakespeare,17.0
Falco,ushi,17.0
Falco,dirtyDev,17.0
Falco,jtetter,16.0
Falco,thesiscat,15.0
Falco,BLM | Rats!,15.0
Falco,hHerb,13.0
Falco,JustJoshin,13.0
Falco,Shy,12.0
Falco,Zave,12.0
Falco,TheFormuoli,11.0
Falco,CB,11.0
Falco,WOMB#619 | Wombat,10.0
Falco,Penguis,9.0
Falco,Slump,8.0
Falco,Luppi,8.0
Falco,bird | unlucky,8.0
Falco,TC | BuyMyMixTape,8.0
Falco,YoungHanSolo,8.0
Falco,Spi,7.0
Falco,Melos,7.0
Falco,Drewski,6.0
Falco,HorseGirl420,6.0
Falco,dabt,6.0
Falco,UARK | VentusWK,6.0
Falco,Rigo Bigo,6.0
Falco,melatonin,4.0
Falco,rickey_kc,4.0
Falco,Nico,4.0
Falco,Blanks,4.0
Falco,ZUTH | Zuthane,3.0
Falco,Frozone,3.0
Falco,DCG | Spots,2.0
Falco,Blue Jay,2.0
Falco,bensw,2.0
Falco,early,2.0
Falco,ButterRoyaleTV,2.0
Falco,Fishpaste,2.0
Falco,Abhi,1.0
Falco,CarltonDanks,1.0
Falco,LVD | Super,1.0
Falco,Yuki08,1.0
Falco,Snickerdoodle,1.0
Falco,PP | Droze,1.0
Marth,KoDoRiN,761.0
Marth,PEP | LSD,726.0
Marth,Young,108.0
Marth,Dom,99.0
Marth,Typhoon,95.0
Marth,Bonn Esports | Question,63.0
Marth,soccermom69,47.0
Marth,Phantom Airline,44.0
Marth,Maher,44.0
Marth,HWY | ybot,29.0
Marth,Thad <3,29.0
Marth,CG | Firebolt,26.0
Marth,Alex18+,26.0
Marth,Den,15.0
Marth,Yamasaki,14.0
Marth,pointykitty,13.0
Marth,CSR | Tezlik,12.0
Marth,OXY | TheCrimsonBlur,10.0
Marth,Big Pivot,10.0
Marth,BEBO,10.0
Marth,kippu,9.0
Marth,Tourist,9.0
Marth,moscow mich,8.0
Marth,Uncle Pete,8.0
Marth,Hamburglar,7.0
Marth,Watermelons,6.0
Marth,Acuna,6.0
Marth,DiscipleOfBorp,5.0
Marth,Vitro,5.0
Marth,RB | V$,3.0
Marth,Ahung,3.0
Marth,BABA | Babo,2.0
Marth,KLAWHAU5,2.0
Marth,N8V,2.0
Marth,3OutChange,2.0
Marth,LUNK#783 | dom,2.0
Sheik,IMP | Ben,571.0
Sheik,NGG | Jflex,166.0
Sheik,RG | Far!,157.0
Sheik,Fizz,136.0
Sheik,Pipe,108.0
Sheik,Spiral Cafe | Krudo,74.0
Sheik,Hulka,71.0
Sheik,ScrubUp,37.0
Sheik,GEM | CrossFitJesus,31.0
Sheik,LanTurN,22.0
Sheik,LewdCelebs4Free,18.0
Sheik,8-bit | dansdaman,18.0
Sheik,MordecaiPielord,14.0
Sheik,Talen,13.0
Sheik,ParkedInTraffic | Commas,12.0
Sheik,Zeph,12.0
Sheik,BABA | shama,12.0
Sheik,Tammerath,11.0
Sheik,TT | Dair,7.0
Sheik,Fraud,7.0
Sheik,100 Days Of Solitude,5.0
Sheik,ASAPferq,4.0
Sheik,GS | TreyTheTrashman,4.0
Sheik,Bug Juice | Snorlaxative,4.0
Sheik,gbio,4.0
Sheik,LoneCubone,1.0
Sheik,Rose,1.0
Sheik,lemon,1.0
Sheik,Just Jason,1.0
ICs,Trail,56.0
ICs,Enrique Iglesias,13.0
ICs,Daddy Icey,1.0
Falcon,S2J,856.0
Falcon,Revenge | Gahtzu,491.0
Falcon,JCubez,332.0
Falcon,Android 0,116.0
Falcon,ight,76.0
Falcon,404 YC | Salt,66.0
Falcon,GHQ | Zamu,65.0
Falcon,snacklepackle,60.0
Falcon,TG NBR | Panos,55.0
Falcon,Captain G,47.0
Falcon,Vish,45.0
Falcon,Mahik,29.0
Falcon,306 | Polo,28.0
Falcon,Rive,28.0
Falcon,Boy,22.0
Falcon,Douglas.J.Gov,14.0
Falcon,Silkylaroux,13.0
Falcon,W8ASec,12.0
Falcon,Rozu,10.0
Falcon,FISA | JoJo,10.0
Falcon,Kettering,9.0
Falcon,Bobakanoosh,9.0
Falcon,420 | Yolk,8.0
Falcon,radvillainy,5.0
Falcon,Eastwood,5.0
Falcon,sucordie,5.0
Falcon,saacdaddy,4.0
Falcon,ImYourDade,3.0
Falcon,glum oinkin',3.0
Falcon,foxmcchicken,2.0
Falcon,Schweppes,2.0
Falcon,peenlover,2.0
Falcon,Raffshot,1.0
Falcon,Sax,1.0
Falcon,Frost | JJK,1.0
Falcon,Snoos,1.0
Puff,DD,233.0
Puff,Golden,157.0
Puff,SDJ,64.0
Puff,Crispy | Chango,29.0
Puff,PQ2 | CPU0,22.0
Puff,Divine Senator Kelly,21.0
Puff,SLO | GrizzlyBair,15.0
Puff,Nyte,15.0
Puff,Dawson,14.0
Puff,Theftz,8.0
Puff,CVSmashMods | Ripn,4.0
Puff,$W@6 | rocketf20,1.0
Fox,CLG. | SFAT,1245.0
Fox,Erik,445.0
Fox,GUG | Kürv,330.0
Fox,Mango's Friend | Lucky,258.0
Fox,ANTIFA CEO | Quiggles,230.0
Fox,306 | Amrak,188.0
Fox,Null,149.0
Fox,EP | Justus,148.0
Fox,Twisty,120.0
Fox,.Ðempt,114.0
Fox,FM | Cilan,101.0
Fox,Megaman,81.0
Fox,Marrgasm,72.0
Fox,Cowbell,71.0
Fox,The Leaf,63.0
Fox,Trock,50.0
Fox,Chem,48.0
Fox,DarkGenex,41.0
Fox,USF | Quadae,40.0
Fox,OtES,37.0
Fox,Panda,34.0
