Character,SmashTag,Rank
Falco,bobby big ballz,2.0
Falco,Ginger,5.0
Falco,Fiction,13.0
Falco,Bones,18.0
Falco,cliché,21.0
Falco,YC | Pappi,22.0
Falco,NOOT,24.0
Falco,GLR | JAM,29.0
Falco,yingling,34.0
Falco,Neologism,47.0
Falco,TBD,48.0
Falco,Westballz,48.0
Falco,Ghost Rider,51.0
Falco,AlyJ,58.0
Falco,Chummi,60.0
Falco,NoFuxGiven,90.0
Falco,Elk G | Ivayne,100.0
Falco,Light,101.0
Falco,Pawn,101.0
Falco,Help,103.0
Falco,Arctic,110.0
Falco,ericiscool.net,118.0
Falco,hestoned,123.0
Falco,KaiKwonDo,123.0
Falco,Kaptinkillem,123.0
Falco,shoelegend88,132.0
Falco,jtetter,132.0
Falco,ushi,139.0
Falco,Jolf,140.0
Falco,ROFL,140.0
Falco,John,140.0
Falco,Jakespeare,149.0
Falco,CLEM#112 | Clem,149.0
Falco,SudoJoe,149.0
Falco,dirtyDev,149.0
Falco,BLM | Rats!,157.0
Falco,thesiscat,157.0
Falco,hHerb,174.0
Falco,IceCreamOG,174.0
Falco,JustJoshin,174.0
Falco,Zave,186.0
Falco,Shy,186.0
Falco,CB,197.0
Falco,TheFormuoli,197.0
Falco,mixx,206.0
Falco,WOMB#619 | Wombat,206.0
Falco,Penguis,216.0
Falco,bird | unlucky,224.0
Falco,Luppi,224.0
Falco,YoungHanSolo,224.0
Falco,Slump,224.0
Falco,TC | BuyMyMixTape,224.0
Falco,Spi,235.0
Falco,Melos,235.0
Falco,Rigo Bigo,243.0
Falco,HorseGirl420,243.0
Falco,Drewski,243.0
Falco,dabt,243.0
Falco,UARK | VentusWK,243.0
Falco,Maljo,256.0
Falco,melatonin,270.0
Falco,Port!!!,270.0
Falco,Blanks,270.0
Falco,rickey_kc,270.0
Falco,Nico,270.0
Falco,ZUTH | Zuthane,291.0
Falco,Frozone,291.0
Falco,Blue Jay,299.0
Falco,ButterRoyaleTV,299.0
Falco,bensw,299.0
Falco,early,299.0
Falco,Fishpaste,299.0
Falco,DCG | Spots,299.0
Falco,Abhi,324.0
Falco,CarltonDanks,324.0
Falco,ledgefiend,324.0
Falco,LVD | Super,324.0
Falco,Majora,324.0
Falco,PP | Droze,324.0
Falco,Snickerdoodle,324.0
Falco,Yuki08,324.0
Marth,KoDoRiN,3.0
Marth,PEP | LSD,6.0
Marth,Young,31.0
Marth,Typhoon,41.0
Marth,Dom,46.0
Marth,Bonn Esports | Question,65.0
Marth,MT,71.0
Marth,soccermom69,80.0
Marth,Phantom Airline,84.0
Marth,Maher,84.0
Marth,HWY | ybot,106.0
Marth,Thad <3,106.0
Marth,CG | Firebolt,120.0
Marth,Alex18+,120.0
Marth,Den,157.0
Marth,Yamasaki,168.0
Marth,BEBO,174.0
Marth,pointykitty,174.0
Marth,CSR | Tezlik,186.0
Marth,Big Pivot,197.0
Marth,OXY | TheCrimsonBlur,206.0
Marth,kippu,216.0
Marth,Tourist,216.0
Marth,moscow mich,224.0
Marth,Uncle Pete,224.0
Marth,Hamburglar,235.0
Marth,Acuna,243.0
Marth,Watermelons,243.0
Marth,Vitro,256.0
Marth,DiscipleOfBorp,256.0
Marth,RB | V$,291.0
Marth,Ahung,291.0
Marth,BABA | Babo,299.0
Marth,LUNK#783 | dom,299.0
Marth,N8V,299.0
Marth,3OutChange,299.0
Marth,KLAWHAU5,299.0
Sheik,IMP | Ben,7.0
Sheik,NGG | Jflex,20.0
Sheik,RG | Far!,25.0
Sheik,Fizz,31.0
Sheik,Pipe,35.0
Sheik,DontTestMe,42.0
Sheik,GOL | JSalt,43.0
Sheik,Spiral Cafe | Krudo,54.0
Sheik,Hulka,58.0
Sheik,ScrubUp,93.0
Sheik,LanTurN,94.0
Sheik,GEM | CrossFitJesus,103.0
Sheik,LewdCelebs4Free,145.0
Sheik,8-bit | dansdaman,145.0
Sheik,MordecaiPielord,168.0
Sheik,Talen,174.0
Sheik,Zeph,186.0
Sheik,ParkedInTraffic | Commas,186.0
Sheik,BABA | shama,186.0
Sheik,Tammerath,197.0
Sheik,TT | Dair,235.0
Sheik,Fraud,235.0
Sheik,100 Days Of Solitude,256.0
Sheik,SlickSiwik,270.0
Sheik,ASAPferq,270.0
Sheik,gbio,270.0
Sheik,GS | TreyTheTrashman,270.0
Sheik,Bug Juice | Snorlaxative,270.0
Sheik,Rose,324.0
Sheik,lemon,324.0
