SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8,BWeek9,BWeek10
1008,Westballz,NAN,NAN,NAN,83.0,83.0,83.0,83.0,83.0,83.0,83.0
1016,Fiction,104.0,104.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0,293.0
1017,S2J,139.0,246.0,246.0,478.0,693.0,856.0,856.0,856.0,856.0,856.0
1019,CLG. | SFAT,197.0,361.0,361.0,448.0,626.0,815.0,1030.0,1245.0,1408.0,1408.0
1030,LFG | Eddy Mexico,NAN,NAN,NAN,NAN,NAN,NAN,102.0,102.0,102.0,102.0
1077,Revenge | Gahtzu,168.0,384.0,384.0,491.0,491.0,491.0,491.0,491.0,491.0,491.0
1092,Connor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,73.0
1621,bensw,NAN,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2088,ycz6,NAN,NAN,NAN,21.0,21.0,21.0,21.0,21.0,21.0,21.0
3299,Vish,NAN,NAN,NAN,NAN,NAN,45.0,45.0,45.0,45.0,45.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,NAN,22.0,22.0,22.0,22.0
3561,Ginger,235.0,424.0,424.0,587.0,587.0,587.0,587.0,587.0,778.0,778.0
3602,JLo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
3661,Hunt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,1.0
3734,Hulka,29.0,29.0,29.0,29.0,29.0,71.0,71.0,71.0,71.0,71.0
3936,GUILD | ghettowarmachine420,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,36.0
4029,mixx,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0
4127,MIOM | Toph,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0,28.0
4197,Uncle Pete,NAN,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,19.0
4215,rocky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,205.0
4293,Jahan,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0
4317,donk,NAN,NAN,NAN,15.0,15.0,15.0,15.0,15.0,15.0,36.0
4390,NGG | Jflex,NAN,NAN,NAN,NAN,NAN,NAN,68.0,166.0,180.0,302.0
4438,pinecone22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,2.0,5.0
4647,Gaz,NAN,NAN,NAN,NAN,NAN,17.0,29.0,29.0,29.0,29.0
4738,Young,NAN,NAN,NAN,NAN,NAN,108.0,108.0,108.0,136.0,136.0
4748,GST | Ryobeat,11.0,11.0,11.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0
4864,Theftz,4.0,4.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
5050,Troy,NAN,NAN,NAN,6.0,6.0,6.0,6.0,6.0,6.0,6.0
5457,Bones,NAN,NAN,NAN,26.0,127.0,127.0,198.0,198.0,198.0,198.0
5618,RadicalLiberal | Quiggles,12.0,35.0,103.0,128.0,153.0,186.0,202.0,230.0,263.0,288.0
5630,BKB! | stocmoney,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,13.0
5869,KL | Kid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0
6700,JCubez,NAN,NAN,93.0,137.0,206.0,299.0,332.0,332.0,332.0,332.0
7149,Trail,NAN,NAN,30.0,56.0,56.0,56.0,56.0,56.0,56.0,56.0
7201,.Ðempt,NAN,73.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0,114.0
7277,GOL | JSalt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,103.0,103.0,103.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
7634,MT,NAN,NAN,NAN,NAN,NAN,NAN,NAN,55.0,55.0,55.0
7693,Kanye Rest,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,9.0
10228,Flow | Stark,NAN,NAN,NAN,NAN,NAN,NAN,NAN,14.0,14.0,14.0
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,8.0,33.0,33.0,33.0,33.0,51.0
10485,DD,42.0,90.0,136.0,156.0,200.0,203.0,233.0,233.0,233.0,233.0
10520,CREW | G,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16.0
10529,The Leaf,NAN,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0,63.0
10562,SFOP,NAN,NAN,NAN,NAN,NAN,NAN,NAN,127.0,252.0,416.0
10666,SF | Herrán,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,22.0
10994,RedHousePainter,NAN,NAN,NAN,NAN,NAN,NAN,NAN,7.0,7.0,7.0
11490,Dash,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,8.0
11603,Arctic,NAN,NAN,NAN,NAN,17.0,28.0,28.0,28.0,28.0,28.0
11606,Elk_G | Karm,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,11.0
11781,htwa,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,16.0
11945,Strazz,2.0,7.0,9.0,9.0,9.0,9.0,9.0,20.0,28.0,36.0
11961,Mucho Man Randy Passion,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,3.0
12048,K8A,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,121.0,144.0
12137,yingling,16.0,16.0,72.0,72.0,72.0,94.0,94.0,94.0,127.0,127.0
12353,Twisty,NAN,65.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0,120.0
13385,ePG | Chevy,NAN,NAN,NAN,NAN,NAN,67.0,67.0,67.0,67.0,67.0
13622,Blu-J,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13664,codeman,NAN,NAN,NAN,12.0,12.0,12.0,12.0,12.0,12.0,12.0
13748,Null,NAN,NAN,113.0,149.0,149.0,149.0,149.0,149.0,149.0,149.0
13765,Help,NAN,NAN,NAN,NAN,10.0,17.0,31.0,31.0,31.0,31.0
13906,SSBM-T | LuigiKid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,108.0,108.0,108.0,108.0,258.0,278.0,278.0
13960,RB | V$,NAN,NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
