SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9,PWeek10,PWeek11,PWeek12
1008.0,Westballz,1,1,-2.0,-2.0,-2.0,9,-2,-2,-2,-2,-2,-2,-2,-2
1016.0,Fiction,2,2,7.0,-2.0,2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
1017.0,S2J,7,7,4.0,5.0,-2.0,1,1,3,-2,-2,-2,-2,1,1
1019.0,CLG. | SFAT,8,8,2.0,3.0,-2.0,7,3,2,1,1,3,-2,-2,-2
1030.0,LFG | Eddy Mexico,1,1,-2.0,-2.0,-2.0,-2,-2,-2,7,-2,-2,-2,-2,-2
1077.0,Revenge | Gahtzu,4,4,3.0,1.0,-2.0,5,-2,-2,-2,-2,-2,-2,7,-2
1092.0,Connor,2,2,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,9,-2,17
1621.0,bensw,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
2088.0,ycz6,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
3299.0,Vish,2,2,-2.0,-2.0,-2.0,-2,-2,13,-2,-2,-2,-2,9,-2
3499.0,Boy,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2,-2,-2,-2,-2
3561.0,Ginger,5,5,1.0,2.0,-2.0,3,-2,-2,-2,-2,2,-2,4,-2
3602.0,JLo,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-1
3661.0,Hunt,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
3665.0,Younger,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,17
3734.0,Hulka,3,3,17.0,-2.0,-2.0,-2,-2,13,-2,-2,-2,-2,-2,7
3772.0,Arcadia,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,17,-2
3936.0,GUILD | ghettowarmachine420,2,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,17,-1,-2
4029.0,mixx,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-2,-2
4127.0,MIOM | Toph,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
4197.0,Uncle Pete,2,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
4215.0,rocky,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,2,-2,-2
4293.0,Jahan,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-2,-2
4317.0,donk,4,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-1,-1,-1
4390.0,NGG | Jflex,6,5,-2.0,-2.0,-2.0,-2,-2,-2,9,7,-1,5,17,17
4394.0,Zhyrri,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,17,-2
4438.0,pinecone22,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-1,-1,-2,-2
4446.0,RCS | Chi,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
4647.0,Gaz,2,0,-2.0,-2.0,-2.0,-2,-2,-1,-1,-2,-2,-2,-2,-2
4738.0,Young,2,2,-2.0,-2.0,-2.0,-2,-2,7,-2,-2,17,-2,-2,-2
4748.0,GST | Ryobeat,2,1,-1.0,-2.0,-2.0,13,-2,-2,-2,-2,-2,-2,-2,-2
4864.0,Theftz,2,0,-1.0,-2.0,-1.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
4876.0,will1v1_ttv,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
5050.0,Troy,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-2
5457.0,Bones,3,3,-2.0,-2.0,-2.0,17,7,-2,9,-2,-2,-2,-2,-2
5618.0,RadicalLiberal | Quiggles,12,5,-1.0,25.0,9.0,-1,-1,17,-1,17,17,-1,-1,-1
5630.0,BKB! | stocmoney,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
5765.0,Liquid,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-1
5869.0,KL | Kid,3,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-1
6700.0,JCubez,5,5,-2.0,-2.0,7.0,13,9,7,17,-2,-2,-2,-2,-2
7149.0,Trail,4,2,-2.0,-2.0,17.0,25,-2,-2,-2,-2,-2,-2,-1,-1
7201.0,.Ðempt,2,2,-2.0,9.0,13.0,-2,-2,-2,-2,-2,-2,-2,-2,-2
7255.0,bsb. | fluff,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
7277.0,GOL | JSalt,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,7,-2,-2,-2,-2
7550.0,OXY | TheCrimsonBlur,2,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2,-2,-2,-2,-1
7634.0,MT,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,13,-2,-2,-2,-2
7654.0,Schnurb,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
7693.0,Kanye Rest,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-1,-1,-2
8096.0,Salty Seth,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
10060.0,PapaNoJohns,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
10228.0,Flow | Stark,3,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1,-2,-2,-1,-1
10282.0,Air,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,17
10298.0,119 | Fabio,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-1,-2
10362.0,Elk G | Ivayne,3,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2,-2,-1,-2,-2
10430.0,FreeSSBM,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-2,-2,-2,-2,-1
