SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,RWeek7,RWeek8,RWeek9,RWeek10,RWeek11,RWeek12,ChangeInRank
1008,Westballz,NAN,NAN,NAN,24.0,31.0,37.0,40.0,45.0,48.0,56.0,64.0,74.0,-10.0
1016,Fiction,7.0,10.0,7.0,8.0,8.0,10.0,12.0,13.0,13.0,15.0,15.0,16.0,-1.0
1017,S2J,4.0,4.0,8.0,5.0,1.0,1.0,3.0,3.0,4.0,4.0,3.0,3.0,0.0
1019,CLG. | SFAT,2.0,3.0,5.0,6.0,3.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,0.0
1030,LFG | Eddy Mexico,NAN,NAN,NAN,NAN,NAN,NAN,34.0,39.0,44.0,47.0,53.0,62.0,-9.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,4.0,7.0,7.0,7.0,8.0,10.0,11.0,11.0,11.0,0.0
1092,Connor,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,62.0,73.0,63.0,10.0
1621,bensw,NAN,NAN,99.0,160.0,191.0,217.0,248.0,280.0,299.0,403.0,464.0,513.0,-49.0
2088,ycz6,NAN,NAN,NAN,67.0,79.0,94.0,110.0,123.0,132.0,160.0,178.0,194.0,-16.0
3299,Vish,NAN,NAN,NAN,NAN,NAN,62.0,69.0,75.0,83.0,94.0,48.0,56.0,-8.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,NAN,103.0,117.0,127.0,153.0,171.0,182.0,-11.0
3561,Ginger,1.0,1.0,1.0,1.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,6.0,0.0
3602,JLo,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,271.0,306.0,279.0,27.0
3661,Hunt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,440.0,507.0,561.0,-54.0
3665,Younger,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,121.0,NAN
3734,Hulka,18.0,34.0,41.0,56.0,64.0,41.0,45.0,54.0,58.0,66.0,77.0,32.0,45.0
3772,Arcadia,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,136.0,151.0,-15.0
3936,GUILD | ghettowarmachine420,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,106.0,100.0,109.0,-9.0
4029,mixx,NAN,NAN,NAN,NAN,NAN,NAN,NAN,192.0,206.0,257.0,284.0,313.0,-29.0
4127,MIOM | Toph,19.0,35.0,42.0,58.0,67.0,75.0,88.0,102.0,110.0,127.0,143.0,160.0,-17.0
4197,Uncle Pete,NAN,59.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,169.0,191.0,208.0,-17.0
4215,rocky,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,19.0,19.0,22.0,-3.0
4293,Jahan,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,257.0,284.0,313.0,-29.0
4317,donk,NAN,NAN,NAN,78.0,92.0,110.0,126.0,148.0,157.0,106.0,108.0,114.0,-6.0
4390,NGG | Jflex,NAN,NAN,NAN,NAN,NAN,NAN,48.0,21.0,20.0,14.0,13.0,13.0,0.0
4394,Zhyrri,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,115.0,125.0,-10.0
4438,pinecone22,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,299.0,337.0,384.0,424.0,-40.0
4446,RCS | Chi,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,279.0,160.0
4647,Gaz,NAN,NAN,NAN,NAN,NAN,103.0,82.0,96.0,106.0,123.0,139.0,155.0,-16.0
4738,Young,NAN,NAN,NAN,NAN,NAN,27.0,30.0,35.0,31.0,35.0,36.0,42.0,-6.0
4748,GST | Ryobeat,31.0,54.0,62.0,37.0,47.0,56.0,61.0,67.0,74.0,82.0,91.0,101.0,-10.0
4864,Theftz,46.0,69.0,73.0,112.0,135.0,156.0,179.0,212.0,224.0,289.0,324.0,361.0,-37.0
4876,will1v1_ttv,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,513.0,NAN
5050,Troy,NAN,NAN,NAN,125.0,157.0,179.0,203.0,231.0,243.0,320.0,362.0,398.0,-36.0
5457,Bones,NAN,NAN,NAN,64.0,18.0,21.0,16.0,17.0,18.0,20.0,20.0,23.0,-3.0
5618,RadicalLiberal | Quiggles,28.0,29.0,17.0,16.0,13.0,15.0,15.0,16.0,15.0,16.0,16.0,15.0,1.0
5630,BKB! | stocmoney,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,213.0,212.0,231.0,-19.0
5765,Liquid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,439.0,300.0,139.0
5869,KL | Kid,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,307.0,197.0,180.0,17.0
6700,JCubez,NAN,NAN,20.0,13.0,10.0,9.0,11.0,11.0,12.0,13.0,14.0,14.0,0.0
7149,Trail,NAN,NAN,40.0,35.0,44.0,53.0,58.0,64.0,70.0,79.0,67.0,72.0,-5.0
7201,.Ðempt,NAN,14.0,15.0,21.0,25.0,25.0,29.0,34.0,39.0,41.0,45.0,53.0,-8.0
7255,bsb. | fluff,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,NAN,483.0,NAN
7277,GOL | JSalt,NAN,NAN,NAN,NAN,NAN,NAN,NAN,38.0,43.0,46.0,52.0,61.0,-9.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,101.0,119.0,144.0,163.0,192.0,206.0,257.0,284.0,231.0,53.0
