SmasherID,SmashTag,BWeek1
1016,Fiction,104.0
1017,S2J,139.0
1019,CLG. | SFAT,197.0
1077,Revenge | Gahtzu,168.0
3561,Ginger,235.0
3734,Hulka,29.0
4127,MIOM | Toph,28.0
4748,GST | Ryobeat,11.0
4864,Theftz,4.0
5618,ANTIFA CEO | Quiggles,12.0
10485,DD,42.0
11945,Strazz,2.0
12137,Cock Lot | JEEPER,16.0
13622,Blu-J,1.0
14617,DiscipleOfBorp,5.0
16066,TG NBR | Panos,9.0
21215,Dom,99.0
23920,GHQ | Zamu,65.0
26153,DarkGenex,16.0
26750,KoDoRiN,113.0
27862,Musashi,11.0
38175,W8ASec,12.0
38643,RedX,8.0
40403,Pawn,1.0
45356,OtES,8.0
51608,Vitro,5.0
53365,Ringler,2.0
61873,306 | Polo,28.0
61897,LSD,124.0
64692,SANS | Blues Clues,55.0
65566,Miranda,3.0
65777,bobby big ballz,73.0
135157,billybopeep,28.0
138710,Golden,63.0
147811,Dawson,14.0
155077,radvillainy,2.0
158148,Chewy,3.0
185618,Captain G,47.0
241260,Alex18+,3.0
255496,ericiscool.net,2.0
257025,2Framez,11.0
265808,NOOT,9.0
279722,EP | Justus,34.0
286517,Thad <3,10.0
288395,jams,5.0
294260,ABG | salami,28.0
327212,:3 | Marrgasm,12.0
353165,Milo,15.0
357233,Afron,1.0
391890,TheFormuoli,11.0
407878,Slump,8.0
424095,Frost | JJK,1.0
465131,Hunybear,17.0
585236,306 | Amrak,11.0
617254,N8V,2.0
627118,Pipe,11.0
709843,Chem,48.0
925369,Fishpaste,2.0
927948,cliché,67.0
2082068,CarltonDanks,1.0
