SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1
1016,Fiction,1,1,7
1017,S2J,1,1,4
1019,CLG. | SFAT,1,1,2
1077,Revenge | Gahtzu,1,1,3
3561,Ginger,1,1,1
3734,Hulka,1,1,17
4127,MIOM | Toph,1,1,17
4748,GST | Ryobeat,1,0,-1
4864,Theftz,1,0,-1
5618,ANTIFA CEO | Quiggles,1,0,-1
10485,DD,1,1,13
11945,Strazz,1,0,-1
12137,Cock Lot | JEEPER,1,0,-1
13622,Blu-J,1,0,-1
14617,DiscipleOfBorp,1,0,-1
16066,TG NBR | Panos,1,0,-1
21215,Dom,1,1,7
23920,GHQ | Zamu,1,1,9
26153,DarkGenex,1,0,-1
26750,KoDoRiN,1,1,5
27862,Musashi,1,0,-1
38175,W8ASec,1,0,-1
38643,RedX,1,0,-1
40403,Pawn,1,0,-1
45356,OtES,1,0,-1
51608,Vitro,1,0,-1
53365,Ringler,1,0,-1
61873,306 | Polo,1,1,17
61897,LSD,1,1,5
64692,SANS | Blues Clues,1,1,13
65566,Miranda,1,0,-1
65777,bobby big ballz,1,1,9
135157,billybopeep,1,1,17
138710,Golden,1,1,9
147811,Dawson,1,0,-1
155077,radvillainy,1,0,-1
158148,Chewy,1,0,-1
185618,Captain G,1,1,13
241260,Alex18+,1,0,-1
255496,ericiscool.net,1,0,-1
257025,2Framez,1,0,-1
265808,NOOT,1,0,-1
279722,EP | Justus,1,1,17
286517,Thad <3,1,0,-1
288395,jams,1,0,-1
294260,ABG | salami,1,1,17
327212,:3 | Marrgasm,1,0,-1
353165,Milo,1,0,-1
357233,Afron,1,0,-1
391890,TheFormuoli,1,0,-1
407878,Slump,1,0,-1
424095,Frost | JJK,1,0,-1
465131,Hunybear,1,0,-1
585236,306 | Amrak,1,0,-1
617254,N8V,1,0,-1
627118,Pipe,1,0,-1
709843,Chem,1,1,13
925369,Fishpaste,1,0,-1
927948,cliché,1,1,9
2082068,CarltonDanks,1,0,-1
