SmasherID,SmashTag,RWeek1,ChangeInRank
1016,Fiction,7.0,New
1017,S2J,4.0,New
1019,CLG. | SFAT,2.0,New
1077,Revenge | Gahtzu,3.0,New
3561,Ginger,1.0,New
3734,Hulka,18.0,New
4127,MIOM | Toph,19.0,New
4748,GST | Ryobeat,31.0,New
4864,Theftz,46.0,New
5618,ANTIFA CEO | Quiggles,28.0,New
10485,DD,16.0,New
11945,Strazz,50.0,New
12137,Cock Lot | JEEPER,24.0,New
13622,Blu-J,56.0,New
14617,DiscipleOfBorp,43.0,New
16066,TG NBR | Panos,38.0,New
21215,Dom,8.0,New
23920,GHQ | Zamu,11.0,New
26153,DarkGenex,24.0,New
26750,KoDoRiN,6.0,New
27862,Musashi,31.0,New
38175,W8ASec,28.0,New
38643,RedX,40.0,New
40403,Pawn,56.0,New
45356,OtES,40.0,New
51608,Vitro,43.0,New
53365,Ringler,50.0,New
61873,306 | Polo,19.0,New
61897,LSD,5.0,New
64692,SANS | Blues Clues,13.0,New
65566,Miranda,47.0,New
65777,bobby big ballz,9.0,New
135157,billybopeep,19.0,New
138710,Golden,12.0,New
147811,Dawson,27.0,New
155077,radvillainy,50.0,New
158148,Chewy,47.0,New
185618,Captain G,15.0,New
241260,Alex18+,47.0,New
255496,ericiscool.net,50.0,New
257025,2Framez,31.0,New
265808,NOOT,38.0,New
279722,EP | Justus,17.0,New
286517,Thad <3,37.0,New
288395,jams,43.0,New
294260,ABG | salami,19.0,New
327212,:3 | Marrgasm,28.0,New
353165,Milo,26.0,New
357233,Afron,56.0,New
391890,TheFormuoli,31.0,New
407878,Slump,40.0,New
424095,Frost | JJK,56.0,New
465131,Hunybear,23.0,New
585236,306 | Amrak,31.0,New
617254,N8V,50.0,New
627118,Pipe,31.0,New
709843,Chem,14.0,New
925369,Fishpaste,50.0,New
927948,cliché,10.0,New
2082068,CarltonDanks,56.0,New
