SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2
1016,Fiction,1,1,7,-2
1017,S2J,2,2,4,5
1019,CLG. | SFAT,2,2,2,3
1077,Revenge | Gahtzu,2,2,3,1
3561,Ginger,2,2,1,2
3734,Hulka,1,1,17,-2
4127,MIOM | Toph,1,1,17,-2
4197,Uncle Pete,1,0,-2,-1
4748,GST | Ryobeat,1,0,-1,-2
4864,Theftz,1,0,-1,-2
5618,ANTIFA CEO | Quiggles,2,1,-1,25
7201,.Ðempt,1,1,-2,9
10485,DD,2,2,13,13
10529,The Leaf,1,1,-2,9
11945,Strazz,2,0,-1,-1
12137,Cock Lot | JEEPER,1,0,-1,-2
12353,Twisty,1,1,-2,9
13622,Blu-J,1,0,-1,-2
14617,DiscipleOfBorp,1,0,-1,-2
15948,glum oinkin',1,0,-2,-1
16023,soccermom69,1,1,-2,13
16066,TG NBR | Panos,1,0,-1,-2
18722,K.H.D | Reign,1,0,-2,-1
19346,SonOfJ,1,1,-2,25
21215,Dom,1,1,7,-2
21661,GLR | JAM,1,1,-2,17
23920,GHQ | Zamu,1,1,9,-2
25789,Tourist,1,0,-2,-1
26153,DarkGenex,1,0,-1,-2
26750,KoDoRiN,2,2,5,7
27527,Megaman,1,0,-2,-1
27862,Musashi,2,1,-1,25
28793,Light,1,1,-2,17
29840,TBD,1,1,-2,17
33387,pointykitty,1,0,-2,-1
36990,Trock,1,1,-2,13
38175,W8ASec,1,0,-1,-2
38567,Android 0,1,1,-2,5
38643,RedX,1,0,-1,-2
40403,Pawn,2,0,-1,-1
45356,OtES,1,0,-1,-2
47866,S.C.E. | Erik,1,1,-2,17
51608,Vitro,1,0,-1,-2
53365,Ringler,1,0,-1,-2
54390,Question,1,1,-2,17
60696,FM | Cilan,1,1,-2,17
61873,306 | Polo,1,1,17,-2
61897,LSD,1,1,5,-2
64692,SANS | Blues Clues,2,2,13,7
65566,Miranda,1,0,-1,-2
65777,bobby big ballz,2,2,9,4
135157,billybopeep,1,1,17,-2
138710,Golden,1,1,9,-2
147251,GS | TreyTheTrashman,1,0,-2,-1
147811,Dawson,1,0,-1,-2
148200,Big Pivot,1,0,-2,-1
150888,Shy,1,0,-2,-1
155077,radvillainy,1,0,-1,-2
157632,TurboThot,1,0,-2,-1
158148,Chewy,1,0,-1,-2
183400,Doctor Dank,1,0,-2,-1
185618,Captain G,1,1,13,-2
223503,Rigo Bigo,1,0,-2,-1
229216,KaiKwonDo,1,0,-2,-1
241260,Alex18+,2,1,-1,25
250581,Fizz,1,1,-2,9
255496,ericiscool.net,1,0,-1,-2
257025,2Framez,2,0,-1,-1
265808,NOOT,1,0,-1,-2
279722,EP | Justus,1,1,17,-2
286517,Thad <3,2,0,-1,-1
288395,jams,1,0,-1,-2
294260,ABG | salami,1,1,17,-2
301566,JustJoshin,1,0,-2,-1
327212,Marrgasm,2,1,-1,17
353165,Milo,1,0,-1,-2
357233,Afron,1,0,-1,-2
391890,TheFormuoli,1,0,-1,-2
407878,Slump,1,0,-1,-2
424095,Frost | JJK,1,0,-1,-2
465131,Hunybear,1,0,-1,-2
528737,3OutChange,1,0,-2,-1
585236,306 | Amrak,2,1,-1,13
617254,N8V,1,0,-1,-2
627118,Pipe,2,0,-1,-1
641180,Luppi,1,0,-2,-1
657464,CowCowCowCowCow,1,1,-2,25
709843,Chem,1,1,13,-2
718293,Nico,1,0,-2,-1
735376,CVSmashMods | Ripn,1,0,-2,-1
925369,Fishpaste,1,0,-1,-2
927948,cliché,2,2,9,17
2064187,Abhi,1,0,-2,-1
2082068,CarltonDanks,1,0,-1,-2
2085246,kippu,1,0,-2,-1
