SmasherID,SmashTag,RWeek1,RWeek2,ChangeInRank
1016,Fiction,7.0,10.0,-3.0
1017,S2J,4.0,4.0,0.0
1019,CLG. | SFAT,2.0,3.0,-1.0
1077,Revenge | Gahtzu,3.0,2.0,1.0
3561,Ginger,1.0,1.0,0.0
3734,Hulka,18.0,34.0,-16.0
4127,MIOM | Toph,19.0,35.0,-16.0
4197,Uncle Pete,NAN,59.0,NAN
4748,GST | Ryobeat,31.0,54.0,-23.0
4864,Theftz,46.0,69.0,-23.0
5618,ANTIFA CEO | Quiggles,28.0,29.0,-1.0
7201,.Ðempt,NAN,14.0,NAN
10485,DD,16.0,13.0,3.0
10529,The Leaf,NAN,18.0,NAN
11945,Strazz,50.0,63.0,-13.0
12137,Cock Lot | JEEPER,24.0,44.0,-20.0
12353,Twisty,NAN,16.0,NAN
13622,Blu-J,56.0,90.0,-34.0
14617,DiscipleOfBorp,43.0,66.0,-23.0
15948,glum oinkin',NAN,75.0,NAN
16023,soccermom69,NAN,23.0,NAN
16066,TG NBR | Panos,38.0,56.0,-18.0
18722,K.H.D | Reign,NAN,75.0,NAN
19346,SonOfJ,NAN,41.0,NAN
21215,Dom,8.0,11.0,-3.0
21661,GLR | JAM,NAN,26.0,NAN
23920,GHQ | Zamu,11.0,16.0,-5.0
25789,Tourist,NAN,56.0,NAN
26153,DarkGenex,24.0,44.0,-20.0
26750,KoDoRiN,6.0,6.0,0.0
27527,Megaman,NAN,44.0,NAN
27862,Musashi,31.0,39.0,-8.0
28793,Light,NAN,33.0,NAN
29840,TBD,NAN,30.0,NAN
33387,pointykitty,NAN,81.0,NAN
36990,Trock,NAN,21.0,NAN
38175,W8ASec,28.0,52.0,-24.0
38567,Android 0,NAN,9.0,NAN
38643,RedX,40.0,59.0,-19.0
40403,Pawn,56.0,63.0,-7.0
45356,OtES,40.0,59.0,-19.0
47866,S.C.E. | Erik,NAN,27.0,NAN
51608,Vitro,43.0,66.0,-23.0
53365,Ringler,50.0,81.0,-31.0
54390,Question,NAN,27.0,NAN
60696,FM | Cilan,NAN,32.0,NAN
61873,306 | Polo,19.0,35.0,-16.0
61897,LSD,5.0,8.0,-3.0
64692,SANS | Blues Clues,13.0,7.0,6.0
65566,Miranda,47.0,75.0,-28.0
65777,bobby big ballz,9.0,5.0,4.0
135157,billybopeep,19.0,35.0,-16.0
138710,Golden,12.0,18.0,-6.0
147251,GS | TreyTheTrashman,NAN,69.0,NAN
147811,Dawson,27.0,50.0,-23.0
148200,Big Pivot,NAN,90.0,NAN
150888,Shy,NAN,52.0,NAN
155077,radvillainy,50.0,81.0,-31.0
157632,TurboThot,NAN,81.0,NAN
158148,Chewy,47.0,75.0,-28.0
183400,Doctor Dank,NAN,75.0,NAN
185618,Captain G,15.0,23.0,-8.0
223503,Rigo Bigo,NAN,65.0,NAN
229216,KaiKwonDo,NAN,75.0,NAN
241260,Alex18+,47.0,51.0,-4.0
250581,Fizz,NAN,14.0,NAN
255496,ericiscool.net,50.0,81.0,-31.0
257025,2Framez,31.0,48.0,-17.0
265808,NOOT,38.0,56.0,-18.0
279722,EP | Justus,17.0,30.0,-13.0
286517,Thad <3,37.0,44.0,-7.0
288395,jams,43.0,66.0,-23.0
294260,ABG | salami,19.0,35.0,-16.0
301566,JustJoshin,NAN,69.0,NAN
327212,Marrgasm,28.0,25.0,3.0
353165,Milo,26.0,48.0,-22.0
357233,Afron,56.0,90.0,-34.0
391890,TheFormuoli,31.0,54.0,-23.0
407878,Slump,40.0,59.0,-19.0
424095,Frost | JJK,56.0,90.0,-34.0
465131,Hunybear,23.0,43.0,-20.0
528737,3OutChange,NAN,81.0,NAN
585236,306 | Amrak,31.0,20.0,11.0
617254,N8V,50.0,81.0,-31.0
627118,Pipe,31.0,40.0,-9.0
641180,Luppi,NAN,81.0,NAN
657464,CowCowCowCowCow,NAN,41.0,NAN
709843,Chem,14.0,22.0,-8.0
718293,Nico,NAN,69.0,NAN
735376,CVSmashMods | Ripn,NAN,69.0,NAN
925369,Fishpaste,50.0,81.0,-31.0
927948,cliché,10.0,12.0,-2.0
2064187,Abhi,NAN,90.0,NAN
2082068,CarltonDanks,56.0,90.0,-34.0
2085246,kippu,NAN,69.0,NAN
