SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3
1016.0,Fiction,2,2,7.0,-2.0,2.0
1017.0,S2J,2,2,4.0,5.0,-2.0
1019.0,CLG. | SFAT,2,2,2.0,3.0,-2.0
1077.0,Revenge | Gahtzu,2,2,3.0,1.0,-2.0
1621.0,bensw,1,0,-2.0,-2.0,-1.0
3561.0,Ginger,2,2,1.0,2.0,-2.0
3734.0,Hulka,1,1,17.0,-2.0,-2.0
4127.0,MIOM | Toph,1,1,17.0,-2.0,-2.0
4197.0,Uncle Pete,1,0,-2.0,-1.0,-2.0
4748.0,GST | Ryobeat,1,0,-1.0,-2.0,-2.0
4864.0,Theftz,2,0,-1.0,-2.0,-1.0
5618.0,ANTIFA CEO | Quiggles,3,2,-1.0,25.0,9.0
6700.0,JCubez,1,1,-2.0,-2.0,7.0
7149.0,Trail,1,1,-2.0,-2.0,17.0
7201.0,.Ðempt,2,2,-2.0,9.0,13.0
10485.0,DD,3,3,13.0,13.0,13.0
10529.0,The Leaf,1,1,-2.0,9.0,-2.0
11945.0,Strazz,3,0,-1.0,-1.0,-1.0
12137.0,yingling,2,1,-1.0,-2.0,13.0
12353.0,Twisty,2,2,-2.0,9.0,9.0
13622.0,Blu-J,1,0,-1.0,-2.0,-2.0
13748.0,,1,1,-2.0,-2.0,5.0
13960.0,RB | V$,1,0,-2.0,-2.0,-1.0
14617.0,DiscipleOfBorp,1,0,-1.0,-2.0,-2.0
15298.0,Cowbell,1,0,-2.0,-2.0,-1.0
15948.0,glum oinkin',1,0,-2.0,-1.0,-2.0
16023.0,soccermom69,1,1,-2.0,13.0,-2.0
16066.0,TG NBR | Panos,1,0,-1.0,-2.0,-2.0
18722.0,K.H.D | Reign,1,0,-2.0,-1.0,-2.0
19346.0,SonOfJ,1,1,-2.0,25.0,-2.0
21215.0,Dom,1,1,7.0,-2.0,-2.0
21525.0,Kaptinkillem,1,0,-2.0,-2.0,-1.0
21661.0,GLR | JAM,1,1,-2.0,17.0,-2.0
23920.0,GHQ | Zamu,1,1,9.0,-2.0,-2.0
25789.0,Tourist,1,0,-2.0,-1.0,-2.0
26153.0,DarkGenex,1,0,-1.0,-2.0,-2.0
26750.0,KoDoRiN,3,3,5.0,7.0,4.0
27527.0,Megaman,2,1,-2.0,-1.0,17.0
27862.0,Musashi,2,1,-1.0,25.0,-2.0
28793.0,Light,1,1,-2.0,17.0,-2.0
29840.0,TBD,1,1,-2.0,17.0,-2.0
33387.0,pointykitty,1,0,-2.0,-1.0,-2.0
