SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RankChange
1016,Fiction,7.0,10.0,7.0,3.0
1017,S2J,4.0,4.0,8.0,-4.0
1019,CLG. | SFAT,2.0,3.0,5.0,-2.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,0.0
1621,bensw,NAN,NAN,99.0,New
3561,Ginger,1.0,1.0,1.0,0.0
3734,Hulka,18.0,34.0,41.0,-7.0
4127,MIOM | Toph,19.0,35.0,42.0,-7.0
4197,Uncle Pete,NAN,59.0,73.0,-14.0
4748,GST | Ryobeat,31.0,54.0,62.0,-8.0
4864,Theftz,46.0,69.0,73.0,-4.0
5618,ANTIFA CEO | Quiggles,28.0,29.0,17.0,12.0
6700,JCubez,NAN,NAN,20.0,New
7149,Trail,NAN,NAN,40.0,New
7201,.Ãempt,NAN,14.0,15.0,-1.0
10485,DD,16.0,13.0,11.0,2.0
10529,The Leaf,NAN,18.0,26.0,-8.0
11945,Strazz,50.0,63.0,69.0,-6.0
12137,yingling,24.0,44.0,23.0,21.0
12353,Twisty,NAN,16.0,13.0,3.0
13622,Blu-J,56.0,90.0,112.0,-22.0
13748,,NAN,NAN,16.0,New
13960,RB | V$,NAN,NAN,91.0,New
14617,DiscipleOfBorp,43.0,66.0,82.0,-16.0
15298,Cowbell,NAN,NAN,49.0,New
15948,glum oinkin',NAN,75.0,91.0,-16.0
16023,soccermom69,NAN,23.0,30.0,-7.0
16066,TG NBR | Panos,38.0,56.0,69.0,-13.0
18722,K.H.D | Reign,NAN,75.0,91.0,-16.0
19346,SonOfJ,NAN,41.0,49.0,-8.0
21215,Dom,8.0,11.0,18.0,-7.0
21525,Kaptinkillem,NAN,NAN,62.0,New
21661,GLR | JAM,NAN,26.0,34.0,-8.0
23920,GHQ | Zamu,11.0,16.0,24.0,-8.0
25789,Tourist,NAN,56.0,69.0,-13.0
26153,DarkGenex,24.0,44.0,52.0,-8.0
26750,KoDoRiN,6.0,6.0,6.0,0.0
27527,Megaman,NAN,44.0,32.0,12.0
27862,Musashi,31.0,39.0,46.0,-7.0
28793,Light,NAN,33.0,39.0,-6.0
29840,TBD,NAN,30.0,38.0,-8.0
33387,pointykitty,NAN,81.0,99.0,-18.0
34266,WOMB#619 | Wombat,NAN,NAN,85.0,New
36990,Trock,NAN,21.0,28.0,-7.0
