SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,ChangeInRank
1008,Westballz,NAN,NAN,NAN,24.0,NAN
1016,Fiction,7.0,10.0,7.0,8.0,-1.0
1017,S2J,4.0,4.0,8.0,5.0,3.0
1019,CLG. | SFAT,2.0,3.0,5.0,6.0,-1.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,4.0,-2.0
1621,bensw,NAN,NAN,99.0,160.0,-61.0
2088,ycz6,NAN,NAN,NAN,67.0,NAN
3561,Ginger,1.0,1.0,1.0,1.0,0.0
3734,Hulka,18.0,34.0,41.0,56.0,-15.0
4127,MIOM | Toph,19.0,35.0,42.0,58.0,-16.0
4197,Uncle Pete,NAN,59.0,73.0,112.0,-39.0
4317,Solo.,NAN,NAN,NAN,78.0,NAN
4748,GST | Ryobeat,31.0,54.0,62.0,37.0,25.0
4864,Theftz,46.0,69.0,73.0,112.0,-39.0
5050,Troy,NAN,NAN,NAN,125.0,NAN
5457,Bones,NAN,NAN,NAN,64.0,NAN
5618,ANTIFA CEO | Quiggles,28.0,29.0,17.0,16.0,1.0
6700,JCubez,NAN,NAN,20.0,13.0,7.0
7149,Trail,NAN,NAN,40.0,35.0,5.0
7201,.Ðempt,NAN,14.0,15.0,21.0,-6.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,101.0,NAN
10485,DD,16.0,13.0,11.0,11.0,0.0
10529,The Leaf,NAN,18.0,26.0,31.0,-5.0
11945,Strazz,50.0,63.0,69.0,106.0,-37.0
12137,yingling,24.0,44.0,23.0,27.0,-4.0
12353,Twisty,NAN,16.0,13.0,17.0,-4.0
13622,Blu-J,56.0,90.0,112.0,176.0,-64.0
13664,codeman,NAN,NAN,NAN,90.0,NAN
13748,,NAN,NAN,16.0,12.0,4.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,22.0,NAN
13960,RB | V$,NAN,NAN,91.0,150.0,-59.0
14617,DiscipleOfBorp,43.0,66.0,82.0,132.0,-50.0
15060,Just Jason,NAN,NAN,NAN,176.0,NAN
15298,Cowbell,NAN,NAN,49.0,49.0,0.0
15678,Zeph,NAN,NAN,NAN,90.0,NAN
15948,glum oinkin',NAN,75.0,91.0,150.0,-59.0
16023,soccermom69,NAN,23.0,30.0,42.0,-12.0
16066,TG NBR | Panos,38.0,56.0,69.0,36.0,33.0
18722,K.H.D | Reign,NAN,75.0,91.0,150.0,-59.0
19346,SonOfJ,NAN,41.0,49.0,71.0,-22.0
21215,Dom,8.0,11.0,18.0,23.0,-5.0
21525,Kaptinkillem,NAN,NAN,62.0,96.0,-34.0
21661,GLR | JAM,NAN,26.0,34.0,31.0,3.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,55.0,NAN
22688,ROFL,NAN,NAN,NAN,70.0,NAN
22848,darkwizard123,NAN,NAN,NAN,67.0,NAN
23920,GHQ | Zamu,11.0,16.0,24.0,29.0,-5.0
25789,Tourist,NAN,56.0,69.0,106.0,-37.0
26153,DarkGenex,24.0,44.0,52.0,47.0,5.0
26701,dirtyDev,NAN,NAN,NAN,120.0,NAN
26750,KoDoRiN,6.0,6.0,6.0,7.0,-1.0
27527,Megaman,NAN,44.0,32.0,45.0,-13.0
27638,Panda,NAN,NAN,NAN,53.0,NAN
27862,Musashi,31.0,39.0,46.0,62.0,-16.0
28793,Light,NAN,33.0,39.0,54.0,-15.0
29840,TBD,NAN,30.0,38.0,37.0,1.0
31090,punished | gelp,NAN,NAN,NAN,140.0,NAN
31658,early,NAN,NAN,NAN,160.0,NAN
33371,Fraud,NAN,NAN,NAN,120.0,NAN
33387,pointykitty,NAN,81.0,99.0,132.0,-33.0
34266,WOMB#619 | Wombat,NAN,NAN,85.0,106.0,-21.0
34980,Crispy | Chango,NAN,NAN,NAN,56.0,NAN
36990,Trock,NAN,21.0,28.0,40.0,-12.0
37116,GUG | Kürv,NAN,NAN,NAN,49.0,NAN
38175,W8ASec,28.0,52.0,60.0,90.0,-30.0
38201,Blue Jay,NAN,NAN,99.0,160.0,-61.0
38567,Android 0,NAN,9.0,14.0,19.0,-5.0
38643,RedX,40.0,59.0,73.0,112.0,-39.0
40403,Pawn,56.0,63.0,65.0,73.0,-8.0
41492,Divine Senator Kelly,NAN,NAN,NAN,96.0,NAN
45356,OtES,40.0,59.0,73.0,112.0,-39.0
47866,S.C.E. | Erik,NAN,27.0,36.0,28.0,8.0
48578,LoneCubone,NAN,NAN,112.0,176.0,-64.0
50047,ScrubUp,NAN,NAN,NAN,83.0,NAN
51608,Vitro,43.0,66.0,82.0,132.0,-50.0
