SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5
1008.0,Westballz,1,1,-2.0,-2.0,-2.0,9,-2
1016.0,Fiction,2,2,7.0,-2.0,2.0,-2,-2
1017.0,S2J,4,4,4.0,5.0,-2.0,1,1
1019.0,CLG. | SFAT,4,4,2.0,3.0,-2.0,7,3
1077.0,Revenge | Gahtzu,3,3,3.0,1.0,-2.0,5,-2
1621.0,bensw,1,0,-2.0,-2.0,-1.0,-2,-2
2088.0,ycz6,1,0,-2.0,-2.0,-2.0,-1,-2
3561.0,Ginger,3,3,1.0,2.0,-2.0,3,-2
3734.0,Hulka,1,1,17.0,-2.0,-2.0,-2,-2
4127.0,MIOM | Toph,1,1,17.0,-2.0,-2.0,-2,-2
4197.0,Uncle Pete,1,0,-2.0,-1.0,-2.0,-2,-2
4317.0,Solo.,1,0,-2.0,-2.0,-2.0,-1,-2
4748.0,GST | Ryobeat,2,1,-1.0,-2.0,-2.0,13,-2
4864.0,Theftz,2,0,-1.0,-2.0,-1.0,-2,-2
5050.0,Troy,1,0,-2.0,-2.0,-2.0,-1,-2
5457.0,Bones,2,2,-2.0,-2.0,-2.0,17,7
5618.0,ANTIFA CEO | Quiggles,5,2,-1.0,25.0,9.0,-1,-1
6700.0,JCubez,3,3,-2.0,-2.0,7.0,13,9
7149.0,Trail,2,2,-2.0,-2.0,17.0,25,-2
7201.0,.Ðempt,2,2,-2.0,9.0,13.0,-2,-2
7550.0,OXY | TheCrimsonBlur,1,0,-2.0,-2.0,-2.0,-1,-2
10362.0,Elk G | Ivayne,1,0,-2.0,-2.0,-2.0,-2,-1
10485.0,DD,5,4,13.0,13.0,13.0,-1,13
10529.0,The Leaf,1,1,-2.0,9.0,-2.0,-2,-2
11603.0,Arctic,1,0,-2.0,-2.0,-2.0,-2,-1
11945.0,Strazz,3,0,-1.0,-1.0,-1.0,-2,-2
12137.0,yingling,2,1,-1.0,-2.0,13.0,-2,-2
12353.0,Twisty,2,2,-2.0,9.0,9.0,-2,-2
13622.0,Blu-J,1,0,-1.0,-2.0,-2.0,-2,-2
13664.0,codeman,1,0,-2.0,-2.0,-2.0,-1,-2
13748.0,,2,2,-2.0,-2.0,5.0,17,-2
13765.0,Help,1,0,-2.0,-2.0,-2.0,-2,-1
13932.0,Mango's Friend | Lucky,1,1,-2.0,-2.0,-2.0,5,-2
13960.0,RB | V$,1,0,-2.0,-2.0,-1.0,-2,-2
14617.0,DiscipleOfBorp,1,0,-1.0,-2.0,-2.0,-2,-2
15060.0,Just Jason,1,0,-2.0,-2.0,-2.0,-1,-2
15298.0,Cowbell,2,0,-2.0,-2.0,-1.0,-1,-2
15678.0,Zeph,1,0,-2.0,-2.0,-2.0,-1,-2
15948.0,glum oinkin',1,0,-2.0,-1.0,-2.0,-2,-2
16023.0,soccermom69,1,1,-2.0,13.0,-2.0,-2,-2
16066.0,TG NBR | Panos,2,1,-1.0,-2.0,-2.0,13,-2
18722.0,K.H.D | Reign,2,0,-2.0,-1.0,-2.0,-2,-1
19346.0,SonOfJ,1,1,-2.0,25.0,-2.0,-2,-2
21215.0,Dom,1,1,7.0,-2.0,-2.0,-2,-2
21525.0,Kaptinkillem,1,0,-2.0,-2.0,-1.0,-2,-2
21661.0,GLR | JAM,3,2,-2.0,17.0,-2.0,-1,17
22479.0,GEM | CrossFitJesus,1,1,-2.0,-2.0,-2.0,17,-2
22688.0,ROFL,1,0,-2.0,-2.0,-2.0,-1,-2
22848.0,darkwizard123,1,0,-2.0,-2.0,-2.0,-1,-2
23920.0,GHQ | Zamu,1,1,9.0,-2.0,-2.0,-2,-2
24423.0,Talen,1,0,-2.0,-2.0,-2.0,-2,-1
25478.0,Maruf,1,0,-2.0,-2.0,-2.0,-2,-1
25789.0,Tourist,1,0,-2.0,-1.0,-2.0,-2,-2
26153.0,DarkGenex,2,0,-1.0,-2.0,-2.0,-1,-2
26387.0,Phantom Airline,1,0,-2.0,-2.0,-2.0,-2,-1
26701.0,dirtyDev,1,0,-2.0,-2.0,-2.0,-1,-2
26750.0,KoDoRiN,5,5,5.0,7.0,4.0,9,2
27527.0,Megaman,3,1,-2.0,-1.0,17.0,-2,-1
27638.0,Panda,1,1,-2.0,-2.0,-2.0,17,-2
27862.0,Musashi,2,1,-1.0,25.0,-2.0,-2,-2
28793.0,Light,1,1,-2.0,17.0,-2.0,-2,-2
29840.0,TBD,2,1,-2.0,17.0,-2.0,-1,-2
31090.0,punished | gelp,1,0,-2.0,-2.0,-2.0,-1,-2
31658.0,early,1,0,-2.0,-2.0,-2.0,-1,-2
33371.0,Fraud,1,0,-2.0,-2.0,-2.0,-1,-2
33387.0,pointykitty,3,0,-2.0,-1.0,-2.0,-1,-1
34266.0,WOMB#619 | Wombat,3,0,-2.0,-2.0,-1.0,-1,-1
34980.0,Crispy | Chango,1,1,-2.0,-2.0,-2.0,17,-2
36990.0,Trock,1,1,-2.0,13.0,-2.0,-2,-2
37116.0,GUG | Kürv,2,2,-2.0,-2.0,-2.0,17,9
38175.0,W8ASec,1,0,-1.0,-2.0,-2.0,-2,-2
38201.0,Blue Jay,1,0,-2.0,-2.0,-1.0,-2,-2
38567.0,Android 0,1,1,-2.0,5.0,-2.0,-2,-2
38643.0,RedX,2,0,-1.0,-2.0,-2.0,-2,-1
40403.0,Pawn,5,0,-1.0,-1.0,-1.0,-1,-1
41211.0,Denzill,1,0,-2.0,-2.0,-2.0,-2,-1
41492.0,Divine Senator Kelly,1,0,-2.0,-2.0,-2.0,-1,-2
45356.0,OtES,1,0,-1.0,-2.0,-2.0,-2,-2
47866.0,S.C.E. | Erik,3,3,-2.0,17.0,-2.0,25,13
48578.0,LoneCubone,1,0,-2.0,-2.0,-1.0,-2,-2
50047.0,ScrubUp,1,0,-2.0,-2.0,-2.0,-1,-2
51055.0,bird | unlucky,1,0,-2.0,-2.0,-2.0,-2,-1
51488.0,Maher,1,1,-2.0,-2.0,-2.0,-2,13
51608.0,Vitro,1,0,-1.0,-2.0,-2.0,-2,-2
53131.0,DHB | IggyNieves,1,0,-2.0,-2.0,-2.0,-1,-2
53365.0,Ringler,1,0,-1.0,-2.0,-2.0,-2,-2
54316.0,Stone,1,0,-2.0,-2.0,-2.0,-1,-2
54390.0,Bonn Esports | Question,2,1,-2.0,17.0,-2.0,-1,-2
55354.0,Travy,2,0,-2.0,-2.0,-2.0,-1,-1
56287.0,Sporsinick,1,0,-2.0,-2.0,-2.0,-1,-2
60696.0,FM | Cilan,2,2,-2.0,17.0,13.0,-2,-2
61570.0,Pappi,1,1,-2.0,-2.0,-2.0,17,-2
61873.0,306 | Polo,1,1,17.0,-2.0,-2.0,-2,-2
61897.0,LSD,4,4,5.0,-2.0,1.0,2,4
63720.0,TNC | n3zModGod,1,0,-2.0,-2.0,-2.0,-1,-2
64260.0,Hellraid,1,0,-2.0,-2.0,-2.0,-1,-2
64644.0,STP,1,0,-2.0,-2.0,-2.0,-2,-1
64692.0,SANS | Blues Clues,4,4,13.0,7.0,9.0,-2,9
65566.0,Miranda,2,0,-1.0,-2.0,-2.0,-2,-1
65598.0,rickey_kc,1,0,-2.0,-2.0,-2.0,-1,-2
65777.0,bobby big ballz,5,5,9.0,4.0,3.0,4,7
127639.0,Neologism,2,2,-2.0,-2.0,-2.0,17,13
130672.0,Soltrain,2,0,-2.0,-2.0,-2.0,-1,-1
132537.0,RG | Far!,1,1,-2.0,-2.0,-2.0,-2,5
133666.0,404 YC | Salt,1,1,-2.0,-2.0,-2.0,-2,9
135157.0,billybopeep,1,1,17.0,-2.0,-2.0,-2,-2
138710.0,Golden,1,1,9.0,-2.0,-2.0,-2,-2
144133.0,YBBT | leroydankins,1,0,-2.0,-2.0,-1.0,-2,-2
147251.0,GS | TreyTheTrashman,1,0,-2.0,-1.0,-2.0,-2,-2
147424.0,Spiral Cafe | Krudo,1,1,-2.0,-2.0,-2.0,9,-2
147811.0,Dawson,1,0,-1.0,-2.0,-2.0,-2,-2
148200.0,Big Pivot,2,0,-2.0,-1.0,-1.0,-2,-2
149952.0,Jakespeare,2,0,-2.0,-2.0,-1.0,-2,-1
150888.0,Shy,1,0,-2.0,-1.0,-2.0,-2,-2
152430.0,HWY | ybot,1,1,-2.0,-2.0,-2.0,-2,17
152940.0,CLEM#112 | Clem,1,0,-2.0,-2.0,-2.0,-1,-2
153334.0,Silkylaroux,1,0,-2.0,-2.0,-2.0,-1,-2
155077.0,radvillainy,1,0,-1.0,-2.0,-2.0,-2,-2
156518.0,Lust,1,0,-2.0,-2.0,-2.0,-1,-2
157615.0,ight,3,1,-2.0,-2.0,17.0,-1,-1
157632.0,TurboThot,2,0,-2.0,-1.0,-1.0,-2,-2
158148.0,Chewy,2,0,-1.0,-2.0,-2.0,-2,-1
162779.0,FISA | JoJo,1,0,-2.0,-2.0,-2.0,-2,-1
164047.0,CG | Firebolt,1,0,-2.0,-2.0,-2.0,-1,-2
170887.0,Ahung,1,0,-2.0,-2.0,-2.0,-2,-1
171034.0,Den,1,0,-2.0,-2.0,-2.0,-2,-1
171111.0,UARK | VentusWK,1,0,-2.0,-2.0,-2.0,-1,-2
173178.0,LAG,2,0,-2.0,-2.0,-2.0,-1,-1
174790.0,Mounir,1,0,-2.0,-2.0,-2.0,-1,-2
175490.0,QoT | Cruelscotty,2,0,-2.0,-2.0,-2.0,-1,-1
176387.0,Badboi,1,0,-2.0,-2.0,-2.0,-1,-2
183280.0,WW | Lemonjuices,1,0,-2.0,-2.0,-2.0,-2,-1
183400.0,Doctor Dank,1,0,-2.0,-1.0,-2.0,-2,-2
183677.0,Yamasaki,1,0,-2.0,-2.0,-2.0,-1,-2
185618.0,Captain G,1,1,13.0,-2.0,-2.0,-2,-2
219919.0,Frozone,1,0,-2.0,-2.0,-2.0,-1,-2
223503.0,Rigo Bigo,1,0,-2.0,-1.0,-2.0,-2,-2
229216.0,KaiKwonDo,2,0,-2.0,-1.0,-2.0,-2,-1
230537.0,hHerb,1,0,-2.0,-2.0,-2.0,-1,-2
241260.0,Alex18+,3,1,-1.0,25.0,-2.0,-2,-1
250581.0,Fizz,2,2,-2.0,9.0,-2.0,9,-2
255496.0,ericiscool.net,2,1,-1.0,-2.0,17.0,-2,-2
257025.0,2Framez,2,0,-1.0,-1.0,-2.0,-2,-2
259437.0,Daddy Icey,1,0,-2.0,-2.0,-2.0,-2,-1
264211.0,BLM | Rats!,1,0,-2.0,-2.0,-2.0,-1,-2
265808.0,NOOT,2,1,-1.0,-2.0,-2.0,7,-2
268767.0,markrevival,3,0,-2.0,-2.0,-1.0,-1,-1
276041.0,Kettering,1,0,-2.0,-2.0,-2.0,-2,-1
279722.0,EP | Justus,2,2,17.0,-2.0,7.0,-2,-2
279871.0,KLAWHAU5,1,0,-2.0,-2.0,-2.0,-1,-2
286517.0,Thad <3,3,0,-1.0,-1.0,-2.0,-1,-2
288395.0,jams,1,0,-1.0,-2.0,-2.0,-2,-2
294260.0,ABG | salami,1,1,17.0,-2.0,-2.0,-2,-2
301566.0,JustJoshin,2,0,-2.0,-1.0,-1.0,-2,-2
310321.0,TC | BuyMyMixTape,1,0,-2.0,-2.0,-2.0,-1,-2
325974.0,SDJ,1,1,-2.0,-2.0,9.0,-2,-2
327212.0,Marrgasm,3,2,-1.0,17.0,-2.0,-2,17
329160.0,ZUTH | Zuthane,1,0,-2.0,-2.0,-1.0,-2,-2
329937.0,LanTurN,2,0,-2.0,-2.0,-1.0,-1,-2
330200.0,TT | Dair,2,0,-2.0,-2.0,-2.0,-1,-1
353165.0,Milo,1,0,-1.0,-2.0,-2.0,-2,-2
357233.0,Afron,1,0,-1.0,-2.0,-2.0,-2,-2
364725.0,LUNK#783 | dom,1,0,-2.0,-2.0,-1.0,-2,-2
367758.0,Rose,1,0,-2.0,-2.0,-2.0,-1,-2
391890.0,TheFormuoli,1,0,-1.0,-2.0,-2.0,-2,-2
407878.0,Slump,1,0,-1.0,-2.0,-2.0,-2,-2
413573.0,John,1,0,-2.0,-2.0,-1.0,-2,-2
420458.0,Jorge,1,0,-2.0,-2.0,-2.0,-1,-2
424095.0,Frost | JJK,1,0,-1.0,-2.0,-2.0,-2,-2
451734.0,CID,1,0,-2.0,-2.0,-2.0,-2,-1
465131.0,Hunybear,1,0,-1.0,-2.0,-2.0,-2,-2
478083.0,saacdaddy,1,0,-2.0,-2.0,-2.0,-1,-2
483428.0,DCG | Spots,1,0,-2.0,-2.0,-1.0,-2,-2
493224.0,Futz,1,0,-2.0,-2.0,-2.0,-2,-1
508569.0,eh | sickø,1,0,-2.0,-2.0,-1.0,-2,-2
508959.0,BCM | veggies,1,0,-2.0,-2.0,-2.0,-2,-1
526019.0,CSR | Tezlik,1,0,-2.0,-2.0,-2.0,-2,-1
528737.0,3OutChange,1,0,-2.0,-1.0,-2.0,-2,-2
585236.0,306 | Amrak,3,2,-1.0,13.0,5.0,-2,-2
617254.0,N8V,1,0,-1.0,-2.0,-2.0,-2,-2
627118.0,Pipe,4,1,-1.0,-1.0,-2.0,-1,17
641180.0,Luppi,1,0,-2.0,-1.0,-2.0,-2,-2
657175.0,Bobakanoosh,1,0,-2.0,-2.0,-2.0,-1,-2
657464.0,CowCowCowCowCow,2,2,-2.0,25.0,17.0,-2,-2
682345.0,Rive,1,0,-2.0,-2.0,-2.0,-2,-1
694497.0,Ben,1,1,-2.0,-2.0,-2.0,-2,5
694759.0,snek,2,0,-2.0,-2.0,-2.0,-1,-1
700566.0,olé,1,0,-2.0,-2.0,-2.0,-2,-1
703647.0,LVD | Super,1,0,-2.0,-2.0,-2.0,-2,-1
709843.0,Chem,1,1,13.0,-2.0,-2.0,-2,-2
718293.0,Nico,1,0,-2.0,-1.0,-2.0,-2,-2
735376.0,CVSmashMods | Ripn,1,0,-2.0,-1.0,-2.0,-2,-2
789026.0,Douglas.J.Gov,1,0,-2.0,-2.0,-2.0,-1,-2
858866.0,SLO | GrizzlyBair,1,0,-2.0,-2.0,-2.0,-1,-2
862074.0,snacklepackle,2,1,-2.0,-2.0,-2.0,-1,17
885830.0,HorseGirl420,1,0,-2.0,-2.0,-2.0,-2,-1
897815.0,moscow mich,1,0,-2.0,-2.0,-1.0,-2,-2
925369.0,Fishpaste,1,0,-1.0,-2.0,-2.0,-2,-2
927948.0,cliché,4,2,9.0,17.0,-2.0,-1,-1
1047164.0,lemon,1,0,-2.0,-2.0,-2.0,-1,-2
1094290.0,SDJ | SudoJoe,1,0,-2.0,-2.0,-2.0,-2,-1
1099771.0,PP | Droze,1,0,-2.0,-2.0,-2.0,-1,-2
1186877.0,Tomz,1,0,-2.0,-2.0,-1.0,-2,-2
1263692.0,CSB | ushi,1,0,-2.0,-2.0,-2.0,-2,-1
1301072.0,Melos,2,0,-2.0,-2.0,-2.0,-1,-1
1312079.0,ACAB | Mugen,1,0,-2.0,-2.0,-2.0,-2,-1
1315595.0,Sleeepy,1,0,-2.0,-2.0,-2.0,-1,-2
1322460.0,8167263631 | Notto,1,0,-2.0,-2.0,-2.0,-1,-2
1325809.0,CB,1,0,-2.0,-2.0,-2.0,-2,-1
1575919.0,Snickerdoodle,1,0,-2.0,-2.0,-2.0,-2,-1
1598204.0,YoungHanSolo,1,0,-2.0,-2.0,-2.0,-2,-1
1640788.0,Special K,1,0,-2.0,-2.0,-2.0,-2,-1
1682252.0,BABA | shama,1,0,-2.0,-2.0,-2.0,-1,-2
1682516.0,BABA | Babo,1,0,-2.0,-2.0,-2.0,-1,-2
1794541.0,Chubbz,1,0,-2.0,-2.0,-2.0,-1,-2
1940641.0,100 Days Of Solitude,1,0,-2.0,-2.0,-2.0,-2,-1
2011811.0,sucordie,1,0,-2.0,-2.0,-2.0,-1,-2
2021066.0,Schweppes,1,0,-2.0,-2.0,-2.0,-1,-2
2026451.0,ASAPferq,1,0,-2.0,-2.0,-2.0,-1,-2
2029721.0,Ghost Rider,1,1,-2.0,-2.0,-2.0,13,-2
2031615.0,420 | Yolk,1,0,-2.0,-2.0,-2.0,-1,-2
2064187.0,Abhi,1,0,-2.0,-1.0,-2.0,-2,-2
2082068.0,CarltonDanks,1,0,-1.0,-2.0,-2.0,-2,-2
2085246.0,kippu,3,0,-2.0,-1.0,-1.0,-1,-2
2111424.0,flowjam,1,0,-2.0,-2.0,-2.0,-1,-2
2114345.0,Watermelons,1,0,-2.0,-2.0,-2.0,-1,-2
2114347.0,adamaggy,1,0,-2.0,-2.0,-2.0,-1,-2
2114773.0,Raffshot,1,0,-2.0,-2.0,-2.0,-1,-2
2122811.0,$W@6 | rocketf20,1,0,-2.0,-2.0,-2.0,-2,-1
2123726.0,Sax,1,0,-2.0,-2.0,-2.0,-2,-1
