SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,ChangeInRank
1008,Westballz,NAN,NAN,NAN,24.0,31.0,-7.0
1016,Fiction,7.0,10.0,7.0,8.0,8.0,0.0
1017,S2J,4.0,4.0,8.0,5.0,1.0,4.0
1019,CLG. | SFAT,2.0,3.0,5.0,6.0,3.0,3.0
1077,Revenge | Gahtzu,3.0,2.0,2.0,4.0,7.0,-3.0
1621,bensw,NAN,NAN,99.0,160.0,191.0,-31.0
2088,ycz6,NAN,NAN,NAN,67.0,79.0,-12.0
3561,Ginger,1.0,1.0,1.0,1.0,6.0,-5.0
3734,Hulka,18.0,34.0,41.0,56.0,64.0,-8.0
4127,MIOM | Toph,19.0,35.0,42.0,58.0,67.0,-9.0
4197,Uncle Pete,NAN,59.0,73.0,112.0,135.0,-23.0
4317,Solo.,NAN,NAN,NAN,78.0,92.0,-14.0
4748,GST | Ryobeat,31.0,54.0,62.0,37.0,47.0,-10.0
4864,Theftz,46.0,69.0,73.0,112.0,135.0,-23.0
5050,Troy,NAN,NAN,NAN,125.0,157.0,-32.0
5457,Bones,NAN,NAN,NAN,64.0,18.0,46.0
5618,ANTIFA CEO | Quiggles,28.0,29.0,17.0,16.0,13.0,3.0
6700,JCubez,NAN,NAN,20.0,13.0,10.0,3.0
7149,Trail,NAN,NAN,40.0,35.0,44.0,-9.0
7201,.Ðempt,NAN,14.0,15.0,21.0,25.0,-4.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,101.0,119.0,-18.0
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,135.0,NAN
10485,DD,16.0,13.0,11.0,11.0,11.0,0.0
10529,The Leaf,NAN,18.0,26.0,31.0,40.0,-9.0
11603,Arctic,NAN,NAN,NAN,NAN,87.0,NAN
11945,Strazz,50.0,63.0,69.0,106.0,128.0,-22.0
12137,yingling,24.0,44.0,23.0,27.0,35.0,-8.0
12353,Twisty,NAN,16.0,13.0,17.0,21.0,-4.0
13622,Blu-J,56.0,90.0,112.0,176.0,207.0,-31.0
13664,codeman,NAN,NAN,NAN,90.0,103.0,-13.0
13748,Null,NAN,NAN,16.0,12.0,14.0,-2.0
13765,Help,NAN,NAN,NAN,NAN,119.0,NAN
13932,Mango's Friend | Lucky,NAN,NAN,NAN,22.0,26.0,-4.0
13960,RB | V$,NAN,NAN,91.0,150.0,185.0,-35.0
14617,DiscipleOfBorp,43.0,66.0,82.0,132.0,164.0,-32.0
15060,Just Jason,NAN,NAN,NAN,176.0,207.0,-31.0
15298,Cowbell,NAN,NAN,49.0,49.0,59.0,-10.0
15678,Zeph,NAN,NAN,NAN,90.0,103.0,-13.0
15948,glum oinkin',NAN,75.0,91.0,150.0,185.0,-35.0
16023,soccermom69,NAN,23.0,30.0,42.0,52.0,-10.0
16066,TG NBR | Panos,38.0,56.0,69.0,36.0,46.0,-10.0
18722,K.H.D | Reign,NAN,75.0,91.0,150.0,157.0,-7.0
19346,SonOfJ,NAN,41.0,49.0,71.0,85.0,-14.0
21215,Dom,8.0,11.0,18.0,23.0,28.0,-5.0
21525,Kaptinkillem,NAN,NAN,62.0,96.0,110.0,-14.0
21661,GLR | JAM,NAN,26.0,34.0,31.0,29.0,2.0
22479,GEM | CrossFitJesus,NAN,NAN,NAN,55.0,63.0,-8.0
22688,ROFL,NAN,NAN,NAN,70.0,83.0,-13.0
22848,darkwizard123,NAN,NAN,NAN,67.0,79.0,-12.0
23920,GHQ | Zamu,11.0,16.0,24.0,29.0,38.0,-9.0
24423,Talen,NAN,NAN,NAN,NAN,135.0,NAN
25478,Maruf,NAN,NAN,NAN,NAN,110.0,NAN
25789,Tourist,NAN,56.0,69.0,106.0,128.0,-22.0
26153,DarkGenex,24.0,44.0,52.0,47.0,57.0,-10.0
26387,Phantom Airline,NAN,NAN,NAN,NAN,119.0,NAN
26701,dirtyDev,NAN,NAN,NAN,120.0,148.0,-28.0
26750,KoDoRiN,6.0,6.0,6.0,7.0,5.0,2.0
27527,Megaman,NAN,44.0,32.0,45.0,44.0,1.0
27638,Panda,NAN,NAN,NAN,53.0,60.0,-7.0
27862,Musashi,31.0,39.0,46.0,62.0,72.0,-10.0
28793,Light,NAN,33.0,39.0,54.0,62.0,-8.0
29840,TBD,NAN,30.0,38.0,37.0,47.0,-10.0
31090,punished | gelp,NAN,NAN,NAN,140.0,172.0,-32.0
31658,early,NAN,NAN,NAN,160.0,191.0,-31.0
33371,Fraud,NAN,NAN,NAN,120.0,148.0,-28.0
33387,pointykitty,NAN,81.0,99.0,132.0,135.0,-3.0
34266,WOMB#619 | Wombat,NAN,NAN,85.0,106.0,119.0,-13.0
