SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7
1008,Westballz,NAN,NAN,NAN,83.0,83.0,83.0,83.0
1016,Fiction,104.0,104.0,293.0,293.0,293.0,293.0,293.0
1017,S2J,139.0,246.0,246.0,478.0,693.0,856.0,856.0
1019,CLG. | SFAT,197.0,361.0,361.0,448.0,626.0,815.0,1030.0
1030,LFG | Eddy Mexico,NAN,NAN,NAN,NAN,NAN,NAN,102.0
1077,Revenge | Gahtzu,168.0,384.0,384.0,491.0,491.0,491.0,491.0
1621,bensw,NAN,NAN,2.0,2.0,2.0,2.0,2.0
2088,ycz6,NAN,NAN,NAN,21.0,21.0,21.0,21.0
3299,Vish,NAN,NAN,NAN,NAN,NAN,45.0,45.0
3499,Boy,NAN,NAN,NAN,NAN,NAN,NAN,22.0
3561,Ginger,235.0,424.0,424.0,587.0,587.0,587.0,587.0
3734,Hulka,29.0,29.0,29.0,29.0,29.0,71.0,71.0
4127,MIOM | Toph,28.0,28.0,28.0,28.0,28.0,28.0,28.0
4197,Uncle Pete,NAN,8.0,8.0,8.0,8.0,8.0,8.0
4317,Solo.,NAN,NAN,NAN,15.0,15.0,15.0,15.0
4390,NGG | Jflex,NAN,NAN,NAN,NAN,NAN,NAN,68.0
4647,Gaz,NAN,NAN,NAN,NAN,NAN,17.0,29.0
4738,Young,NAN,NAN,NAN,NAN,NAN,108.0,108.0
4748,GST | Ryobeat,11.0,11.0,11.0,54.0,54.0,54.0,54.0
4864,Theftz,4.0,4.0,8.0,8.0,8.0,8.0,8.0
5050,Troy,NAN,NAN,NAN,6.0,6.0,6.0,6.0
5457,Bones,NAN,NAN,NAN,26.0,127.0,127.0,198.0
5618,ANTIFA CEO | Quiggles,12.0,35.0,103.0,128.0,153.0,186.0,202.0
6700,JCubez,NAN,NAN,93.0,137.0,206.0,299.0,332.0
7149,Trail,NAN,NAN,30.0,56.0,56.0,56.0,56.0
7201,.Ðempt,NAN,73.0,114.0,114.0,114.0,114.0,114.0
7550,OXY | TheCrimsonBlur,NAN,NAN,NAN,10.0,10.0,10.0,10.0
10362,Elk G | Ivayne,NAN,NAN,NAN,NAN,8.0,33.0,33.0
10485,DD,42.0,90.0,136.0,156.0,200.0,203.0,233.0
10529,The Leaf,NAN,63.0,63.0,63.0,63.0,63.0,63.0
11603,Arctic,NAN,NAN,NAN,NAN,17.0,28.0,28.0
11945,Strazz,2.0,7.0,9.0,9.0,9.0,9.0,9.0
12137,yingling,16.0,16.0,72.0,72.0,72.0,94.0,94.0
12353,Twisty,NAN,65.0,120.0,120.0,120.0,120.0,120.0
13385,ePG | Chevy,NAN,NAN,NAN,NAN,NAN,67.0,67.0
13622,Blu-J,1.0,1.0,1.0,1.0,1.0,1.0,1.0
13664,codeman,NAN,NAN,NAN,12.0,12.0,12.0,12.0
13748,Null,NAN,NAN,113.0,149.0,149.0,149.0,149.0
13765,Help,NAN,NAN,NAN,NAN,10.0,17.0,31.0
13932,Mango's Friend | Lucky,NAN,NAN,NAN,108.0,108.0,108.0,108.0
13960,RB | V$,NAN,NAN,3.0,3.0,3.0,3.0,3.0
14617,DiscipleOfBorp,5.0,5.0,5.0,5.0,5.0,5.0,5.0
15060,Just Jason,NAN,NAN,NAN,1.0,1.0,1.0,1.0
15298,Cowbell,NAN,NAN,18.0,39.0,39.0,39.0,57.0
