SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8
1008.0,Westballz,1,1,-2.0,-2.0,-2.0,9,-2,-2,-2,-2
1016.0,Fiction,2,2,7.0,-2.0,2.0,-2,-2,-2,-2,-2
1017.0,S2J,5,5,4.0,5.0,-2.0,1,1,3,-2,-2
1019.0,CLG. | SFAT,7,7,2.0,3.0,-2.0,7,3,2,1,1
1030.0,LFG | Eddy Mexico,1,1,-2.0,-2.0,-2.0,-2,-2,-2,7,-2
1077.0,Revenge | Gahtzu,3,3,3.0,1.0,-2.0,5,-2,-2,-2,-2
1621.0,bensw,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
2088.0,ycz6,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
3299.0,Vish,1,1,-2.0,-2.0,-2.0,-2,-2,13,-2,-2
3499.0,Boy,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-2
3561.0,Ginger,3,3,1.0,2.0,-2.0,3,-2,-2,-2,-2
3734.0,Hulka,2,2,17.0,-2.0,-2.0,-2,-2,13,-2,-2
4029.0,mixx,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
4127.0,MIOM | Toph,1,1,17.0,-2.0,-2.0,-2,-2,-2,-2,-2
4197.0,Uncle Pete,1,0,-2.0,-1.0,-2.0,-2,-2,-2,-2,-2
4317.0,Solo.,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
4390.0,NGG | Jflex,2,2,-2.0,-2.0,-2.0,-2,-2,-2,9,7
4647.0,Gaz,2,0,-2.0,-2.0,-2.0,-2,-2,-1,-1,-2
4738.0,Young,1,1,-2.0,-2.0,-2.0,-2,-2,7,-2,-2
4748.0,GST | Ryobeat,2,1,-1.0,-2.0,-2.0,13,-2,-2,-2,-2
4864.0,Theftz,2,0,-1.0,-2.0,-1.0,-2,-2,-2,-2,-2
5050.0,Troy,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
5457.0,Bones,3,3,-2.0,-2.0,-2.0,17,7,-2,9,-2
5618.0,ANTIFA CEO | Quiggles,8,4,-1.0,25.0,9.0,-1,-1,17,-1,17
6700.0,JCubez,5,5,-2.0,-2.0,7.0,13,9,7,17,-2
7149.0,Trail,2,2,-2.0,-2.0,17.0,25,-2,-2,-2,-2
7201.0,.Ðempt,2,2,-2.0,9.0,13.0,-2,-2,-2,-2,-2
7277.0,GOL | JSalt,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,7
7550.0,OXY | TheCrimsonBlur,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
7634.0,MT,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,13
10228.0,Flow | Stark,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
10362.0,Elk G | Ivayne,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
10485.0,DD,7,5,13.0,13.0,13.0,-1,13,-1,17,-2
10529.0,The Leaf,1,1,-2.0,9.0,-2.0,-2,-2,-2,-2,-2
10562.0,SFOP,1,1,-2.0,-2.0,-2.0,-2,-2,-2,-2,5
10994.0,RedHousePainter,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
11603.0,Arctic,2,0,-2.0,-2.0,-2.0,-2,-1,-1,-2,-2
11945.0,Strazz,4,0,-1.0,-1.0,-1.0,-2,-2,-2,-2,-1
12137.0,yingling,3,1,-1.0,-2.0,13.0,-2,-2,-1,-2,-2
12353.0,Twisty,2,2,-2.0,9.0,9.0,-2,-2,-2,-2,-2
13385.0,ePG | Chevy,1,1,-2.0,-2.0,-2.0,-2,-2,9,-2,-2
13622.0,Blu-J,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
13664.0,codeman,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
13748.0,,2,2,-2.0,-2.0,5.0,17,-2,-2,-2,-2
13765.0,Help,3,0,-2.0,-2.0,-2.0,-2,-1,-1,-1,-2
13906.0,SSBM-T | LuigiKid,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
13932.0,Mango's Friend | Lucky,2,2,-2.0,-2.0,-2.0,5,-2,-2,-2,4
13960.0,RB | V$,1,0,-2.0,-2.0,-1.0,-2,-2,-2,-2,-2
14305.0,Nard Dawg,1,0,-2.0,-2.0,-2.0,-2,-2,-2,-2,-1
14617.0,DiscipleOfBorp,1,0,-1.0,-2.0,-2.0,-2,-2,-2,-2,-2
15060.0,Just Jason,1,0,-2.0,-2.0,-2.0,-1,-2,-2,-2,-2
15298.0,Cowbell,4,0,-2.0,-2.0,-1.0,-1,-2,-2,-1,-1
15390.0,Tammerath,2,0,-2.0,-2.0,-2.0,-2,-2,-2,-1,-1
