SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
312135,AlyJ,9,1,0,0,0,1,0,1,WC
132537,RG | Far!,10,1,0,0,0,1,0,2,WC
221423,Typhoon,13,7,0,0,1,0,0,3,WC
29840,TBD,9,2,0,0,1,0,0,4,WC
3299,Vish,9,4,0,0,1,0,0,5,WC
10362,Elk G | Ivayne,15,6,0,0,1,0,0,6,WC
61570,Pappi,12,7,0,0,1,0,0,7,WC
927948,cliché,8,6,0,1,0,0,0,8,WC
173178,LAG,10,2,0,0,1,0,0,9,WC
64692,SANS | Blues Clues,10,3,0,0,1,0,0,10,WC
13385,ePG | Chevy,10,4,0,0,1,0,0,11,WC
26750,KoDoRiN,6,4,0,0,1,0,0,12,WC
12137,yingling,12,8,0,0,1,0,0,13,WC
3734,Hulka,6,2,0,0,1,0,0,14,WC
4647,Gaz,7,4,0,0,1,0,0,15,WC
53112,8-bit | dansdaman,8,4,0,0,1,0,0,15,WC
182665,Elysian,12,8,0,0,1,0,0,17,WC
60696,FM | Cilan,13,10,0,0,1,0,0,18,WC
217541,noChill,11,8,0,1,0,0,0,19,WC
2038523,thesiscat,10,6,0,1,0,0,0,20,WC
418740,ManRay,3,2,0,1,0,0,0,21,WC
229216,KaiKwonDo,10,7,0,1,0,0,0,22,WC
26579,Zave,7,11,0,1,0,0,0,23,WC
38643,RedX,7,6,0,1,0,0,0,23,WC
13765,Help,6,6,1,0,0,0,0,25,WC
1007304,Phorox,7,5,0,1,0,0,0,26,WC
413573,John,8,9,1,0,0,0,0,27,WC
144133,YBBT | leroydankins,6,7,0,1,0,0,0,28,WC
2044204,Eastwood,4,6,1,0,0,0,0,29,WC
627118,Pipe,6,6,1,0,0,0,0,30,WC
10485,DD,2,3,1,0,0,0,0,31,WC
315101,Rozu,5,14,0,1,0,0,0,32,WC
130672,Soltrain,2,2,1,0,0,0,0,33,WC
286517,Thad <3,4,4,1,0,0,0,0,33,WC
1112770,Penguis,6,8,1,0,0,0,0,35,WC
33387,pointykitty,4,5,1,0,0,0,0,36,WC
230537,hHerb,7,10,1,0,0,0,0,37,WC
40403,Pawn,5,9,1,0,0,0,0,38,WC
148200,Big Pivot,7,14,1,0,0,0,0,39,WC
153334,Silkylaroux,3,7,1,0,0,0,0,40,WC
956568,Night,2,9,1,0,0,0,0,41,WC
858866,SLO | GrizzlyBair,3,3,1,0,0,0,0,42,WC
268767,markrevival,4,8,1,0,0,0,0,42,WC
2131909,gbio,3,15,1,0,0,0,0,44,WC
1551714,JCobbs,1,6,1,0,0,0,0,45,WC
360229,BEBO,1,24,1,0,0,0,0,46,WC
276041,Kettering,0,11,1,0,0,0,0,47,WC
1640788,Special K,0,9,1,0,0,0,0,47,WC
4738,Young,15,5,0,0,0,1,0,1,EC
657464,CowCowCowCowCow,10,1,0,0,0,1,0,2,EC
47866,S.C.E. | Erik,12,4,0,0,0,1,0,3,EC
694497,Ben,8,0,0,0,1,0,0,4,EC
5618,ANTIFA CEO | Quiggles,13,7,0,0,1,0,0,5,EC
2029721,Ghost Rider,7,1,0,0,1,0,0,6,EC
26387,Phantom Airline,8,2,0,0,1,0,0,7,EC
6700,JCubez,6,1,0,0,1,0,0,8,EC
22937,USF | Quadae,9,7,0,1,0,0,0,9,EC
862074,snacklepackle,12,10,0,1,0,0,0,10,EC
11603,Arctic,6,6,0,1,0,0,0,11,EC
64644,STP,11,12,1,0,0,0,0,12,EC
255496,ericiscool.net,6,4,0,1,0,0,0,13,EC
158148,Chewy,5,4,0,1,0,0,0,14,EC
24423,Talen,4,6,1,0,0,0,0,15,EC
1501041,Hamburglar,6,10,1,0,0,0,0,16,EC
1655337,Drewski,5,9,1,0,0,0,0,17,EC
865922,SRN | Soulrifle211,3,6,1,0,0,0,0,18,EC
170887,Ahung,1,2,1,0,0,0,0,18,EC
1263692,ushi,2,4,1,0,0,0,0,18,EC
657175,Bobakanoosh,4,8,1,0,0,0,0,21,EC
155077,radvillainy,2,6,1,0,0,0,0,22,EC
213911,jtetter,3,12,1,0,0,0,0,23,EC
885830,HorseGirl420,1,13,1,0,0,0,0,24,EC
1633823,ButterRoyaleTV,1,14,1,0,0,0,0,25,EC
843799,Snoos,0,6,1,0,0,0,0,26,EC
