Rank,SmashTag,Wins,Losses,WinPercentage,BankRoll Bills
1.0,Ginger,20,4,0.833,235.0
2.0,CLG. | SFAT,12,4,0.75,197.0
3.0,Revenge | Gahtzu,8,2,0.8,168.0
4.0,S2J,4,2,0.667,139.0
5.0,LSD,14,4,0.778,124.0
6.0,KoDoRiN,8,3,0.727,113.0
7.0,Fiction,14,4,0.778,104.0
8.0,Dom,14,6,0.7,99.0
9.0,bobby big ballz,13,6,0.684,73.0
10.0,cliché,12,7,0.632,67.0
11.0,GHQ | Zamu,10,5,0.667,65.0
12.0,Golden,8,3,0.727,63.0
13.0,SANS | Blues Clues,15,7,0.682,55.0
14.0,Chem,13,10,0.565,48.0
15.0,Captain G,12,10,0.545,47.0
16.0,DD,7,4,0.636,42.0
17.0,EP | Justus,14,9,0.609,34.0
18.0,Hulka,9,6,0.6,29.0
19.0,billybopeep,8,6,0.571,28.0
19.0,MIOM | Toph,8,5,0.615,28.0
19.0,306 | Polo,8,3,0.727,28.0
19.0,ABG | salami,8,5,0.615,28.0
23.0,Hunybear,12,9,0.571,17.0
24.0,Cock Lot | JEEPER,11,15,0.423,16.0
24.0,DarkGenex,11,10,0.524,16.0
26.0,Milo,10,10,0.5,15.0
27.0,Dawson,9,8,0.529,14.0
28.0,:3 | Marrgasm,7,3,0.7,12.0
28.0,W8ASec,7,7,0.5,12.0
28.0,ANTIFA CEO | Quiggles,11,15,0.423,12.0
31.0,306 | Amrak,6,4,0.6,11.0
31.0,2Framez,6,3,0.667,11.0
31.0,GST | Ryobeat,6,2,0.75,11.0
31.0,Musashi,6,5,0.545,11.0
31.0,Pipe,6,13,0.316,11.0
31.0,TheFormuoli,10,14,0.417,11.0
37.0,Thad <3,5,4,0.556,10.0
38.0,TG NBR | Panos,4,4,0.5,9.0
38.0,NOOT,4,3,0.571,9.0
40.0,Slump,7,12,0.368,8.0
40.0,OtES,7,12,0.368,8.0
40.0,RedX,7,10,0.412,8.0
43.0,jams,4,16,0.2,5.0
43.0,Vitro,4,6,0.4,5.0
43.0,DiscipleOfBorp,4,11,0.267,5.0
46.0,Theftz,3,6,0.333,4.0
47.0,Chewy,2,8,0.2,3.0
47.0,Alex18+,2,8,0.2,3.0
47.0,Miranda,2,4,0.333,3.0
50.0,radvillainy,1,11,0.083,2.0
50.0,Ringler,1,11,0.083,2.0
50.0,Fishpaste,1,8,0.111,2.0
50.0,Strazz,1,9,0.1,2.0
50.0,ericiscool.net,1,2,0.333,2.0
50.0,N8V,1,8,0.111,2.0
56.0,Blu-J,0,2,0.0,1.0
56.0,Afron,0,4,0.0,1.0
56.0,Pawn,0,17,0.0,1.0
56.0,Frost | JJK,0,4,0.0,1.0
56.0,CarltonDanks,0,5,0.0,1.0
