Rank,ChangeInRank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,-,Ginger,24,6,80.0,424.0
2.0,++ 1.0,Revenge | Gahtzu,14,2,87.5,384.0
3.0,-- 1.0,CLG. | SFAT,16,6,72.73,361.0
4.0,-,S2J,6,4,60.0,246.0
5.0,++ 4.0,bobby big ballz,24,9,72.73,219.0
6.0,-,KoDoRiN,12,5,70.59,202.0
7.0,++ 6.0,SANS | Blues Clues,28,11,71.79,153.0
8.0,-- 3.0,LSD,14,4,77.78,124.0
9.0,New,Android 0,11,2,84.62,116.0
10.0,-- 3.0,Fiction,14,4,77.78,104.0
11.0,-- 3.0,Dom,14,6,70.0,99.0
12.0,-- 2.0,cliché,25,18,58.14,95.0
13.0,++ 3.0,DD,20,12,62.5,90.0
14.0,New,.Ðempt,18,11,62.07,73.0
14.0,New,Fizz,18,13,58.06,73.0
16.0,New,Twisty,10,4,71.43,65.0
16.0,-- 5.0,GHQ | Zamu,10,5,66.67,65.0
18.0,-- 6.0,Golden,8,3,72.73,63.0
18.0,New,The Leaf,8,2,80.0,63.0
20.0,++ 11.0,306 | Amrak,21,11,65.62,61.0
21.0,New,Trock,15,9,62.5,50.0
22.0,-- 8.0,Chem,13,10,56.52,48.0
23.0,-- 8.0,Captain G,12,10,54.55,47.0
23.0,New,soccermom69,12,5,70.59,47.0
25.0,++ 3.0,Marrgasm,18,12,60.0,43.0
26.0,New,GLR | JAM,17,7,70.83,42.0
27.0,New,Question,17,10,62.96,37.0
27.0,New,S.C.E. | Erik,12,7,63.16,37.0
29.0,-- 1.0,ANTIFA CEO | Quiggles,24,27,47.06,35.0
30.0,New,TBD,14,9,60.87,34.0
30.0,-- 13.0,EP | Justus,14,9,60.87,34.0
32.0,New,FM | Cilan,13,8,61.9,33.0
33.0,New,Light,12,6,66.67,32.0
34.0,-- 16.0,Hulka,9,6,60.0,29.0
35.0,-- 16.0,MIOM | Toph,8,5,61.54,28.0
35.0,-- 16.0,billybopeep,8,6,57.14,28.0
35.0,-- 16.0,306 | Polo,8,3,72.73,28.0
35.0,-- 16.0,ABG | salami,8,5,61.54,28.0
39.0,-- 8.0,Musashi,12,9,57.14,27.0
40.0,-- 9.0,Pipe,15,23,39.47,25.0
41.0,New,SonOfJ,8,8,50.0,18.0
41.0,New,CowCowCowCowCow,8,8,50.0,18.0
43.0,-- 20.0,Hunybear,12,9,57.14,17.0
44.0,-- 7.0,Thad <3,10,9,52.63,16.0
44.0,-- 20.0,DarkGenex,11,10,52.38,16.0
44.0,-- 20.0,Cock Lot | JEEPER,11,15,42.31,16.0
44.0,New,Megaman,11,14,44.0,16.0
48.0,-- 17.0,2Framez,9,7,56.25,15.0
48.0,-- 22.0,Milo,10,10,50.0,15.0
50.0,-- 23.0,Dawson,9,8,52.94,14.0
51.0,-- 4.0,Alex18+,11,19,36.67,13.0
52.0,New,Shy,7,4,63.64,12.0
52.0,-- 24.0,W8ASec,7,7,50.0,12.0
54.0,-- 23.0,TheFormuoli,10,14,41.67,11.0
54.0,-- 23.0,GST | Ryobeat,6,2,75.0,11.0
56.0,-- 18.0,NOOT,4,3,57.14,9.0
56.0,-- 18.0,TG NBR | Panos,4,4,50.0,9.0
56.0,New,Tourist,4,3,57.14,9.0
59.0,-- 19.0,OtES,7,12,36.84,8.0
59.0,New,Uncle Pete,3,6,33.33,8.0
59.0,-- 19.0,RedX,7,10,41.18,8.0
59.0,-- 19.0,Slump,7,12,36.84,8.0
63.0,-- 13.0,Strazz,5,14,26.32,7.0
63.0,-- 7.0,Pawn,5,25,16.67,7.0
65.0,New,Rigo Bigo,5,11,31.25,6.0
66.0,-- 23.0,DiscipleOfBorp,4,11,26.67,5.0
66.0,-- 23.0,Vitro,4,6,40.0,5.0
66.0,-- 23.0,jams,4,16,20.0,5.0
69.0,New,CVSmashMods | Ripn,3,3,50.0,4.0
69.0,New,Nico,3,8,27.27,4.0
69.0,New,JustJoshin,3,4,42.86,4.0
69.0,New,kippu,3,5,37.5,4.0
69.0,-- 23.0,Theftz,3,6,33.33,4.0
69.0,New,GS | TreyTheTrashman,3,4,42.86,4.0
75.0,New,K.H.D | Reign,2,15,11.76,3.0
75.0,-- 28.0,Miranda,2,4,33.33,3.0
75.0,-- 28.0,Chewy,2,8,20.0,3.0
75.0,New,Doctor Dank,2,13,13.33,3.0
75.0,New,glum oinkin',2,4,33.33,3.0
75.0,New,KaiKwonDo,2,6,25.0,3.0
81.0,New,TurboThot,1,3,25.0,2.0
81.0,-- 31.0,Fishpaste,1,8,11.11,2.0
81.0,New,pointykitty,1,19,5.0,2.0
81.0,New,Luppi,1,7,12.5,2.0
81.0,-- 31.0,N8V,1,8,11.11,2.0
81.0,New,3OutChange,1,11,8.33,2.0
81.0,-- 31.0,ericiscool.net,1,2,33.33,2.0
81.0,-- 31.0,Ringler,1,11,8.33,2.0
81.0,-- 31.0,radvillainy,1,11,8.33,2.0
90.0,-- 34.0,Blu-J,0,2,0.0,1.0
90.0,-- 34.0,Frost | JJK,0,4,0.0,1.0
90.0,-- 34.0,Afron,0,4,0.0,1.0
90.0,New,Big Pivot,0,27,0.0,1.0
90.0,-- 34.0,CarltonDanks,0,5,0.0,1.0
90.0,New,Abhi,0,15,0.0,1.0
