Rank,SmashTag,Wins,Losses,Win%,BankRoll Bills
1.0,S2J,17,1,94.44,232.0
2.0,LSD,5,2,71.43,190.0
3.0,Ginger,3,2,60.0,163.0
4.0,bobby big ballz,6,2,75.0,141.0
5.0,Mango's Friend | Lucky,3,2,60.0,108.0
6.0,Revenge | Gahtzu,2,2,50.0,107.0
7.0,NOOT,16,5,76.19,106.0
8.0,CLG. | SFAT,2,2,50.0,87.0
9.0,Westballz,18,3,85.71,83.0
10.0,Spiral Cafe | Krudo,14,3,82.35,74.0
11.0,Fizz,8,3,72.73,63.0
12.0,KoDoRiN,4,2,66.67,54.0
13.0,Ghost Rider,16,8,66.67,51.0
14.0,TG NBR | Panos,11,6,64.71,46.0
15.0,JCubez,9,3,75.0,44.0
16.0,GST | Ryobeat,8,2,80.0,43.0
17.0,GUG | Kürv,14,7,66.67,39.0
18.0,Neologism,12,5,70.59,37.0
19.0,,11,3,78.57,36.0
20.0,Panda,9,2,81.82,34.0
21.0,GEM | CrossFitJesus,11,5,68.75,31.0
22.0,S.C.E. | Erik,14,8,63.64,29.0
22.0,Crispy | Chango,9,3,75.0,29.0
24.0,Pappi,7,2,77.78,27.0
25.0,Bonn Esports | Question,16,11,59.26,26.0
25.0,Bones,6,2,75.0,26.0
25.0,CG | Firebolt,16,13,55.17,26.0
25.0,Trail,11,4,73.33,26.0
29.0,DarkGenex,15,8,65.22,25.0
29.0,ANTIFA CEO | Quiggles,15,12,55.56,25.0
31.0,cliché,13,10,56.52,23.0
32.0,Pipe,12,8,60.0,22.0
33.0,GLR | JAM,11,7,61.11,21.0
33.0,darkwizard123,11,7,61.11,21.0
33.0,ycz6,11,4,73.33,21.0
33.0,Cowbell,11,7,61.11,21.0
37.0,DD,10,4,71.43,20.0
37.0,TBD,10,3,76.92,20.0
39.0,ROFL,14,11,56.0,19.0
40.0,ight,13,13,50.0,18.0
40.0,LAG,13,11,54.17,18.0
42.0,CLEM#112 | Clem,12,9,57.14,17.0
42.0,QoT | Cruelscotty,12,14,46.15,17.0
42.0,Jorge,12,12,50.0,17.0
45.0,BLM | Rats!,10,13,43.48,15.0
45.0,Solo.,10,9,52.63,15.0
45.0,Chubbz,10,10,50.0,15.0
48.0,DHB | IggyNieves,9,7,56.25,14.0
48.0,ScrubUp,9,8,52.94,14.0
48.0,Douglas.J.Gov,13,16,44.83,14.0
51.0,Travy,11,17,39.29,12.0
51.0,codeman,7,4,63.64,12.0
51.0,Zeph,7,5,58.33,12.0
51.0,BABA | shama,7,5,58.33,12.0
51.0,LanTurN,7,7,50.0,12.0
56.0,Divine Senator Kelly,6,4,60.0,11.0
56.0,Mounir,6,6,50.0,11.0
56.0,SLO | GrizzlyBair,6,5,54.55,11.0
59.0,OXY | TheCrimsonBlur,5,4,55.56,10.0
59.0,Soltrain,5,4,55.56,10.0
59.0,snacklepackle,9,16,36.0,10.0
62.0,Silkylaroux,8,15,34.78,9.0
62.0,adamaggy,8,8,50.0,9.0
64.0,420 | Yolk,3,3,50.0,8.0
64.0,TC | BuyMyMixTape,7,10,41.18,8.0
66.0,Fraud,6,11,35.29,7.0
66.0,Yamasaki,6,7,46.15,7.0
66.0,Pawn,6,9,40.0,7.0
66.0,TNC | n3zModGod,2,0,100.0,7.0
66.0,dirtyDev,6,7,46.15,7.0
66.0,Sporsinick,6,7,46.15,7.0
72.0,Troy,5,18,21.74,6.0
72.0,Watermelons,5,10,33.33,6.0
72.0,UARK | VentusWK,5,15,25.0,6.0
72.0,Stone,5,5,50.0,6.0
76.0,WOMB#619 | Wombat,4,7,36.36,5.0
76.0,TT | Dair,4,6,40.0,5.0
76.0,Thad <3,4,4,50.0,5.0
76.0,sucordie,4,10,28.57,5.0
76.0,hHerb,4,11,26.67,5.0
76.0,Melos,4,10,28.57,5.0
82.0,punished | gelp,3,5,37.5,4.0
82.0,markrevival,3,8,27.27,4.0
82.0,saacdaddy,3,7,30.0,4.0
82.0,Bobakanoosh,3,12,20.0,4.0
82.0,rickey_kc,3,3,50.0,4.0
82.0,Lust,3,10,23.08,4.0
88.0,snek,2,4,33.33,3.0
88.0,pointykitty,2,13,13.33,3.0
88.0,Frozone,2,4,33.33,3.0
91.0,kippu,1,9,10.0,2.0
91.0,BABA | Babo,1,12,7.69,2.0
91.0,KLAWHAU5,1,10,9.09,2.0
91.0,early,1,5,16.67,2.0
91.0,Schweppes,1,9,10.0,2.0
91.0,ASAPferq,1,5,16.67,2.0
97.0,lemon,0,3,0.0,1.0
97.0,Badboi,0,1,0.0,1.0
97.0,flowjam,0,3,0.0,1.0
97.0,Hellraid,0,24,0.0,1.0
97.0,Rose,0,3,0.0,1.0
97.0,8167263631 | Notto,0,3,0.0,1.0
97.0,Sleeepy,0,13,0.0,1.0
97.0,PP | Droze,0,2,0.0,1.0
97.0,Just Jason,0,2,0.0,1.0
97.0,Raffshot,0,6,0.0,1.0
