SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Points,Rank
1008,Westballz,WC,12,2,0,0,0,0,1,0,0,177,3
1092,Connor,WC,4,1,0,0,1,0,0,0,0,9,65
2083,Phil,WC,1,0,0,1,0,0,0,0,0,2,105
3602,JLo,EC,4,10,0,1,0,0,0,0,0,5,82
3665,Younger,EC,15,7,0,0,0,0,1,0,0,55,14
4317,donk,WC,8,10,0,1,0,0,0,0,0,9,65
4390,NGG | Jflex,EC,11,4,0,0,0,1,0,0,0,66,10
4434,Skeeter,WC,2,3,0,1,0,0,0,0,0,3,96
5618,HOLD$DOGE | Crypto Quiggles,EC,11,7,0,0,0,1,0,0,0,21,28
5869,Joey Bats,EC,7,6,0,0,1,0,0,0,0,12,49
7693,Kanye Rest,EC,7,5,0,0,1,0,0,0,0,12,49
10362,Elk G | Ivayne,WC,14,3,0,0,0,0,1,0,0,29,19
10485,DD,WC,1,1,0,1,0,0,0,0,0,2,105
10520,CREW | G,WC,13,11,0,0,1,0,0,0,0,18,32
11606,Elk_G | Karm,WC,2,2,0,1,0,0,0,0,0,3,96
11945,CSTR#106 | Strazz,EC,7,5,0,0,1,0,0,0,0,12,49
12137,yingling,WC,9,6,0,0,0,1,0,0,0,19,30
13505,Sworderailer,WC,5,14,0,1,0,0,0,0,0,6,78
13765,Help,WC,1,6,0,1,0,0,0,0,0,2,105
13956,Vino,EC,4,3,0,0,1,0,0,0,0,9,65
14667,Proobie44,EC,1,7,0,1,0,0,0,0,0,2,105
15070,Verdo,EC,2,1,0,1,0,0,0,0,0,3,96
15298,Cowbell,WC,8,3,0,0,0,1,0,0,0,18,32
18652,LFTG | Logos,WC,12,5,0,0,0,1,0,0,0,47,15
18722,K.H.D | Reign,WC,1,8,0,1,0,0,0,0,0,2,105
19270,Connorasada,WC,7,12,0,1,0,0,0,0,0,8,71
22088,Nebulous | Jib,EC,5,3,0,0,1,0,0,0,0,10,61
22458,Kandayo,WC,1,3,0,1,0,0,0,0,0,2,105
27069,JoeyBonzo,WC,0,3,0,1,0,0,0,0,0,1,124
28663,QTT | Marco,WC,7,5,0,0,1,0,0,0,0,12,49
29405,Vianny,EC,5,3,0,0,1,0,0,0,0,10,61
30054,20PcMcnugget,WC,0,4,0,1,0,0,0,0,0,1,124
30865,Spi,EC,1,10,0,1,0,0,0,0,0,2,105
31487,Winx Club | Siddward,EC,14,9,0,0,0,1,0,0,0,24,23
34266,WOMB#619 | Wombat,WC,3,4,0,1,0,0,0,0,0,4,88
34399,BuenasRetas | Cobs,WC,6,8,0,1,0,0,0,0,0,7,75
36532,Googlyeyed,EC,9,4,0,0,0,1,0,0,0,44,16
36782,Oaty,EC,12,8,0,0,0,1,0,0,0,22,26
38979,Tristan's Rule,WC,10,4,0,0,0,1,0,0,0,20,29
39235,Dream,WC,6,1,0,0,0,1,0,0,0,16,35
41492,Divine Senator Kelly,WC,1,1,0,1,0,0,0,0,0,2,105
44671,Quaff,WC,15,3,0,0,0,0,1,0,0,155,4
45292,TZ | Iván,WC,8,5,0,0,1,0,0,0,0,13,42
46349,Aura,EC,2,2,0,0,0,0,0,0,1,107,6
47650,shoelegend88,EC,7,9,0,1,0,0,0,0,0,8,71
49711,sad | UwUMysticalGirl,EC,8,4,0,0,0,1,0,0,0,28,21
51112,Pilgrim,WC,5,4,0,0,1,0,0,0,0,10,61
53655,Frankhoe,EC,10,6,0,0,1,0,0,0,0,15,37
54824,Red Dead | Traplord,WC,9,2,0,0,0,0,1,0,0,34,18
62626,SuperCuak,WC,8,5,0,0,1,0,0,0,0,13,42
64467,Pingy,WC,1,1,0,1,0,0,0,0,0,2,105
64692,SANS | Blues Clues,WC,9,5,0,0,0,1,0,0,0,29,19
65566,Miranda,EC,6,3,0,0,1,0,0,0,0,11,56
65777,bobby big ballz,WC,5,0,0,0,0,0,0,0,1,215,1
69921,Furniture,WC,8,7,0,0,1,0,0,0,0,13,42
70796,BHC | Evan,WC,8,4,0,0,0,1,0,0,0,63,12
71442,Wiza,EC,2,8,0,1,0,0,0,0,0,3,96
130746,TZ | Morrito,WC,13,9,0,0,0,1,0,0,0,23,24
132938,RU | Midnight Blue,WC,6,5,0,0,1,0,0,0,0,11,56
136379,HoG | Warmmer,EC,14,4,0,0,0,0,1,0,0,104,7
144133,YBBT | leroydankins,WC,4,6,0,1,0,0,0,0,0,5,82
144798,akir,EC,4,0,0,0,1,0,0,0,0,9,65
150851,Ath | Bumble,WC,3,8,0,1,0,0,0,0,0,4,88
153138,ZouL,WC,8,8,0,0,1,0,0,0,0,13,42
153334,Silkylaroux,WC,4,4,0,0,1,0,0,0,0,9,65
157615,ight,EC,10,8,0,0,1,0,0,0,0,15,37
158524,Oferton,EC,7,8,0,1,0,0,0,0,0,8,71
172608,Churro,EC,1,1,0,1,0,0,0,0,0,2,105
173178,LAG,WC,13,5,0,0,0,1,0,0,0,23,24
183677,Yamasaki,WC,5,2,0,0,1,0,0,0,0,10,61
185618,Captain G,EC,7,5,0,0,1,0,0,0,0,12,49
193839,Loki,WC,8,7,0,0,1,0,0,0,0,13,42
215584,LAGr | Travioli,EC,6,4,0,0,1,0,0,0,0,11,56
221136,Zeeker,EC,9,3,0,0,0,1,0,0,0,64,11
228400,Piti,EC,4,6,0,1,0,0,0,0,0,5,82
230537,hHerb,WC,3,5,0,1,0,0,0,0,0,4,88
232213,MikeDrop,WC,9,9,0,0,1,0,0,0,0,14,40
233059,Ribboned Ace,WC,7,6,0,0,1,0,0,0,0,12,49
255496,ericiscool.net,EC,1,1,0,1,0,0,0,0,0,2,105
257406,Lotfy,EC,15,6,0,0,0,0,1,0,0,125,5
268767,markrevival,WC,1,4,0,1,0,0,0,0,0,2,105
269238,91,WC,1,7,0,1,0,0,0,0,0,2,105
271333,MMG | Seven,EC,8,2,0,0,0,1,0,0,0,18,32
278295,ItsDad,EC,2,7,0,1,0,0,0,0,0,3,96
279107,Khryke,EC,17,10,0,0,0,0,1,0,0,57,13
279722,EP | Justus,WC,14,6,0,0,0,0,1,0,0,39,17
288395,jams,WC,11,7,0,0,1,0,0,0,0,16,35
310321,TC | BuyMyMixTape,EC,1,2,0,1,0,0,0,0,0,2,105
324561,Soonsay,EC,6,2,0,0,0,0,0,0,1,191,2
378512,KG/SBC | Oreo,WC,15,12,0,0,0,1,0,0,0,25,22
448153,Neenor,EC,5,5,0,1,0,0,0,0,0,6,78
472971,MaxJacks,WC,1,1,0,1,0,0,0,0,0,2,105
483428,DCG | Spots,WC,2,15,0,1,0,0,0,0,0,3,96
493224,Fitz,EC,3,8,0,1,0,0,0,0,0,4,88
503278,Pogey,WC,4,17,0,1,0,0,0,0,0,5,82
512704,Axis,EC,2,5,0,1,0,0,0,0,0,3,96
520837,Neck,WC,9,9,0,0,1,0,0,0,0,14,40
533918,Maelstrom,EC,6,11,0,1,0,0,0,0,0,7,75
542693,Bbatts,EC,12,3,0,0,0,0,1,0,0,72,9
618857,Lamdin,EC,12,6,0,0,0,1,0,0,0,22,26
627118,Pipe,WC,8,7,0,0,1,0,0,0,0,13,42
657464,CowCowCowCowCow,EC,5,6,0,1,0,0,0,0,0,6,78
657711,PurpleZ,EC,6,3,0,0,1,0,0,0,0,11,56
692999,maso soup,EC,2,5,0,1,0,0,0,0,0,3,96
804411,Neee,EC,1,11,0,1,0,0,0,0,0,2,105
807868,Funk,EC,3,9,0,1,0,0,0,0,0,4,88
819230,Willy P,EC,9,5,0,0,0,1,0,0,0,19,30
852916,Krizski,WC,13,5,0,0,0,1,0,0,0,98,8
862074,snacklepackle,EC,4,9,0,1,0,0,0,0,0,5,82
880372,Good1ife,WC,5,1,0,0,0,1,0,0,0,15,37
898035,mathandsurf,EC,0,2,0,1,0,0,0,0,0,1,124
1034300,Oz,EC,3,7,0,1,0,0,0,0,0,4,88
1232194,Kawaii Kid | King Salmon,WC,0,6,0,1,0,0,0,0,0,1,124
1308234,JackO,EC,0,5,0,1,0,0,0,0,0,1,124
1487504,Arn255,EC,8,14,0,1,0,0,0,0,0,9,65
1525551,Lechero,WC,0,6,0,1,0,0,0,0,0,1,124
1638022,pathojin,WC,2,7,0,1,0,0,0,0,0,3,96
1640788,Special K,WC,1,7,0,1,0,0,0,0,0,2,105
1669002,JehL,WC,0,5,0,1,0,0,0,0,0,1,124
1737518,Kombeze Ataie,WC,6,15,0,1,0,0,0,0,0,7,75
1866109,BubbleFuel,EC,3,6,0,1,0,0,0,0,0,4,88
1918686,roadkill,EC,0,4,0,1,0,0,0,0,0,1,124
1927744,pr0j3cts,EC,0,4,0,1,0,0,0,0,0,1,124
1957958,50 Rats in a Trenchcoat,EC,0,7,0,1,0,0,0,0,0,1,124
1966716,LewdCelebs4Free,WC,4,10,0,1,0,0,0,0,0,5,82
2038523,thesiscat,WC,3,6,0,1,0,0,0,0,0,4,88
2103929,sidewinder572,EC,0,14,0,1,0,0,0,0,0,1,124
2133564,Brandt,EC,1,5,0,1,0,0,0,0,0,2,105
2136488,Sacred,EC,6,5,0,0,1,0,0,0,0,11,56
2145653,doubledown8,WC,7,6,0,0,1,0,0,0,0,12,49
2149456,Quadragesimus,WC,1,1,0,1,0,0,0,0,0,2,105
2154680,Godslayer903,EC,7,10,0,1,0,0,0,0,0,8,71
2156746,Wobs,WC,0,4,0,1,0,0,0,0,0,1,124
2177428,KYROS | Chuchaka2112,WC,5,10,0,1,0,0,0,0,0,6,78
2178856,Abermega,EC,0,2,0,1,0,0,0,0,0,1,124
2179108,Mud,EC,8,6,0,0,1,0,0,0,0,13,42
