SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4
1008,Westballz,177.0,177.0,177.0,331.0
1030,LFG | Eddy Mexico,NAN,NAN,56.0,56.0
1092,Connor,9.0,16.0,16.0,16.0
2083,Phil,2.0,2.0,2.0,2.0
2088,ycz6,NAN,124.0,124.0,170.0
3561,LG | Ginger,NAN,NAN,NAN,189.0
3602,JLo,5.0,9.0,9.0,16.0
3665,Younger,55.0,111.0,131.0,142.0
4205,a-on,NAN,NAN,NAN,8.0
4317,donk,9.0,9.0,9.0,27.0
4390,NGG | Jflex,66.0,183.0,292.0,350.0
4394,Zhyrri,NAN,20.0,20.0,20.0
4434,Skeeter,3.0,3.0,3.0,3.0
4876,will1v1_ttv,NAN,5.0,5.0,5.0
5618,HOLD$DOGE | Crypto Quiggles,21.0,64.0,64.0,64.0
5869,Joey Bats,12.0,26.0,26.0,38.0
7693,Kanye Rest,12.0,12.0,12.0,12.0
10060,PapaNoJohns,NAN,11.0,11.0,11.0
10067,icecream,NAN,NAN,NAN,4.0
10228,Flow | Stark,NAN,NAN,NAN,13.0
10362,Elk G | Ivayne,29.0,49.0,69.0,69.0
10485,DD,2.0,13.0,13.0,21.0
10520,CREW | G,18.0,35.0,35.0,46.0
10968,Enemy,NAN,NAN,NAN,17.0
11590,Rickeye_rick,NAN,5.0,5.0,5.0
11606,Elk_G | Karm,3.0,3.0,3.0,3.0
11945,RULES | Strazz,12.0,20.0,41.0,46.0
12023,El Link,NAN,NAN,NAN,2.0
12137,yingling,19.0,47.0,84.0,99.0
13385,ePG | Chevy,NAN,NAN,NAN,14.0
13505,Sworderailer,6.0,6.0,6.0,8.0
13746,Baja,NAN,10.0,10.0,10.0
13765,Help,2.0,12.0,12.0,12.0
13932,Mango's Friend | Lucky,NAN,NAN,190.0,354.0
13956,Vino,9.0,9.0,9.0,9.0
14305,Nard Dawg,NAN,10.0,10.0,10.0
14489,Crow,NAN,4.0,4.0,15.0
14667,Proobie44,2.0,2.0,2.0,2.0
15070,Verdo,3.0,11.0,11.0,11.0
15087,Reese,NAN,NAN,NAN,10.0
15298,Cowbell,18.0,39.0,39.0,43.0
15504,Umarth,NAN,NAN,NAN,19.0
16294,Ders,NAN,NAN,NAN,2.0
16393,Higgins,NAN,11.0,11.0,15.0
18652,LFTG | Logos,47.0,47.0,47.0,47.0
18722,Reign,2.0,5.0,15.0,18.0
18840,Gooms,NAN,NAN,NAN,22.0
19270,Connorasada,8.0,8.0,8.0,8.0
