SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6
1008,Westballz,2,2,3,-2,-2,4,-2,-2
1030,LFG | Eddy Mexico,1,1,-2,-2,9,-2,-2,-2
1077,Revenge | Gahtzu,1,1,-2,-2,-2,-2,4,-2
1088,Scar,1,0,-2,-2,-2,-2,-2,-1
1092,Connor,2,0,-1,-1,-2,-2,-2,-2
1601,FendrickLamar,1,0,-2,-2,-2,-2,-2,-1
2083,Phil,1,0,-1,-2,-2,-2,-2,-2
2088,ycz6,4,3,-2,5,-2,13,9,-1
3561,LG | Ginger,1,1,-2,-2,-2,2,-2,-2
3602,JLo,4,0,-1,-1,-2,-1,-1,-2
3665,Younger,5,3,13,13,17,-1,-1,-2
3949,Project Pat,1,0,-2,-2,-2,-2,-1,-2
3977,B0XX | Sicca,2,0,-2,-2,-2,-2,-1,-1
4127,Toph,1,1,-2,-2,-2,-2,17,-2
4176,NathanSandwich,1,0,-2,-2,-2,-2,-2,-1
4205,a-on,1,0,-2,-2,-2,-1,-2,-2
4317,Solomon,3,0,-1,-2,-2,-1,-2,-1
4390,Jflex,6,6,9,5,5,9,9,9
4394,Zhyrri,1,0,-2,-1,-2,-2,-2,-2
4434,Skeeter,1,0,-1,-2,-2,-2,-2,-2
4446,RCS | Chi,1,1,-2,-2,-2,-2,-2,7
4748,GST | Ryobeat,1,1,-2,-2,-2,-2,5,-2
4876,will1v1_ttv,1,0,-2,-1,-2,-2,-2,-2
4929,Melee Stats | Ambisinister,2,0,-2,-2,-2,-2,-1,-1
5618,CRACKSHACK | Quiggles,4,1,-1,13,-2,-2,-1,-1
5714,092 | LXIX,1,0,-2,-2,-2,-2,-2,-1
5869,Joey Bats,5,0,-1,-1,-2,-1,-1,-1
6839,Drephen,1,1,-2,-2,-2,-2,5,-2
7654,Schnurb,1,0,-2,-2,-2,-2,-2,-1
7676,MrDrBoi,1,0,-2,-2,-2,-2,-2,-1
7693,Kanye Rest,1,0,-1,-2,-2,-2,-2,-2
7764,sfy | Fizz,1,0,-2,-2,-2,-2,-2,-1
7962,FreeMelee | Zuppy,1,1,-2,-2,-2,-2,-2,4
10060,PapaNoJohns,2,0,-2,-1,-2,-2,-1,-2
10067,icecream,2,0,-2,-2,-2,-1,-1,-2
10228,Flow | Stark,2,0,-2,-2,-2,-1,-2,-1
10268,PLEB | Capy,1,0,-2,-2,-2,-2,-2,-1
10362,Elk G | Ivayne,4,1,-1,-1,17,-2,-1,-2
