SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,RWeek4,RWeek5,RWeek6,ChangeInRank
1008,Westballz,3.0,7.0,12.0,7.0,7.0,10.0,-3.0
1030,LFG | Eddy Mexico,NAN,NAN,31.0,36.0,45.0,55.0,-10.0
1077,Revenge | Gahtzu,NAN,NAN,NAN,NAN,20.0,24.0,-4.0
1088,Scar,NAN,NAN,NAN,NAN,NAN,155.0,NAN
1092,Connor,65.0,59.0,72.0,96.0,127.0,147.0,-20.0
1601,FendrickLamar,NAN,NAN,NAN,NAN,NAN,195.0,NAN
2083,Phil,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
2088,ycz6,NAN,12.0,16.0,16.0,11.0,12.0,-1.0
3561,LG | Ginger,NAN,NAN,NAN,12.0,14.0,16.0,-2.0
3602,JLo,82.0,99.0,113.0,96.0,95.0,118.0,-23.0
3665,Younger,14.0,13.0,15.0,18.0,19.0,21.0,-2.0
3949,Project Pat,NAN,NAN,NAN,NAN,198.0,247.0,-49.0
3977,B0XX | Sicca,NAN,NAN,NAN,NAN,120.0,74.0,46.0
4127,Toph,NAN,NAN,NAN,NAN,74.0,97.0,-23.0
4176,NathanSandwich,NAN,NAN,NAN,NAN,NAN,135.0,NAN
4205,a-on,NAN,NAN,NAN,162.0,188.0,234.0,-46.0
4317,Solomon,65.0,99.0,113.0,61.0,74.0,84.0,-10.0
4390,Jflex,10.0,4.0,4.0,6.0,5.0,4.0,1.0
4394,Zhyrri,NAN,50.0,61.0,82.0,102.0,126.0,-24.0
4434,Skeeter,96.0,152.0,165.0,224.0,263.0,312.0,-49.0
4446,RCS | Chi,NAN,NAN,NAN,NAN,NAN,38.0,NAN
4748,GST | Ryobeat,NAN,NAN,NAN,NAN,26.0,32.0,-6.0
4876,will1v1_ttv,NAN,116.0,130.0,184.0,220.0,268.0,-48.0
4929,Melee Stats | Ambisinister,NAN,NAN,NAN,NAN,164.0,126.0,38.0
5618,CRACKSHACK | Quiggles,28.0,20.0,28.0,33.0,36.0,41.0,-5.0
5714,092 | LXIX,NAN,NAN,NAN,NAN,NAN,216.0,NAN
5869,Joey Bats,49.0,37.0,47.0,51.0,50.0,54.0,-4.0
6839,Drephen,NAN,NAN,NAN,NAN,22.0,30.0,-8.0
7654,Schnurb,NAN,NAN,NAN,NAN,NAN,133.0,NAN
7676,MrDrBoi,NAN,NAN,NAN,NAN,NAN,339.0,NAN
7693,Kanye Rest,49.0,77.0,91.0,123.0,152.0,173.0,-21.0
7764,sfy | Fizz,NAN,NAN,NAN,NAN,NAN,182.0,NAN
7962,FreeMelee | Zuppy,NAN,NAN,NAN,NAN,NAN,22.0,NAN
10060,PapaNoJohns,NAN,84.0,97.0,129.0,86.0,108.0,-22.0
10067,icecream,NAN,NAN,NAN,201.0,198.0,247.0,-49.0
10228,Flow | Stark,NAN,NAN,NAN,114.0,142.0,118.0,24.0
10268,PLEB | Capy,NAN,NAN,NAN,NAN,NAN,286.0,NAN
10362,Elk G | Ivayne,19.0,22.0,27.0,31.0,39.0,48.0,-9.0
10485,DD,105.0,68.0,82.0,75.0,95.0,118.0,-23.0
10520,CREW | G,32.0,34.0,44.0,42.0,53.0,64.0,-11.0
10666,SF | Herrán,NAN,NAN,NAN,NAN,30.0,36.0,-6.0
10968,Enemy,NAN,NAN,NAN,91.0,120.0,141.0,-21.0
11590,Rickeye_rick,NAN,116.0,130.0,184.0,220.0,268.0,-48.0
11606,Elk_G | Karm,96.0,152.0,165.0,224.0,263.0,312.0,-49.0
11945,RULES | Strazz,49.0,50.0,39.0,42.0,46.0,53.0,-7.0
12023,El Link,NAN,NAN,NAN,244.0,280.0,339.0,-59.0
12048,K8A,NAN,NAN,NAN,NAN,NAN,59.0,NAN
12137,yingling,30.0,25.0,22.0,23.0,22.0,30.0,-8.0
12817,WU | nerodero,NAN,NAN,NAN,NAN,NAN,312.0,NAN
13385,ePG | Chevy,NAN,NAN,NAN,108.0,139.0,161.0,-22.0
13505,Sworderailer,78.0,112.0,126.0,162.0,188.0,234.0,-46.0
13746,Baja,NAN,93.0,106.0,138.0,164.0,195.0,-31.0
13765,Help,105.0,77.0,91.0,123.0,120.0,118.0,2.0
13932,Mango's Friend | Lucky,NAN,NAN,9.0,5.0,3.0,3.0,0.0
13956,Vino,65.0,99.0,113.0,152.0,177.0,216.0,-39.0
14049,Fasthands,NAN,NAN,NAN,NAN,NAN,216.0,NAN
14305,Nard Dawg,NAN,93.0,106.0,138.0,164.0,195.0,-31.0
14489,Crow,NAN,131.0,144.0,103.0,133.0,155.0,-22.0
14667,Proobie44,105.0,166.0,178.0,244.0,280.0,339.0,-59.0
15070,Verdo,96.0,84.0,97.0,129.0,86.0,108.0,-22.0
15087,Reese,NAN,NAN,NAN,138.0,164.0,195.0,-31.0
15298,Cowbell,32.0,32.0,42.0,45.0,47.0,57.0,-10.0
15504,Umarth,NAN,NAN,NAN,86.0,109.0,133.0,-24.0
16164,Kitsune,NAN,NAN,NAN,NAN,198.0,247.0,-49.0
