SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5,BWeek6,BWeek7,BWeek8
1008,Westballz,177.0,177.0,177.0,331.0,331.0,331.0,331.0,331.0
1030,LFG | Eddy Mexico,NAN,NAN,56.0,56.0,56.0,56.0,56.0,56.0
1077,Revenge | Gahtzu,NAN,NAN,NAN,NAN,140.0,140.0,355.0,355.0
1088,Scar,NAN,NAN,NAN,NAN,NAN,15.0,32.0,32.0
1092,Connor,9.0,16.0,16.0,16.0,16.0,16.0,16.0,16.0
1601,FendrickLamar,NAN,NAN,NAN,NAN,NAN,10.0,10.0,10.0
2083,Phil,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
2088,ycz6,NAN,124.0,124.0,170.0,242.0,255.0,271.0,271.0
3561,LG | Ginger,NAN,NAN,NAN,189.0,189.0,189.0,189.0,189.0
3602,JLo,5.0,9.0,9.0,16.0,21.0,21.0,21.0,21.0
3661,Hunt,NAN,NAN,NAN,NAN,NAN,NAN,12.0,12.0
3665,Younger,55.0,111.0,131.0,142.0,146.0,146.0,249.0,269.0
3949,Project Pat,NAN,NAN,NAN,NAN,7.0,7.0,7.0,7.0
3977,B0XX | Sicca,NAN,NAN,NAN,NAN,17.0,36.0,49.0,49.0
4127,Toph,NAN,NAN,NAN,NAN,27.0,27.0,27.0,27.0
4176,NathanSandwich,NAN,NAN,NAN,NAN,NAN,18.0,61.0,61.0
4205,a-on,NAN,NAN,NAN,8.0,8.0,8.0,22.0,22.0
4317,Solomon,9.0,9.0,9.0,27.0,27.0,30.0,33.0,33.0
4390,NGG | Jflex,66.0,183.0,292.0,350.0,408.0,456.0,456.0,622.0
4394,Zhyrri,NAN,20.0,20.0,20.0,20.0,20.0,20.0,20.0
4434,Skeeter,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
4446,RCS | Chi,NAN,NAN,NAN,NAN,NAN,97.0,97.0,97.0
4748,GST | Ryobeat,NAN,NAN,NAN,NAN,115.0,115.0,115.0,115.0
4876,will1v1_ttv,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
4929,Melee Stats | Ambisinister,NAN,NAN,NAN,NAN,10.0,20.0,20.0,20.0
5618,CRACKSHACK | Quiggles,21.0,64.0,64.0,64.0,77.0,94.0,94.0,94.0
5714,092 | LXIX,NAN,NAN,NAN,NAN,NAN,9.0,9.0,9.0
5724,Wassabi,NAN,NAN,NAN,NAN,NAN,NAN,20.0,20.0
5869,Joey Bats,12.0,26.0,26.0,38.0,48.0,58.0,68.0,68.0
6839,Drephen,NAN,NAN,NAN,NAN,123.0,123.0,123.0,123.0
7194,Gingerham,NAN,NAN,NAN,NAN,NAN,NAN,6.0,6.0
7297,Tequila,NAN,NAN,NAN,NAN,NAN,NAN,3.0,3.0
7495,Townes,NAN,NAN,NAN,NAN,NAN,NAN,11.0,11.0
7654,Schnurb,NAN,NAN,NAN,NAN,NAN,19.0,19.0,19.0
7676,MrDrBoi,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0
7693,Kanye Rest,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0
7764,sfy | Fizz,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
7962,FreeMelee | Zuppy,NAN,NAN,NAN,NAN,NAN,145.0,145.0,145.0
10060,PapaNoJohns,NAN,11.0,11.0,11.0,22.0,22.0,22.0,22.0
10067,icecream,NAN,NAN,NAN,4.0,7.0,7.0,7.0,7.0
10228,Flow | Stark,NAN,NAN,NAN,13.0,13.0,21.0,21.0,21.0
10268,PLEB | Capy,NAN,NAN,NAN,NAN,NAN,4.0,8.0,8.0
10362,Elk G | Ivayne,29.0,49.0,69.0,69.0,71.0,71.0,71.0,71.0
10485,DD,2.0,13.0,13.0,21.0,21.0,21.0,21.0,21.0
10520,CREW | G,18.0,35.0,35.0,46.0,46.0,46.0,55.0,55.0
10529,The Leaf,NAN,NAN,NAN,NAN,NAN,NAN,NAN,88.0
10666,SF | Herrán,NAN,NAN,NAN,NAN,107.0,107.0,107.0,107.0
10968,Enemy,NAN,NAN,NAN,17.0,17.0,17.0,17.0,17.0
11590,Rickeye_rick,NAN,5.0,5.0,5.0,5.0,5.0,5.0,5.0
11606,Elk_G | Karm,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
11945,RULES | Strazz,12.0,20.0,41.0,46.0,55.0,60.0,70.0,70.0
12023,El Link,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
12048,K8A,NAN,NAN,NAN,NAN,NAN,51.0,51.0,51.0
12137,yingling,19.0,47.0,84.0,99.0,123.0,123.0,180.0,180.0
12453,POOP | Zooty,NAN,NAN,NAN,NAN,NAN,NAN,1.0,1.0
12817,WU | nerodero,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
13385,ePG | Chevy,NAN,NAN,NAN,14.0,14.0,14.0,14.0,14.0
13505,Sworderailer,6.0,6.0,6.0,8.0,8.0,8.0,8.0,8.0
13746,Baja,NAN,10.0,10.0,10.0,10.0,10.0,10.0,10.0
13765,Help,2.0,12.0,12.0,12.0,17.0,21.0,27.0,27.0
13932,Mango's Friend | Lucky,NAN,NAN,190.0,354.0,572.0,572.0,572.0,679.0
13956,Vino,9.0,9.0,9.0,9.0,9.0,9.0,9.0,9.0
14049,Fasthands,NAN,NAN,NAN,NAN,NAN,9.0,9.0,9.0
14305,Nard Dawg,NAN,10.0,10.0,10.0,10.0,10.0,12.0,12.0
14489,Crow,NAN,4.0,4.0,15.0,15.0,15.0,15.0,15.0
14592,ZOOK | Suezo,NAN,NAN,NAN,NAN,NAN,NAN,65.0,85.0
14667,Proobie44,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
15070,Verdo,3.0,11.0,11.0,11.0,22.0,22.0,65.0,65.0
15087,Reese,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
15298,Cowbell,18.0,39.0,39.0,43.0,54.0,54.0,54.0,54.0
15504,Umarth,NAN,NAN,NAN,19.0,19.0,19.0,19.0,39.0
16066,TG NBR | Panayiotis,NAN,NAN,NAN,NAN,NAN,NAN,21.0,79.0
16164,Kitsune,NAN,NAN,NAN,NAN,7.0,7.0,7.0,7.0
16294,Ders,NAN,NAN,NAN,2.0,2.0,2.0,2.0,2.0
16393,Higgins,NAN,11.0,11.0,15.0,15.0,15.0,29.0,29.0
18652,LFTG | Logos,47.0,47.0,47.0,47.0,47.0,47.0,47.0,47.0
18722,RE!GN,2.0,5.0,15.0,18.0,20.0,22.0,24.0,24.0
18840,Gooms,NAN,NAN,NAN,22.0,22.0,22.0,22.0,22.0
19270,Connorasada,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
19651,SC | Lad,NAN,21.0,21.0,21.0,31.0,31.0,31.0,31.0
19709,Old McJonald,NAN,3.0,3.0,3.0,3.0,3.0,3.0,3.0
21405,Fire,NAN,10.0,10.0,14.0,20.0,20.0,22.0,22.0
22088,Nebulous | Jib,10.0,21.0,21.0,21.0,31.0,35.0,35.0,35.0
22333,Redcoat,NAN,NAN,NAN,NAN,NAN,76.0,76.0,76.0
22458,Kandayo,2.0,4.0,4.0,4.0,8.0,10.0,14.0,14.0
22479,Peppi | CrossFitJesus,NAN,NAN,NAN,73.0,73.0,97.0,97.0,133.0
22491,Ari,NAN,2.0,2.0,2.0,2.0,2.0,2.0,2.0
22551,Eddyvandamn,NAN,NAN,NAN,10.0,10.0,10.0,10.0,10.0
22595,Aura,NAN,NAN,NAN,NAN,NAN,11.0,13.0,13.0
23214,Potts,NAN,NAN,NAN,4.0,4.0,4.0,4.0,4.0
23501,Ratt,NAN,NAN,NAN,3.0,3.0,3.0,3.0,3.0
23615,Noc,NAN,NAN,NAN,17.0,17.0,17.0,17.0,17.0
24423,Talen,NAN,NAN,NAN,NAN,NAN,11.0,11.0,11.0
25351,Hell'sLabyrinth,NAN,NAN,NAN,NAN,NAN,1.0,4.0,4.0
26187,Slowking,NAN,NAN,NAN,NAN,NAN,125.0,125.0,125.0
26387,Phantom Airline,NAN,NAN,NAN,6.0,6.0,29.0,61.0,61.0
26623,B0XX | ADMJ,NAN,NAN,NAN,NAN,NAN,12.0,23.0,23.0
26750,KoDoRiN,NAN,NAN,215.0,431.0,626.0,626.0,626.0,842.0
26934,Clay,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0
27069,JoeyBonzo,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
27527,Megaman,NAN,NAN,21.0,21.0,21.0,21.0,21.0,21.0
27780,IHOP Dan,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
28391,Vigilance,NAN,NAN,NAN,NAN,NAN,NAN,4.0,4.0
28663,QTT | Marco,12.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
28815,doctahdylan,NAN,NAN,NAN,NAN,NAN,3.0,7.0,7.0
29103,Hexjo,NAN,4.0,4.0,11.0,11.0,14.0,14.0,14.0
29405,Vianny,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
29840,TBD,NAN,NAN,58.0,58.0,69.0,91.0,112.0,112.0
29984,Broasty,NAN,NAN,NAN,2.0,5.0,7.0,7.0,7.0
30054,20PcMcnugget,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
30197,Ober,NAN,NAN,NAN,NAN,NAN,NAN,NAN,37.0
30804,Frap,NAN,NAN,NAN,NAN,NAN,NAN,7.0,7.0
30865,Spi,2.0,4.0,4.0,6.0,6.0,9.0,9.0,9.0
31487,Winx Club | Siddward,24.0,39.0,76.0,104.0,123.0,129.0,143.0,163.0
32190,Crow,NAN,12.0,12.0,12.0,12.0,56.0,56.0,56.0
33387,pointykitty,NAN,NAN,NAN,NAN,NAN,3.0,3.0,3.0
33458,RustyTrombone,NAN,NAN,NAN,NAN,NAN,12.0,16.0,16.0
33655,Mo $,NAN,NAN,NAN,5.0,5.0,9.0,9.0,9.0
34180,Socknose,NAN,NAN,NAN,NAN,NAN,1.0,1.0,1.0
34266,WOMB#619 | Wombat,4.0,4.0,4.0,8.0,8.0,8.0,8.0,8.0
34351,Simon,NAN,NAN,NAN,NAN,NAN,9.0,9.0,9.0
34399,BuenasRetas | Cobs,7.0,16.0,16.0,16.0,22.0,22.0,27.0,27.0
34902,Tanooki,NAN,NAN,NAN,NAN,NAN,NAN,29.0,29.0
34980,Crispy | Chango,NAN,NAN,NAN,18.0,18.0,18.0,18.0,18.0
35258,LFG | Fist Mexico,NAN,NAN,NAN,16.0,16.0,16.0,16.0,16.0
35271,ATX | Noops,NAN,NAN,NAN,NAN,NAN,NAN,24.0,24.0
36403,Smashdaddy,NAN,NAN,NAN,NAN,NAN,205.0,205.0,205.0
36532,Googlyeyed,44.0,44.0,44.0,44.0,44.0,44.0,44.0,44.0
36538,Bayløck,NAN,NAN,NAN,7.0,11.0,11.0,11.0,11.0
36782,Oaty,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
37062,Reaver_King,NAN,5.0,5.0,7.0,7.0,7.0,7.0,7.0
37116,GUG | Kürv,NAN,179.0,179.0,232.0,280.0,384.0,483.0,541.0
37865,INDY,NAN,NAN,NAN,NAN,19.0,37.0,47.0,47.0
38643,RedX,NAN,NAN,NAN,10.0,18.0,28.0,39.0,39.0
38979,Tristan's Rule,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
39235,Dream,16.0,16.0,16.0,32.0,42.0,42.0,52.0,52.0
40476,Medz,NAN,156.0,294.0,381.0,437.0,437.0,437.0,437.0
40793,JorDank,NAN,NAN,NAN,NAN,NAN,NAN,11.0,11.0
41357,702 | AJ,NAN,NAN,NAN,NAN,NAN,NAN,23.0,23.0
41374,Anchovy,NAN,NAN,NAN,NAN,NAN,73.0,144.0,201.0
41492,Divine Senator Kelly,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6.0
44671,Quaff,155.0,372.0,372.0,372.0,372.0,372.0,372.0,382.0
44933,Fleece,NAN,NAN,NAN,NAN,NAN,2.0,2.0,2.0
45292,TZ | Iván,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13.0
