SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4,PWeek5,PWeek6,PWeek7,PWeek8,PWeek9
1008,Westballz,2,2,3,-2,-2,4,-2,-2,-2,-2,-2
1019,CLG | SFAT,1,1,-2,-2,-2,-2,-2,-2,-2,-2,4
1030,LFG | Eddy Mexico,1,1,-2,-2,9,-2,-2,-2,-2,-2,-2
1077,Revenge | Gahtzu,3,3,-2,-2,-2,-2,4,-2,1,-2,1
1088,Scar,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
1092,Connor,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
1601,FendrickLamar,2,1,-2,-2,-2,-2,-2,-1,-2,-2,13
2083,Phil,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
2088,ycz6,5,3,-2,5,-2,13,9,-1,-1,-2,-2
3561,LG | Ginger,1,1,-2,-2,-2,2,-2,-2,-2,-2,-2
3602,JLo,4,0,-1,-1,-2,-1,-1,-2,-2,-2,-2
3661,Hunt,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
3665,Younger,8,5,13,13,17,-1,-1,-2,7,17,-1
3949,Project Pat,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
3954,YungWaff,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
3977,B0XX | Sicca,3,0,-2,-2,-2,-2,-1,-1,-1,-2,-2
4127,Toph,1,1,-2,-2,-2,-2,17,-2,-2,-2,-2
4176,NathanSandwich,2,1,-2,-2,-2,-2,-2,-1,13,-2,-2
4205,a-on,3,0,-2,-2,-2,-1,-2,-2,-1,-2,-1
4317,Solomon,4,0,-1,-2,-2,-1,-2,-1,-1,-2,-2
4390,NGG | Jflex,8,8,9,5,5,9,9,9,-2,3,13
4394,Zhyrri,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
4434,Skeeter,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
4446,RCS | Chi,1,1,-2,-2,-2,-2,-2,7,-2,-2,-2
4748,GST | Ryobeat,1,1,-2,-2,-2,-2,5,-2,-2,-2,-2
4876,will1v1_ttv,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
4929,Melee Stats | Ambisinister,2,0,-2,-2,-2,-2,-1,-1,-2,-2,-2
5618,CRACKSHACK | Quiggles,4,1,-1,13,-2,-2,-1,-1,-2,-2,-2
5630,BKB! | stocmoney,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
5714,092 | LXIX,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
5724,Wassabi,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
5869,Joey Bats,7,0,-1,-1,-2,-1,-1,-1,-1,-2,-1
6839,Drephen,1,1,-2,-2,-2,-2,5,-2,-2,-2,-2
7149,Trail,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
7194,Gingerham,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
7297,Tequila,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
7495,Townes,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
7654,Schnurb,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
7676,MrDrBoi,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
7693,Kanye Rest,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
7764,sfy | Fizz,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
7962,FreeMelee | Zuppy,1,1,-2,-2,-2,-2,-2,4,-2,-2,-2
10060,PapaNoJohns,2,0,-2,-1,-2,-2,-1,-2,-2,-2,-2
10067,icecream,3,0,-2,-2,-2,-1,-1,-2,-2,-2,-1
10228,Flow | Stark,3,0,-2,-2,-2,-1,-2,-1,-2,-2,-1
10268,PLEB | Capy,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
10362,Elk G | Ivayne,4,1,-1,-1,17,-2,-1,-2,-2,-2,-2
10485,DD,3,0,-1,-1,-2,-1,-2,-2,-2,-2,-2
10487,KELLZ,1,1,-2,-2,-2,-2,-2,-2,-2,-2,17
10520,CREW | G,4,0,-1,-1,-2,-1,-2,-2,-1,-2,-2
10529,The Leaf,2,1,-2,-2,-2,-2,-2,-2,-2,7,-1
10666,SF | Herrán,1,1,-2,-2,-2,-2,7,-2,-2,-2,-2
10968,Enemy,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
11590,Rickeye_rick,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
11606,Elk_G | Karm,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
11945,RULES | Strazz,8,1,-1,-1,17,-1,-1,-1,-1,-2,-1
12023,El Link,2,0,-2,-2,-2,-1,-2,-2,-2,-2,-1
12048,K8A,2,2,-2,-2,-2,-2,-2,13,-2,-2,17
12137,yingling,6,3,-1,17,13,-1,-1,-2,13,-2,-2
12453,POOP | Zooty,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
12817,WU | nerodero,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
13385,ePG | Chevy,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
13505,Sworderailer,2,0,-1,-2,-2,-1,-2,-2,-2,-2,-2
13746,Baja,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
13765,Help,6,0,-1,-1,-2,-2,-1,-1,-1,-2,-1
13932,Mango's Friend | Lucky,4,4,-2,-2,2,3,1,-2,-2,5,-2
13956,Vino,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
14049,Fasthands,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
14305,Nard Dawg,3,0,-2,-1,-2,-2,-2,-2,-1,-2,-1
14489,Crow,2,0,-2,-1,-2,-1,-2,-2,-2,-2,-2
14592,ZOOK | Suezo,3,3,-2,-2,-2,-2,-2,-2,9,17,13
14667,Proobie44,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
15070,Verdo,4,1,-1,-1,-2,-2,-1,-2,13,-2,-2
15087,Reese,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
15298,Cowbell,4,0,-1,-1,-2,-1,-1,-2,-2,-2,-2
15504,Umarth,2,1,-2,-2,-2,-1,-2,-2,-2,17,-2
16066,TG NBR | Panayiotis,3,2,-2,-2,-2,-2,-2,-2,-1,9,9
16164,Kitsune,1,0,-2,-2,-2,-2,-1,-2,-2,-2,-2
16294,Ders,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
16393,Higgins,4,0,-2,-1,-2,-1,-2,-2,-1,-2,-1
18652,LFTG | Logos,2,2,13,-2,-2,-2,-2,-2,-2,-2,7
18722,K.H.D | RE!GN,8,1,-1,-1,25,-1,-1,-1,-1,-2,-1
18840,Gooms,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
19270,Connorasada,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
19651,SC | Lad,2,0,-2,-1,-2,-2,-1,-2,-2,-2,-2
19709,Old McJonald,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
21305,Galen The Wise,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
21405,Fire,4,0,-2,-1,-2,-1,-1,-2,-1,-2,-2
22088,Nebulous | Jib,4,0,-1,-1,-2,-2,-1,-1,-2,-2,-2
22333,Redcoat,1,1,-2,-2,-2,-2,-2,9,-2,-2,-2
22458,Kandayo,6,0,-1,-1,-2,-2,-1,-1,-1,-2,-1
22479,Peppi | CrossFitJesus,4,3,-2,-2,-2,9,-2,-1,-2,13,17
22491,Ari,1,0,-2,-1,-2,-2,-2,-2,-2,-2,-2
22551,Eddyvandamn,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
22595,Aura,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
23214,Potts,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
23501,Ratt,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
23615,Noc,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
24423,Talen,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
25351,Hell'sLabyrinth,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
25916,redpandamaster,1,0,-2,-2,-2,-2,-2,-2,-2,-2,-1
26187,Slowking,1,1,-2,-2,-2,-2,-2,5,-2,-2,-2
26387,Phantom Airline,4,1,-2,-2,-2,-1,-2,-1,17,-2,-1
26623,B0XX | ADMJ,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
26750,KoDoRiN,5,5,-2,-2,1,1,2,-2,-2,1,2
26934,Clay,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
27069,JoeyBonzo,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
27527,Megaman,1,1,-2,-2,17,-2,-2,-2,-2,-2,-2
27780,IHOP Dan,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
28391,Vigilance,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
28663,QTT | Marco,2,0,-1,-1,-2,-2,-2,-2,-2,-2,-2
28815,doctahdylan,3,0,-2,-2,-2,-2,-2,-1,-1,-2,-1
29103,Hexjo,4,0,-2,-1,-2,-1,-2,-1,-2,-2,-1
29405,Vianny,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
29840,TBD,5,1,-2,-2,9,-2,-1,-1,-1,-2,-1
29984,Broasty,3,0,-2,-2,-2,-1,-1,-1,-2,-2,-2
30054,20PcMcnugget,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
30197,Ober,1,1,-2,-2,-2,-2,-2,-2,-2,13,-2
30804,Frap,2,0,-2,-2,-2,-2,-2,-2,-1,-2,-1
30865,Spi,5,0,-1,-1,-2,-1,-2,-1,-2,-2,-1
31487,Winx Club | Siddward,8,3,-1,-1,13,17,-1,-1,-1,17,-2
32190,Crow,2,1,-2,-1,-2,-2,-2,13,-2,-2,-2
33387,pointykitty,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
33458,RustyTrombone,2,0,-2,-2,-2,-2,-2,-1,-1,-2,-2
33655,Mo $,2,0,-2,-2,-2,-1,-2,-1,-2,-2,-2
34180,Socknose,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
34266,WOMB#619 | Wombat,2,0,-1,-2,-2,-1,-2,-2,-2,-2,-2
34351,Simon,1,0,-2,-2,-2,-2,-2,-1,-2,-2,-2
34399,BuenasRetas | Cobs,5,0,-1,-1,-2,-2,-1,-2,-1,-2,-1
34902,Tanooki,1,1,-2,-2,-2,-2,-2,-2,17,-2,-2
34980,Crispy | Chango,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
35258,LFG | Fist Mexico,1,0,-2,-2,-2,-1,-2,-2,-2,-2,-2
35271,ATX | Noops,1,0,-2,-2,-2,-2,-2,-2,-1,-2,-2
36403,Smashdaddy,1,1,-2,-2,-2,-2,-2,2,-2,-2,-2
36532,Googlyeyed,1,1,13,-2,-2,-2,-2,-2,-2,-2,-2
36538,Bayløck,3,0,-2,-2,-2,-1,-1,-2,-2,-2,-1
36782,Oaty,1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2
37062,Reaver_King,2,0,-2,-1,-2,-1,-2,-2,-2,-2,-2
37116,Kürv,7,7,-2,3,-2,13,13,7,5,9,7
37865,INDY,3,0,-2,-2,-2,-2,-1,-1,-1,-2,-2
