Rank,RankChange,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,-,bobby big ballz,21,10,67.74,981.0
2.0,-,KoDoRiN,21,4,84.0,626.0
3.0,-,Mango's Friend | Lucky,17,5,77.27,572.0
4.0,1.0,Jflex,35,16,68.63,456.0
5.0,8.0,IMP | Ben,36,6,85.71,441.0
6.0,-2.0,Medz,22,11,66.67,437.0
7.0,1.0,Zeeker,42,21,66.67,427.0
8.0,2.0,GUG | Kürv,54,18,75.0,384.0
9.0,-3.0,Quaff,22,4,84.62,372.0
10.0,-3.0,Westballz,26,4,86.67,331.0
11.0,-2.0,Soonsay,8,4,66.67,298.0
12.0,-1.0,ycz6,45,15,75.0,255.0
13.0,-1.0,Khryke,34,19,64.15,224.0
14.0,1.0,EP | Justus,44,15,74.58,214.0
15.0,New,Smashdaddy,15,2,88.24,205.0
16.0,-2.0,LG | Ginger,4,2,66.67,189.0
17.0,-1.0,Lotfy,16,8,66.67,181.0
18.0,-1.0,HoG | Warmmer,28,7,80.0,178.0
19.0,-1.0,Krizski,14,7,66.67,154.0
20.0,12.0,Bbatts,33,11,75.0,153.0
21.0,-2.0,Younger,40,25,61.54,146.0
22.0,New,FreeMelee | Zuppy,10,3,76.92,145.0
23.0,2.0,PQ2 | CPU0,33,12,73.33,143.0
24.0,-4.0,Revenge | Gahtzu,5,2,71.43,140.0
25.0,4.0,Neologism,23,10,69.7,138.0
26.0,-5.0,LFG | PanterA,13,7,65.0,133.0
27.0,-5.0,Winx Club | Siddward,48,34,58.54,129.0
28.0,-1.0,Jet,41,26,61.19,126.0
29.0,New,Slowking,15,4,78.95,125.0
30.0,-8.0,yingling,43,33,56.58,123.0
30.0,-8.0,Drephen,13,3,81.25,123.0
32.0,-6.0,GST | Ryobeat,10,4,71.43,115.0
33.0,7.0,Typhoon,23,10,69.7,113.0
34.0,-1.0,SANS | Blues Clues,52,20,72.22,112.0
34.0,-7.0,MIT | Fro116,27,11,71.05,112.0
36.0,-6.0,Aura,2,2,50.0,107.0
36.0,-6.0,SF | Herrán,17,7,70.83,107.0
38.0,-,Peppi | CrossFitJesus,22,3,88.0,97.0
38.0,57.0,Tommy,27,14,65.85,97.0
38.0,New,RCS | Chi,12,4,75.0,97.0
41.0,-5.0,CRACKSHACK | Quiggles,34,21,61.82,94.0
42.0,-1.0,TBD,21,13,61.76,91.0
43.0,-8.0,Khoron | Oreo,48,42,53.33,89.0
44.0,-7.0,LAGr | Travioli,23,15,60.53,88.0
45.0,-11.0,LAG,22,7,75.86,87.0
46.0,New,Redcoat,16,7,69.57,76.0
47.0,New,Anchovy,13,2,86.67,73.0
48.0,-9.0,Elk G | Ivayne,25,9,73.53,71.0
49.0,2.0,I'm Michael BTW,20,9,68.97,65.0
50.0,-8.0,BHC | Evan,8,4,66.67,63.0
51.0,-8.0,akir,16,5,76.19,61.0
51.0,-8.0,Mud,40,35,53.33,61.0
53.0,-7.0,RULES | Strazz,27,29,48.21,60.0
54.0,-4.0,Joey Bats,33,35,48.53,58.0
55.0,97.0,Crow,16,7,69.57,56.0
55.0,-10.0,LFG | Eddy Mexico,1,2,33.33,56.0
57.0,-10.0,Cowbell,28,16,63.64,54.0
58.0,-10.0,DannyPhantom,22,12,64.71,52.0
59.0,11.0,Epoodle,20,15,57.14,51.0
59.0,New,K8A,11,4,73.33,51.0
61.0,-12.0,CowCowCowCowCow,13,10,56.52,49.0
62.0,-,Yamasaki,26,14,65.0,47.0
62.0,-11.0,LFTG | Logos,12,5,70.59,47.0
64.0,-11.0,CREW | G,26,20,56.52,46.0
65.0,-11.0,Googlyeyed,9,4,69.23,44.0
66.0,-11.0,Pipe,27,22,55.1,43.0
67.0,-11.0,Dream,17,3,85.0,42.0
67.0,-11.0,Frankhoe,17,9,65.38,42.0
69.0,-11.0,Willy P,21,14,60.0,41.0
70.0,-11.0,Dova,14,8,63.64,39.0
71.0,-11.0,snacklepackle,16,18,47.06,38.0
72.0,37.0,INDY,22,19,53.66,37.0
72.0,-11.0,NOOT,12,3,80.0,37.0
74.0,-12.0,SuperCuak,21,11,65.62,36.0
74.0,46.0,B0XX | Sicca,21,14,60.0,36.0
76.0,-12.0,Faust,10,10,50.0,35.0
76.0,-10.0,Nebulous | Jib,19,14,57.58,35.0
78.0,-13.0,Red Dead | Traplord,9,2,81.82,34.0
79.0,41.0,Spiral Cafe | Krudo,12,0,100.0,32.0
80.0,-14.0,SC | Lad,16,6,72.73,31.0
80.0,62.0,OtES,15,11,57.69,31.0
80.0,62.0,Chance,16,13,55.17,31.0
80.0,-14.0,GNIK,16,10,61.54,31.0
84.0,-10.0,Solomon,18,16,52.94,30.0
84.0,-15.0,Uncle B,9,7,56.25,30.0
86.0,-16.0,Miranda,18,15,54.55,29.0
86.0,-8.0,shoelegend88,22,23,48.89,29.0
86.0,125.0,Phantom Airline,18,15,54.55,29.0
86.0,23.0,NS | Frog,18,18,50.0,29.0
86.0,23.0,Flow | ESPONJA,18,17,51.43,29.0
86.0,-16.0,FISA | JoJo,9,4,69.23,29.0
92.0,22.0,RedX,25,28,47.17,28.0
92.0,New,Elysian,8,5,61.54,28.0
92.0,17.0,LewdCelebs4Free,24,42,36.36,28.0
92.0,10.0,Maelstrom,21,28,42.86,28.0
92.0,-19.0,sad | UwUMysticalGirl,8,4,66.67,28.0
97.0,17.0,KatBot,19,29,39.58,27.0
97.0,-15.0,ight,20,25,44.44,27.0
97.0,-23.0,Seraph,17,13,56.67,27.0
97.0,-23.0,Toph,7,3,70.0,27.0
101.0,-24.0,Neck,15,15,50.0,25.0
102.0,-24.0,Ribboned Ace,17,19,47.22,24.0
102.0,-24.0,620 | Megacaat,3,8,27.27,24.0
102.0,-24.0,slowtai,14,9,60.87,24.0
105.0,-23.0,TZ | Morrito,13,9,59.09,23.0
105.0,-23.0,IWI | Marrgasm,13,7,65.0,23.0
105.0,-23.0,Mr. Butterfly,13,7,65.0,23.0
108.0,-22.0,Captain Pretzel,12,7,63.16,22.0
108.0,-22.0,RU | Midnight Blue,12,10,54.55,22.0
108.0,-22.0,Oaty,12,8,60.0,22.0
108.0,-22.0,PapaNoJohns,12,9,57.14,22.0
108.0,-6.0,K.H.D | RE!GN,7,21,25.0,22.0
108.0,-22.0,Gooms,12,8,60.0,22.0
108.0,-22.0,Verdo,11,6,64.71,22.0
108.0,-22.0,QTT | Marco,12,8,60.0,22.0
108.0,-22.0,BuenasRetas | Cobs,15,18,45.45,22.0
108.0,-22.0,Lamdin,12,6,66.67,22.0
118.0,-23.0,DD,10,5,66.67,21.0
118.0,-23.0,Savestate,11,6,64.71,21.0
118.0,-23.0,JLo,17,32,34.69,21.0
118.0,-23.0,cockbread,15,14,51.72,21.0
118.0,24.0,Flow | Stark,11,6,64.71,21.0
118.0,2.0,Help,13,18,41.94,21.0
118.0,-23.0,Megaman,1,2,33.33,21.0
118.0,-23.0,PurpleZ,11,4,73.33,21.0
126.0,-24.0,Lama,0,2,0.0,20.0
126.0,-24.0,Fire,13,18,41.94,20.0
126.0,38.0,Melee Stats | Ambisinister,10,2,83.33,20.0
126.0,-24.0,Zhyrri,10,4,71.43,20.0
126.0,New,Mootook,10,6,62.5,20.0
126.0,-24.0,Tristan's Rule,10,4,71.43,20.0
126.0,-24.0,Alextrer,0,2,0.0,20.0
133.0,New,Schnurb,9,4,69.23,19.0
133.0,-24.0,Umarth,9,4,69.23,19.0
135.0,-21.0,Crispy | Chango,8,1,88.89,18.0
135.0,-21.0,MMG | Seven,8,2,80.0,18.0
135.0,-21.0,YBBT | leroydankins,11,15,42.31,18.0
135.0,New,NathanSandwich,8,5,61.54,18.0
135.0,New,TR | Lunez,8,4,66.67,18.0
135.0,-21.0,SLO | GrizzlyBair,8,4,66.67,18.0
141.0,-21.0,Jr,7,3,70.0,17.0
141.0,-21.0,Golden,7,2,77.78,17.0
141.0,-21.0,Noc,12,12,50.0,17.0
141.0,99.0,Chompy,11,13,45.83,17.0
141.0,New,Sneakywill,7,2,77.78,17.0
141.0,-21.0,Enemy,12,9,57.14,17.0
147.0,-14.0,Floods,2,38,5.0,16.0
147.0,-20.0,Melo,10,9,52.63,16.0
147.0,-20.0,jams,11,7,61.11,16.0
147.0,-20.0,LFG | Fist Mexico,11,14,44.0,16.0
147.0,-20.0,Connor,6,1,85.71,16.0
147.0,-20.0,Chem,6,1,85.71,16.0
147.0,-20.0,Fitz,10,15,40.0,16.0
147.0,-14.0,Good1ife,5,2,71.43,16.0
155.0,9.0,Pound,13,23,36.11,15.0
155.0,-22.0,Crow,9,18,33.33,15.0
155.0,New,Scar,5,1,83.33,15.0
155.0,-22.0,E-tie,5,1,83.33,15.0
155.0,-22.0,MDF | Amor,9,4,69.23,15.0
155.0,-22.0,Higgins,9,9,50.0,15.0
161.0,-3.0,Hexjo,7,7,50.0,14.0
161.0,-22.0,MikeDrop,9,9,50.0,14.0
161.0,-22.0,ePG | Chevy,9,5,64.29,14.0
161.0,-22.0,Sodabro,9,7,56.25,14.0
165.0,New,Chet,8,4,66.67,13.0
165.0,-23.0,ZouL,8,8,50.0,13.0
165.0,-23.0,Silkylaroux,7,7,50.0,13.0
165.0,-23.0,Loki,8,7,53.33,13.0
165.0,-23.0,Jakespeare,8,10,44.44,13.0
165.0,-23.0,TZ | Iván,8,5,61.54,13.0
165.0,-23.0,Newquake,2,3,40.0,13.0
165.0,-23.0,Furniture,8,7,53.33,13.0
173.0,-21.0,doubledown8,7,6,53.85,12.0
173.0,New,thicceon,7,4,63.64,12.0
173.0,-21.0,Kanye Rest,7,5,58.33,12.0
173.0,4.0,jtetter,6,10,37.5,12.0
173.0,-21.0,Captain G,7,5,58.33,12.0
173.0,New,B0XX | ADMJ,7,6,53.85,12.0
173.0,New,RustyTrombone,7,4,63.64,12.0
173.0,-21.0,AR0,7,6,53.85,12.0
173.0,-21.0,O N I,7,8,46.67,12.0
182.0,-24.0,Bayløck,9,14,39.13,11.0
182.0,-24.0,Godslayer903,9,15,37.5,11.0
182.0,New,sfy | Fizz,6,6,50.0,11.0
182.0,-24.0,Asus(4),6,3,66.67,11.0
182.0,-24.0,Sacred,6,5,54.55,11.0
182.0,New,Dirty Lasagna,6,4,60.0,11.0
182.0,New,Aura,6,4,60.0,11.0
182.0,New,CarbonDog,6,4,60.0,11.0
182.0,New,NSB  |  KXT,6,5,54.55,11.0
182.0,New,Jpeg | RC,6,4,60.0,11.0
182.0,-24.0,Slade,6,3,66.67,11.0
182.0,New,Coco,6,4,60.0,11.0
182.0,New,Talen,6,4,60.0,11.0
195.0,New,TheFormuoli,5,2,71.43,10.0
195.0,New,JoJoMyth,5,5,50.0,10.0
195.0,-31.0,TG CS | EBND,5,4,55.56,10.0
195.0,3.0,Layer,7,15,31.82,10.0
195.0,-31.0,Egg$,5,3,62.5,10.0
195.0,New,FendrickLamar,5,2,71.43,10.0
195.0,-7.0,Quadragesimus,6,8,42.86,10.0
195.0,85.0,N8v,4,3,57.14,10.0
195.0,3.0,Aldito1469,6,18,25.0,10.0
195.0,New,Rome0,5,11,31.25,10.0
195.0,-31.0,Rutsky,5,4,55.56,10.0
195.0,-31.0,Archi,5,3,62.5,10.0
195.0,-31.0,Baja,5,4,55.56,10.0
195.0,New,EASTJ | Mike,9,14,39.13,10.0
195.0,-31.0,Nard Dawg,5,2,71.43,10.0
195.0,-31.0,Pilgrim,5,4,55.56,10.0
195.0,-31.0,Badboi,5,2,71.43,10.0
195.0,-31.0,Reese,5,2,71.43,10.0
195.0,-31.0,Vianny,5,3,62.5,10.0
195.0,-7.0,Kandayo,6,7,46.15,10.0
195.0,-31.0,Eddyvandamn,5,5,50.0,10.0
216.0,New,092 | LXIX,4,4,50.0,9.0
216.0,-39.0,unlimited boy,8,10,44.44,9.0
216.0,-39.0,diddylonglegs,8,11,42.11,9.0
216.0,-39.0,Vino,4,3,57.14,9.0
216.0,New,Fasthands,4,3,57.14,9.0
216.0,-39.0,JFIRE,8,10,44.44,9.0
216.0,64.0,Moist | kennypenny,7,19,26.92,9.0
216.0,-39.0,roadkill,2,6,25.0,9.0
216.0,-39.0,Calvin,8,11,42.11,9.0
216.0,-39.0,yBaS | MaxJacks,5,6,45.45,9.0
216.0,24.0,FlLFFl,7,10,41.18,9.0
216.0,New,Simon,4,4,50.0,9.0
216.0,4.0,Mo $,7,12,36.84,9.0
