SmashTag,IMP | Ben Number,Path
IMP | Ben,0,
CG | Jflex,1,IMP | Ben
GG | n0ne,1,IMP | Ben
KoDoRiN,1,IMP | Ben
bobby big ballz,1,IMP | Ben
LAG,2,IMP | Ben < KoDoRiN
TBD,2,IMP | Ben < KoDoRiN
Redcoat,2,IMP | Ben < KoDoRiN
Liquid | Hungrybox,2,IMP | Ben < CG | Jflex
Revenge | Gahtzu,2,IMP | Ben < KoDoRiN
TG | Mot$,2,IMP | Ben < CG | Jflex
rocky,2,IMP | Ben < CG | Jflex
Khoron | Oreo,2,IMP | Ben < KoDoRiN
LFTG | Logos,2,IMP | Ben < KoDoRiN
Epoodle,3,IMP | Ben < KoDoRiN < TBD
Younger,3,IMP | Ben < CG | Jflex < TG | Mot$
a-on,3,IMP | Ben < KoDoRiN < Redcoat
LG | Yu,3,IMP | Ben < KoDoRiN < Redcoat
soccermom69,3,IMP | Ben < KoDoRiN < LAG
RustyTrombone,3,IMP | Ben < KoDoRiN < Redcoat
Blues Clues,3,IMP | Ben < KoDoRiN < LAG
Anjo,3,IMP | Ben < KoDoRiN < LAG
RedX,3,IMP | Ben < KoDoRiN < Khoron | Oreo
DD,3,IMP | Ben < KoDoRiN < Khoron | Oreo
E,3,IMP | Ben < KoDoRiN < Redcoat
PEPIS | Noire,3,IMP | Ben < KoDoRiN < LAG
Yamasaki,3,IMP | Ben < KoDoRiN < Khoron | Oreo
LFG | PanterA,3,IMP | Ben < KoDoRiN < TBD
Darrell,3,IMP | Ben < KoDoRiN < TBD
ycz6,3,IMP | Ben < KoDoRiN < LAG
jacket,3,IMP | Ben < KoDoRiN < TBD
Ghost Rider,3,IMP | Ben < CG | Jflex < TG | Mot$
prof,3,IMP | Ben < CG | Jflex < TG | Mot$
Not_DuduTsai,3,IMP | Ben < KoDoRiN < TBD
Tuesday,3,IMP | Ben < KoDoRiN < TBD
Typhoon,3,IMP | Ben < KoDoRiN < LAG
Good1ife,3,IMP | Ben < KoDoRiN < Khoron | Oreo
Wōlī,3,IMP | Ben < KoDoRiN < LAG
El Link,3,IMP | Ben < KoDoRiN < Redcoat
The Leaf,3,IMP | Ben < KoDoRiN < TBD
Melo,3,IMP | Ben < KoDoRiN < Khoron | Oreo
redpandamaster,3,IMP | Ben < KoDoRiN < TBD
Dream,3,IMP | Ben < KoDoRiN < LAG
RU | Midnight Blue,3,IMP | Ben < KoDoRiN < TBD
ZimD00D,3,IMP | Ben < KoDoRiN < Redcoat
Anchovy,3,IMP | Ben < KoDoRiN < Khoron | Oreo
LSD,3,IMP | Ben < KoDoRiN < Revenge | Gahtzu
MT,3,IMP | Ben < KoDoRiN < LAG
Erica,3,IMP | Ben < KoDoRiN < TBD
Rocket,3,IMP | Ben < KoDoRiN < TBD
