SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement
1077,Revenge | Gahtzu,NOTAV,5,0,0,0,0,0,0,0,1,1
1601,FendrickLamar,EC,0,2,0,1,0,0,0,0,0,-1
3299,Vish,WC,10,3,0,0,0,1,0,0,0,9
3899,rom,WC,13,3,0,0,0,0,1,0,0,4
3977,Sicca,EC,11,4,0,0,0,1,0,0,0,5
4205,a-on,WC,7,6,0,1,0,0,0,0,0,-1
4390,CG | Jflex,NOTAV,0,2,0,0,0,0,0,0,1,13
4845,GG | SnooSnoo,EC,4,0,0,0,1,0,0,0,0,-1
4864,Theftz,WC,7,5,0,0,1,0,0,0,0,17
5126,Rabbit,EC,5,0,0,0,0,1,0,0,0,-1
5869,Joe(y) Bats,EC,7,4,0,0,1,0,0,0,0,-1
7676,MrDrBoi,EC,2,7,0,1,0,0,0,0,0,-1
10228,Flow | Stark,WC,3,4,0,1,0,0,0,0,0,-1
10468,Reesch,EC,5,4,0,0,1,0,0,0,0,-1
12048,K8A,EC,9,3,0,0,0,1,0,0,0,9
13765,Help,WC,0,3,0,1,0,0,0,0,0,-1
15856,Dolla bill Bill,WC,5,4,0,0,1,0,0,0,0,-1
18722,K.H.D | REIGN,WC,1,2,0,1,0,0,0,0,0,-1
20991,0kay,WC,8,7,0,0,1,0,0,0,0,-1
22140,NeMo,WC,4,4,0,0,1,0,0,0,0,-1
22458,Kandayo,WC,1,4,0,1,0,0,0,0,0,-1
30865,Spi,EC,0,5,0,1,0,0,0,0,0,-1
33458,RustyTrombone,WC,5,8,0,1,0,0,0,0,0,-1
34399,BuenasRetas | Cobs,WC,1,5,0,1,0,0,0,0,0,-1
34893,Zoma,EC,3,3,0,1,0,0,0,0,0,-1
37116,GUG | Kurv,NOTAV,5,2,0,0,0,0,0,0,1,2
37997,Rael,WC,8,4,0,0,0,1,0,0,0,-1
38643,RedX,WC,5,4,0,0,1,0,0,0,0,-1
40793,MGFC | bootichief,EC,6,5,0,0,1,0,0,0,0,-1
41211,Denzill,WC,4,1,0,0,1,0,0,0,0,-1
49875,Paladin,EC,1,2,0,1,0,0,0,0,0,-1
50053,PML | Die222,WC,5,6,0,0,1,0,0,0,0,-1
50606,ViL | TheSWOOPER,EC,12,2,0,0,0,0,1,0,0,3
54728,Stigma,WC,4,10,0,1,0,0,0,0,0,-1
54997,RetroSHFFL | Lex,WC,1,10,0,1,0,0,0,0,0,-1
61570,CG | Peppi | Pappi,WC,7,0,0,0,0,1,0,0,0,-1
62457,QTT | Yeyo,WC,1,3,0,1,0,0,0,0,0,-1
62721,Dirty Lasagna,EC,6,3,0,0,1,0,0,0,0,-1
66936,buckeye545,EC,1,3,0,1,0,0,0,0,0,-1
129363,Flow | ESPONJA,WC,9,10,0,1,0,0,0,0,0,-1
144268,RJN | Casper,WC,15,6,0,0,0,0,1,0,0,7
144798,Akir,EC,8,4,0,0,0,1,0,0,0,-1
146978,Ding Hing,WC,9,4,0,0,0,1,0,0,0,9
150123,TPN,EC,6,4,0,0,1,0,0,0,0,-1
154482,Easy,WC,5,3,0,0,1,0,0,0,0,-1
156503,Beiker,WC,10,8,0,0,1,0,0,0,0,-1
157632,PokkaPokka,WC,1,2,0,1,0,0,0,0,0,-1
159198,Pi2z,EC,2,5,0,1,0,0,0,0,0,-1
172811,CS | Amity,EC,3,6,0,1,0,0,0,0,0,-1
174790,Mounir,EC,7,10,0,1,0,0,0,0,0,-1
183677,Yamasaki,WC,8,3,0,0,0,1,0,0,0,13
215584,LAGr | Travioli,EC,2,3,0,1,0,0,0,0,0,-1
221136,Zeeker,EC,3,4,0,1,0,0,0,0,0,-1
229216,KaiKwonDo,WC,4,1,0,0,1,0,0,0,0,-1
230122,vampa,EC,3,7,0,1,0,0,0,0,0,-1
230537,hHerb,WC,1,9,0,1,0,0,0,0,0,-1
232193,Chiefn_,EC,7,10,0,1,0,0,0,0,0,-1
241260,Alex18+,EC,6,6,0,1,0,0,0,0,0,-1
245152,emy,WC,9,4,0,0,0,1,0,0,0,17
245795,TR | H,WC,2,2,0,1,0,0,0,0,0,-1
252523,Dusky,WC,0,2,0,1,0,0,0,0,0,-1
257324,GSP,WC,6,4,0,0,1,0,0,0,0,-1
266332,Pepis | Pokimanefan,EC,7,5,0,0,0,1,0,0,0,17
279107,Khryke,EC,11,4,0,0,0,0,1,0,0,13
326727,Frumentarii,EC,5,3,0,0,1,0,0,0,0,-1
327212,IWI | Marrgasm,WC,9,3,0,0,0,1,0,0,0,9
368021,Coinee,WC,3,3,0,1,0,0,0,0,0,-1
379419,Zab,EC,6,10,0,1,0,0,0,0,0,-1
448153,Neenor,EC,6,1,0,0,0,1,0,0,0,-1
492755,BoffTarget,WC,5,9,0,1,0,0,0,0,0,-1
533918,Maelstrom,EC,2,3,0,1,0,0,0,0,0,-1
542693,Bbatts,EC,9,3,0,0,0,1,0,0,0,7
657464,CowCowCowCowCow,EC,3,6,0,1,0,0,0,0,0,-1
725014,charmell0,WC,2,8,0,1,0,0,0,0,0,-1
788730,CATii,WC,0,4,0,1,0,0,0,0,0,-1
864206,Orotis,EC,3,8,0,1,0,0,0,0,0,-1
954582,winismine,WC,6,4,0,0,1,0,0,0,0,-1
1064029,Victawr,EC,2,14,0,1,0,0,0,0,0,-1
1194651,gsm | Pound,EC,0,2,0,1,0,0,0,0,0,-1
1375808,Epoodle,EC,9,3,0,0,0,1,0,0,0,13
1466521,Floods,WC,0,1,0,1,0,0,0,0,0,-1
1503239,catsonthemoon,EC,2,2,0,1,0,0,0,0,0,-1
1597235,Peyton,EC,2,6,0,1,0,0,0,0,0,-1
1650434,Puff,EC,0,1,0,1,0,0,0,0,0,-1
1737518,Kombeze Ataie,WC,5,10,0,1,0,0,0,0,0,-1
1773196,DrNormie,EC,4,5,0,1,0,0,0,0,0,-1
1796764,Mp drago,EC,0,7,0,1,0,0,0,0,0,-1
1844994,Flame,WC,0,7,0,1,0,0,0,0,0,-1
1942273,Fankriss,EC,10,3,0,0,0,1,0,0,0,5
1974127,Okami | aujory,WC,4,3,0,0,1,0,0,0,0,-1
1993164,Globe,EC,0,4,0,1,0,0,0,0,0,-1
1995324,CawkMuncher9000,WC,6,3,0,0,1,0,0,0,0,-1
2088027,kite,EC,1,6,0,1,0,0,0,0,0,-1
2117535,vel,WC,0,8,0,1,0,0,0,0,0,-1
2179108,Mud,EC,3,2,0,1,0,0,0,0,0,-1
2209284,c_,WC,0,6,0,1,0,0,0,0,0,-1
2215703,DiMaria,EC,0,2,0,1,0,0,0,0,0,-1
2312687,smash.gg User,WC,10,10,0,0,1,0,0,0,0,-1
