SmasherID,SmashTag,Coast,Wins,Losses,LimitLadderWins,Prospect,Rookie,Pro,AllStar,HallOfFame,Floated,Placement,PlacePoints,Points,Rank
1013,WKDA | Shroomed,NOTAV,2,2,0,0,0,0,0,0,1,5,95.0,107.0,5.0
1017,S2J,NOTAV,5,0,0,0,0,0,0,0,1,1,200.0,215.0,1.0
1601,FendrickLamar,EC,7,3,0,0,0,1,0,0,0,17,10.0,27.0,22.0
3665,Younger,EC,8,6,0,0,1,0,0,0,0,17,10.0,23.0,24.0
4127,MIOM | Toph,WC,6,3,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
4176,NathanSandwich,WC,16,6,0,0,0,0,1,0,0,-1,0.0,31.0,18.0
4205,a-on,WC,8,3,0,0,0,1,0,0,0,-1,0.0,18.0,31.0
4317,Solomon,WC,0,1,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
4390,CG | Jflex,NOTAV,1,2,0,0,0,0,0,0,1,13,25.0,36.0,17.0
4614,Notorious,WC,15,9,0,0,0,1,0,0,0,13,25.0,50.0,13.0
5869,Joe(y) Bats,EC,8,5,0,0,1,0,0,0,0,-1,0.0,13.0,34.0
7194,Gingerham,EC,4,5,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
7199,TGL | Shamunt,EC,5,2,0,0,1,0,0,0,0,-1,0.0,10.0,50.0
7495,Townes,EC,8,4,0,0,1,0,0,0,0,-1,0.0,13.0,34.0
7676,MrDrBoi,EC,4,6,0,1,0,0,0,0,0,-1,0.0,5.0,79.0
7693,Kanye Rest,EC,3,2,0,0,1,0,0,0,0,-1,0.0,8.0,63.0
10228,Flow | Stark,WC,6,3,0,0,1,0,0,0,0,-1,0.0,11.0,41.0
10520,G,WC,3,0,0,0,1,0,0,0,0,-1,0.0,8.0,63.0
11945,RULES | Strazz,EC,0,1,0,1,0,0,0,0,0,-1,0.0,1.0,116.0
12048,K8A,EC,9,3,0,0,0,1,0,0,0,9,45.0,64.0,12.0
15586,The_Hat123 | Anjo,WC,15,8,0,0,0,0,1,0,0,17,10.0,40.0,16.0
15989,DarkHero,WC,15,4,0,0,0,0,1,0,0,3,150.0,180.0,3.0
16182,Obsidian,WC,3,7,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
16468,CV Aceflight,WC,7,4,0,0,1,0,0,0,0,-1,0.0,12.0,37.0
21081,Opportunity,WC,3,4,0,1,0,0,0,0,0,-1,0.0,4.0,85.0
