SmasherID,SmashTag,BWeek1,BWeek2,BWeek3
1004,Liquid | Hungrybox,NAN,NAN,36.0
1023,Nintendude,NAN,63,63.0
1077,Revenge | Gahtzu,189,296,296.0
2088,ycz6,NAN,71,71.0
3299,Vish,NAN,NAN,20.0
3602,JLo,NAN,4,4.0
3665,Younger,37,133,170.0
3734,Hulka,15,15,15.0
3772,Arcadia,27,27,27.0
3954,YungWaff,NAN,NAN,31.0
4107,GG | n0ne,NAN,163,378.0
4176,NathanSandwich,13,42,42.0
4205,a-on,5,17,26.0
4215,rocky,NAN,NAN,175.0
4390,CG | Jflex,108,216,355.0
5630,BKB! | stocmoney,5,6,10.0
5724,Wassabi,3,3,3.0
5869,Joe(y) Bats,11,26,44.0
6176,Mova,NAN,3,15.0
7068,mikey,NAN,8,8.0
7149,Trail,NAN,15,15.0
7277,Crescent | JSalt,70,70,70.0
7634,MT,NAN,NAN,116.0
7654,Schnurb,NAN,NAN,11.0
10228,Flow | Stark,NAN,3,14.0
10362,Elk G | Ivayne,NAN,NAN,11.0
10485,DD,95,104,121.0
10520,G,NAN,NAN,14.0
10529,The Leaf,93,93,93.0
10562,SFOP,NAN,NAN,2.0
10971,Brainless  | FLiiNcHy,29,29,29.0
11458,Tuesday,17,17,17.0
11490,Dash,NAN,2,2.0
11603,Arctic,NAN,NAN,9.0
11945,RULES | Strazz,NAN,6,9.0
12023,El Link,11,22,28.0
12048,K8A,16,16,68.0
12137,yingling,10,10,10.0
12365,PW | Vincessant,9,9,9.0
13639,21! | Ronan,NAN,3,3.0
13746,Baja,NAN,NAN,4.0
13765,Help,NAN,12,17.0
14305,Nard Dawg,NAN,10,12.0
14592,ZOOK | Suezo,NAN,43,43.0
15298,Cowbell,NAN,14,14.0
15447,Jkiller,NAN,NAN,20.0
15586,Anjo,NAN,NAN,38.0
16468,TTV/Aceflight,NAN,NAN,11.0
16478,Anjel,NAN,NAN,7.0
18652,LFTG | Logos,28,57,57.0
19346,mexico629,NAN,NAN,11.0
21081,Opportunity,NAN,NAN,3.0
21405,Fire,1,1,1.0
22088,Nebulous | Jib,9,9,18.0
22333,Redcoat,NAN,11,33.0
22458,Kandayo,4,4,4.0
22595,Aura,9,10,17.0
23422,ZimD00D,NAN,20,20.0
23501,Ratt,1,1,3.0
23995,Forrest,7,7,7.0
25351,Hell'sLabyrinth,1,1,6.0
25478,Maruf,NAN,NAN,19.0
25810,Melee Stats | Pikachu942,2,2,2.0
25916,redpandamaster,17,17,17.0
26187,Slowking,NAN,NAN,54.0
26387,Phantom Airline,4,4,4.0
26750,KoDoRiN,216,434,623.0
26920,Trash,1,1,1.0
27524,JustRhett,NAN,NAN,1.0
29405,Vianny,NAN,NAN,14.0
29840,TBD,21,52,52.0
30804,Frap,13,25,39.0
31487,Winx Club | Siddward,12,12,24.0
32201,PRIN$E,NAN,12,12.0
32691,Blitzkrieg,2,2,2.0
33458,RustyTrombone,NAN,NAN,8.0
34399,BuenasRetas | Cobs,NAN,4,10.0
34694,flthd | flatline,2,2,2.0
34804,Barry Allen,NAN,NAN,1.0
34902,Tanooki,9,9,9.0
35258,LFG | Fist Mexico,NAN,4,17.0
37116,GUG | K�rv,7,7,7.0
38643,RedX,5,5,8.0
39235,Dream,NAN,95,95.0
40793,MGFC | JorDank,4,20,34.0
41055,jacket,51,73,73.0
41374,Anchovy,NAN,21,39.0
45356,OtES,NAN,5,14.0
45726,CS | Faust,NAN,NAN,11.0
47497,Ellis,NAN,9,31.0
47650,shoelegend88,2,2,7.0
48322,AHHHHH | Climbers Alice,NAN,2,2.0
49875,Paladin,NAN,32,45.0
50937,Wumbo,2,2,2.0
51055,MIT | unlucky,NAN,NAN,6.0
51076,Power Kevin,1,1,3.0
51373,prof,75,75,75.0
60696,FM | Cilan,3,3,3.0
61570,YC | Peppi | | Pappi,116,116,116.0
61897,LSD,NAN,144,144.0
63581,CableKnit,NAN,NAN,4.0
63772,Fern,NAN,10,15.0
63940,Weeg,NAN,NAN,16.0
64692,SANS | Blues Clues,76,101,172.0
65777,bobby big ballz,NAN,NAN,112.0
70458,PEPIS | Noire,NAN,NAN,66.0
103305,Dr. Lame,11,11,11.0
127997,CW | rabit!,NAN,NAN,4.0
128898,Zhāoshù,NAN,5,5.0
129344,totally butts,NAN,19,19.0
129363,Flow | ESPONJA,12,19,33.0
130672,Soltrain,NAN,8,8.0
131130,Leyo,NAN,NAN,4.0
132938,RU | Midnight Blue,12,12,29.0
135088,LFG | PanterA,NAN,NAN,22.0
136990,Holy | key,NAN,6,6.0
