SmasherID,SmashTag,RWeek1,RWeek2,RWeek3,ChangeInRank
1004,Liquid | Hungrybox,NAN,NAN,47.0,NAN
1023,Nintendude,NAN,22,30.0,-8.0
1077,Revenge | Gahtzu,2,3,5.0,-2.0
2088,ycz6,NAN,19,24.0,-5.0
3299,Vish,NAN,NAN,66.0,NAN
3602,JLo,NAN,115,174.0,-59.0
3665,Younger,17,8,8.0,0.0
3734,Hulka,29,57,82.0,-25.0
3772,Arcadia,20,34,59.0,-25.0
3954,YungWaff,NAN,NAN,51.0,NAN
4107,GG | n0ne,NAN,5,3.0,2.0
4176,NathanSandwich,33,30,42.0,-12.0
4205,a-on,59,46,62.0,-16.0
4215,rocky,NAN,NAN,6.0,NAN
4390,CG | Jflex,6,4,4.0,0.0
5630,BKB! | stocmoney,59,99,119.0,-20.0
5724,Wassabi,78,131,194.0,-63.0
5869,Joe(y) Bats,41,35,40.0,-5.0
6176,Mova,NAN,131,82.0,49.0
7068,mikey,NAN,89,135.0,-46.0
7149,Trail,NAN,57,82.0,-25.0
7277,Crescent | JSalt,11,20,25.0,-5.0
7634,MT,NAN,NAN,13.0,NAN
7654,Schnurb,NAN,NAN,109.0,NAN
10228,Flow | Stark,NAN,131,90.0,41.0
10362,Elk G | Ivayne,NAN,NAN,109.0,NAN
10485,DD,7,10,12.0,-2.0
10520,G,NAN,NAN,90.0,NAN
10529,The Leaf,8,13,21.0,-8.0
10562,SFOP,NAN,NAN,216.0,NAN
10971,Brainless  | FLiiNcHy,18,33,53.0,-20.0
11458,Tuesday,24,46,73.0,-27.0
11490,Dash,NAN,147,216.0,-69.0
11603,Arctic,NAN,NAN,128.0,NAN
11945,RULES | Strazz,NAN,99,128.0,-29.0
12023,El Link,41,37,55.0,-18.0
12048,K8A,26,53,26.0,27.0
12137,yingling,45,74,119.0,-45.0
12365,PW | Vincessant,47,82,128.0,-46.0
13639,21! | Ronan,NAN,131,194.0,-63.0
13746,Baja,NAN,NAN,174.0,NAN
13765,Help,NAN,65,73.0,-8.0
14305,Nard Dawg,NAN,74,101.0,-27.0
14592,ZOOK | Suezo,NAN,29,41.0,-12.0
15298,Cowbell,NAN,63,90.0,-27.0
15447,Jkiller,NAN,NAN,66.0,NAN
15586,Anjo,NAN,NAN,46.0,NAN
16468,TTV/Aceflight,NAN,NAN,109.0,NAN
16478,Anjel,NAN,NAN,145.0,NAN
18652,LFTG | Logos,19,23,31.0,-8.0
19346,mexico629,NAN,NAN,109.0,NAN
21081,Opportunity,NAN,NAN,194.0,NAN
21405,Fire,98,167,244.0,-77.0
22088,Nebulous | Jib,47,82,72.0,10.0
22333,Redcoat,NAN,70,49.0,21.0
22458,Kandayo,67,115,174.0,-59.0
22595,Aura,47,74,73.0,1.0
23422,ZimD00D,NAN,39,66.0,-27.0
23501,Ratt,98,167,194.0,-27.0
23995,Forrest,54,95,145.0,-50.0
25351,Hell'sLabyrinth,98,167,154.0,13.0
25478,Maruf,NAN,NAN,69.0,NAN
25810,Melee Stats | Pikachu942,87,147,216.0,-69.0
25916,redpandamaster,24,46,73.0,-27.0
26187,Slowking,NAN,NAN,33.0,NAN
26387,Phantom Airline,67,115,174.0,-59.0
26750,KoDoRiN,1,1,1.0,0.0
26920,Trash,98,167,244.0,-77.0
27524,JustRhett,NAN,NAN,244.0,NAN
29405,Vianny,NAN,NAN,90.0,NAN
29840,TBD,21,24,34.0,-10.0
30804,Frap,33,36,43.0,-7.0
31487,Winx Club | Siddward,36,65,63.0,2.0
32201,PRIN$E,NAN,65,101.0,-36.0
32691,Blitzkrieg,87,147,216.0,-69.0
33458,RustyTrombone,NAN,NAN,135.0,NAN
34399,BuenasRetas | Cobs,NAN,115,119.0,-4.0
34694,flthd | flatline,87,147,216.0,-69.0
34804,Barry Allen,NAN,NAN,244.0,NAN
34902,Tanooki,47,82,128.0,-46.0
35258,LFG | Fist Mexico,NAN,115,73.0,42.0
37116,GUG | K�rv,54,95,145.0,-50.0
38643,RedX,59,106,135.0,-29.0
39235,Dream,NAN,12,19.0,-7.0
40793,MGFC | JorDank,67,39,48.0,-9.0
41055,jacket,13,18,23.0,-5.0
41374,Anchovy,NAN,38,43.0,-5.0
45356,OtES,NAN,106,90.0,16.0
45726,CS | Faust,NAN,NAN,109.0,NAN
47497,Ellis,NAN,82,51.0,31.0
47650,shoelegend88,87,147,145.0,2.0
48322,AHHHHH | Climbers Alice,NAN,147,216.0,-69.0
