SmasherID,SmashTag,NumTMTEntered,NumInBracket,PWeek1,PWeek2,PWeek3,PWeek4
1004,Liquid | Hungrybox,2,2,-2,-2,13,2
1023,Nintendude,1,1,-2,9,-2,-2
1077,Revenge | Gahtzu,2,2,2,5,-2,-2
2088,ycz6,1,1,-2,9,-2,-2
3299,Vish,1,0,-2,-2,-1,-2
3602,JLo,1,0,-2,-1,-2,-2
3665,Younger,4,4,17,7,17,9
3734,Hulka,1,0,-1,-2,-2,-2
3772,Arcadia,1,1,17,-2,-2,-2
3954,YungWaff,1,1,-2,-2,17,-2
4107,GG | n0ne,2,2,-2,3,1,-2
4176,NathanSandwich,2,1,-1,17,-2,-2
4205,a-on,4,0,-1,-1,-1,-1
4215,rocky,1,1,-2,-2,3,-2
4317,Solomon,1,1,-2,-2,-2,17
4390,CG | Jflex,4,4,5,5,4,3
4614,Notorious,1,0,-2,-2,-2,-1
5630,BKB! | stocmoney,3,0,-1,-1,-1,-2
5724,Wassabi,2,0,-1,-2,-2,-1
5869,Joe(y) Bats,4,0,-1,-1,-1,-1
6176,Mova,2,0,-2,-1,-1,-2
7068,mikey,1,0,-2,-1,-2,-2
7149,Trail,1,0,-2,-1,-2,-2
7199,TGL | Shamunt,1,0,-2,-2,-2,-1
7277,Crescent | JSalt,1,1,9,-2,-2,-2
7634,MT,1,1,-2,-2,5,-2
7654,Schnurb,1,0,-2,-2,-1,-2
7977,BokchoyBoy,1,0,-2,-2,-2,-1
10067,icecream,1,0,-2,-2,-2,-1
10228,Flow | Stark,3,0,-2,-1,-1,-1
10362,Elk G | Ivayne,2,0,-2,-2,-1,-1
10485,DD,4,1,7,-1,-1,-1
10520,G,1,0,-2,-2,-1,-2
10529,The Leaf,1,1,7,-2,-2,-2
10562,SFOP,1,0,-2,-2,-1,-2
10971,Brainless  | FLiiNcHy,1,1,17,-2,-2,-2
11458,Tuesday,1,0,-1,-2,-2,-2
11490,Dash,1,0,-2,-1,-2,-2
11603,Arctic,2,0,-2,-2,-1,-1
11945,RULES | Strazz,3,0,-2,-1,-1,-1
12023,El Link,3,0,-1,-1,-1,-2
12048,K8A,3,2,-1,-2,13,9
12137,yingling,2,0,-1,-2,-2,-1
12365,PW | Vincessant,2,0,-1,-2,-2,-1
12817,WU | nerodero,1,0,-2,-2,-2,-1
13639,21! | Ronan,1,0,-2,-1,-2,-2
13746,Baja,1,0,-2,-2,-1,-2
13765,Help,2,0,-2,-1,-1,-2
14305,Nard Dawg,3,0,-2,-1,-1,-1
14514,Howdy,1,0,-2,-2,-2,-1
14592,ZOOK | Suezo,1,1,-2,13,-2,-2
15298,Cowbell,1,0,-2,-1,-2,-2
15447,Jkiller,1,1,-2,-2,17,-2
15504,Umarth,1,1,-2,-2,-2,5
15586,Anjo,2,1,-2,-2,17,-1
15927,jedi093,1,0,-2,-2,-2,-1
15989,DarkHero,1,1,-2,-2,-2,5
16023,soccermom69,1,1,-2,-2,-2,17
16393,Higgins,1,0,-2,-2,-2,-1
16468,TTV/Aceflight,1,0,-2,-2,-1,-2
16478,Anjel,1,0,-2,-2,-1,-2
18652,LFTG | Logos,2,2,17,17,-2,-2
18722,K.H.D | REIGN,1,0,-2,-2,-2,-1
19346,mexico629,2,0,-2,-2,-1,-1
21081,Opportunity,1,0,-2,-2,-1,-2
21405,Fire,2,0,-1,-2,-2,-1
22088,Nebulous | Jib,2,0,-1,-2,-1,-2
22333,Redcoat,3,0,-2,-1,-1,-1
22458,Kandayo,2,0,-1,-2,-2,-1
22595,Aura,3,0,-1,-1,-1,-2
23422,ZimD00D,1,0,-2,-1,-2,-2
23501,Ratt,2,0,-1,-2,-1,-2
23995,Forrest,1,0,-1,-2,-2,-2
25351,Hell'sLabyrinth,3,0,-1,-2,-1,-1
25463,Creature,1,0,-2,-2,-2,-1
25478,Maruf,1,0,-2,-2,-1,-2
25810,Melee Stats | Pikachu942,1,0,-1,-2,-2,-2
25916,redpandamaster,1,0,-1,-2,-2,-2
26004,Kyler,1,0,-2,-2,-2,-1
26187,Slowking,1,1,-2,-2,13,-2
26387,Phantom Airline,2,0,-1,-2,-2,-1
26574,NEU | Shmeeli,1,1,-2,-2,-2,13
26750,KoDoRiN,3,3,1,1,2,-2
26920,Trash,1,0,-1,-2,-2,-2
27524,JustRhett,2,0,-2,-2,-1,-1
28391,Vigilance,1,0,-2,-2,-2,-1
28793,Light,1,1,-2,-2,-2,17
29405,Vianny,1,0,-2,-2,-1,-2
29840,TBD,3,1,-1,17,-2,-1
30804,Frap,3,0,-1,-1,-1,-2
31487,Winx Club | Siddward,3,1,-1,-2,-1,9
32201,PRIN$E,1,0,-2,-1,-2,-2
32691,Blitzkrieg,1,0,-1,-2,-2,-2
33458,RustyTrombone,2,0,-2,-2,-1,-1
34399,BuenasRetas | Cobs,3,0,-2,-1,-1,-1
34694,flthd | flatline,1,0,-1,-2,-2,-2
34804,Barry Allen,1,0,-2,-2,-1,-2
34902,Tanooki,1,0,-1,-2,-2,-2
35258,LFG | Fist Mexico,3,0,-2,-1,-1,-1
37116,GUG | K�rv,1,0,-1,-2,-2,-2
38643,RedX,3,0,-1,-2,-1,-1
39235,Dream,1,1,-2,7,-2,-2
40399,Elders React | Third Strongest,1,0,-2,-2,-2,-1
40793,MGFC | JorDank,4,0,-1,-1,-1,-1
41055,jacket,2,1,13,-1,-2,-2
41374,Anchovy,2,0,-2,-1,-1,-2
45356,OtES,2,0,-2,-1,-1,-2
45444,Kaz,1,0,-2,-2,-2,-1
45726,CS | Faust,1,0,-2,-2,-1,-2
47497,Ellis,3,0,-2,-1,-1,-1
47650,shoelegend88,3,0,-1,-2,-1,-1
47866,Erik,1,1,-2,-2,-2,13
48322,AHHHHH | Climbers Alice,1,0,-2,-1,-2,-2
48946,E,1,0,-2,-2,-2,-1
49875,Paladin,3,2,-2,17,-1,17
50053,PML | Die222,1,0,-2,-2,-2,-1
50937,Wumbo,1,0,-1,-2,-2,-2
51055,MIT | unlucky,1,0,-2,-2,-1,-2
51076,Power Kevin,2,0,-1,-2,-1,-2
51112,Pilgrim,1,0,-2,-2,-2,-1
51373,prof,1,1,9,-2,-2,-2
54556,KillThePast | bebul,1,0,-2,-2,-2,-1
60696,FM | Cilan,1,0,-1,-2,-2,-2
61570,YC | Peppi | | Pappi,1,1,5,-2,-2,-2
61897,LSD,1,1,-2,4,-2,-2
62457,QTT | Yeyo,1,0,-2,-2,-2,-1
63581,CableKnit,2,0,-2,-2,-1,-1
63772,Fern,3,0,-2,-1,-1,-1
63940,Weeg,1,0,-2,-2,-1,-2
64574,Zamorota,1,0,-2,-2,-2,-1
64692,Blues Clues,4,3,9,-1,9,4
65777,bobby big ballz,1,1,-2,-2,5,-2
69699,Smeedot,1,0,-2,-2,-2,-1
70110,Buttlet,1,0,-2,-2,-2,-1
70458,PEPIS | Noire,2,2,-2,-2,9,9
103305,Dr. Lame,1,0,-1,-2,-2,-2
127997,CW | rabit!,2,1,-2,-2,-1,17
128898,Zhāoshù,1,0,-2,-1,-2,-2
129344,totally butts,1,0,-2,-1,-2,-2
129363,Flow | ESPONJA,3,0,-1,-1,-1,-2
130672,Soltrain,2,0,-2,-1,-2,-1
131130,Leyo,1,0,-2,-2,-1,-2
132938,RU | Midnight Blue,2,0,-1,-2,-1,-2
135088,LFG | PanterA,2,1,-2,-2,-1,13
135091,GS | SubTails,1,0,-2,-2,-2,-1
135795,cockbread,1,0,-2,-2,-2,-1
136990,Holy | key,2,0,-2,-1,-2,-1
137480,RC,1,0,-2,-2,-2,-1
138710,Golden,1,1,-2,-2,9,-2
144133,YBBT | leroydankins,1,0,-2,-2,-2,-1
145075,blazerboy,1,0,-2,-2,-2,-1
148028,Navjyot Sandhu | Connect4Master,1,0,-2,-2,-2,-1
148736,GThree,1,0,-2,-2,-1,-2
149952,Jakespeare,1,0,-2,-1,-2,-2
151360,Inky,1,1,9,-2,-2,-2
152060,Vent,1,0,-2,-2,-2,-1
152754,Hood,1,0,-2,-2,-1,-2
152800,wally,1,0,-2,-2,-2,-1
153138,ZouL,1,0,-2,-2,-2,-1
153334,Silkylaroux,1,0,-2,-2,-2,-1
156503,Beiker,1,0,-2,-2,-1,-2
156775,Chadwicc,1,0,-2,-2,-1,-2
157615,ight,1,0,-2,-1,-2,-2
157632,TurboThot,1,0,-2,-1,-2,-2
158213,LG | Louis,1,0,-1,-2,-2,-2
158524,Oferton,1,0,-2,-2,-2,-1
159198,Pi2z,1,0,-1,-2,-2,-2
171201,Mootook,1,0,-2,-1,-2,-2
173178,LAG,3,2,-2,13,-1,7
180797,Cpt.Blade,1,0,-2,-2,-2,-1
181689,Hell Kaiser,1,0,-2,-2,-2,-1
183677,Yamasaki,4,0,-1,-1,-1,-1
184457,MessiSTL,2,0,-2,-2,-1,-1
184637,Joey Donuts,3,3,-2,17,9,17
185013,Habi,1,0,-2,-2,-2,-1
185618,Captain G,1,0,-2,-1,-2,-2
185620,Usernamejpg,1,0,-2,-2,-2,-1
211440,Darrell,4,0,-1,-1,-1,-1
213297,Chompy,3,0,-1,-2,-1,-1
219838,Lamb's Ear,3,0,-2,-1,-1,-1
221423,Typhoon,2,1,-2,-1,7,-2
224897,AWaveDash,2,0,-1,-1,-2,-2
226271,SU | wild flower,1,0,-2,-1,-2,-2
226595,TourGuide,2,0,-1,-2,-2,-1
229216,KaiKwonDo,2,0,-2,-1,-2,-1
229925,Happy,1,0,-2,-2,-2,-1
230122,vampa,1,0,-2,-2,-2,-1
230537,hHerb,2,0,-2,-2,-1,-1
232193,Chiefn_,4,0,-1,-1,-1,-1
232446,ash6,1,0,-1,-2,-2,-2
233059,Ribboned Ace,3,0,-1,-1,-2,-1
237282,Electroman,2,0,-2,-1,-1,-2
245346,SIMP | Vagab0nd,2,0,-1,-2,-1,-2
245795,TR | H,1,0,-2,-2,-2,-1
252523,Dusky,2,0,-2,-2,-1,-1
252543,LG | Yu,1,1,-2,-2,-2,7
254673,Layer,2,0,-2,-2,-1,-1
257324,GSP,2,0,-2,-2,-1,-1
267849,TG | Mot$,1,1,4,-2,-2,-2
268767,markrevival,2,0,-1,-2,-1,-2
269238,91,1,0,-1,-2,-2,-2
269511,SquidTheCat,2,0,-2,-2,-1,-1
275922,Otto_Zone,1,0,-2,-1,-2,-2
276041,Kettering,1,0,-2,-1,-2,-2
276973,Red,1,0,-2,-2,-2,-1
277060,Cuk | Veths,1,0,-2,-2,-2,-1
278295,DadsAkimbo,2,0,-2,-2,-1,-1
279107,Khryke,1,1,13,-2,-2,-2
283648,MDF | Amor,1,0,-2,-2,-1,-2
288395,jams,2,0,-2,-2,-1,-1
322324,maxi,1,0,-2,-2,-1,-2
327350,lochist,1,0,-1,-2,-2,-2
328736,SadSack,1,0,-1,-2,-2,-2
362459,SeshLord Ozai,1,0,-2,-1,-2,-2
368021,JitteryInChurch,1,0,-2,-2,-1,-2
378512,Khoron | Oreo,2,0,-2,-1,-1,-2
379419,Zab,1,0,-2,-2,-2,-1
