SmasherID,SmashTag,BWeek1,BWeek2,BWeek3,BWeek4,BWeek5
1004,Liquid | Hungrybox,NAN,NAN,36.0,225.0,225.0
1017,S2J,NAN,NAN,NAN,NAN,215.0
1023,Nintendude,NAN,63,63.0,63.0,63.0
1077,Revenge | Gahtzu,189,296,296.0,296.0,296.0
2088,ycz6,NAN,71,71.0,71.0,135.0
3299,Vish,NAN,NAN,20.0,20.0,20.0
3602,JLo,NAN,4,4.0,4.0,4.0
3665,Younger,37,133,170.0,243.0,295.0
3734,Hulka,15,15,15.0,15.0,15.0
3772,Arcadia,27,27,27.0,27.0,45.0
3954,YungWaff,NAN,NAN,31.0,31.0,31.0
3977,Sicca,NAN,NAN,NAN,NAN,19.0
4107,GG | n0ne,NAN,163,378.0,378.0,378.0
4176,NathanSandwich,13,42,42.0,42.0,42.0
4205,a-on,5,17,26.0,35.0,54.0
4215,rocky,NAN,NAN,175.0,175.0,175.0
4317,Solomon,NAN,NAN,NAN,29.0,38.0
4390,CG | Jflex,108,216,355.0,519.0,539.0
4614,Notorious,NAN,NAN,NAN,12.0,34.0
4996,MR. SCAM,NAN,NAN,NAN,NAN,2.0
5630,BKB! | stocmoney,5,6,10.0,10.0,11.0
5724,Wassabi,3,3,3.0,28.0,28.0
5869,Joe(y) Bats,11,26,44.0,56.0,68.0
6176,Mova,NAN,3,15.0,15.0,15.0
7068,mikey,NAN,8,8.0,8.0,8.0
7149,Trail,NAN,15,15.0,15.0,15.0
7199,TGL | Shamunt,NAN,NAN,NAN,11.0,29.0
7277,Crescent | JSalt,70,70,70.0,70.0,70.0
7634,MT,NAN,NAN,116.0,116.0,116.0
7654,Schnurb,NAN,NAN,11.0,11.0,11.0
7977,BokchoyBoy,NAN,NAN,NAN,11.0,11.0
10067,icecream,NAN,NAN,NAN,3.0,5.0
10228,Flow | Stark,NAN,3,14.0,24.0,44.0
10362,Elk G | Ivayne,NAN,NAN,11.0,27.0,27.0
10468,Reesch,NAN,NAN,NAN,NAN,24.0
10485,DD,95,104,121.0,140.0,140.0
10520,G,NAN,NAN,14.0,14.0,14.0
10529,The Leaf,93,93,93.0,93.0,93.0
10562,SFOP,NAN,NAN,2.0,2.0,2.0
10971,Brainless  | FLiiNcHy,29,29,29.0,29.0,29.0
11458,Tuesday,17,17,17.0,17.0,17.0
11490,Dash,NAN,2,2.0,2.0,2.0
11603,Arctic,NAN,NAN,9.0,24.0,24.0
11945,RULES | Strazz,NAN,6,9.0,26.0,30.0
12023,El Link,11,22,28.0,28.0,28.0
12048,K8A,16,16,68.0,134.0,161.0
12137,yingling,10,10,10.0,20.0,20.0
12365,PW | Vincessant,9,9,9.0,20.0,20.0
12817,WU | nerodero,NAN,NAN,NAN,11.0,11.0
13639,21! | Ronan,NAN,3,3.0,3.0,3.0
13746,Baja,NAN,NAN,4.0,4.0,4.0
13765,Help,NAN,12,17.0,17.0,17.0
14305,Nard Dawg,NAN,10,12.0,23.0,23.0
14514,Howdy,NAN,NAN,NAN,1.0,1.0
14592,ZOOK | Suezo,NAN,43,43.0,43.0,58.0
15298,Cowbell,NAN,14,14.0,14.0,14.0
15447,Jkiller,NAN,NAN,20.0,20.0,20.0
15504,Umarth,NAN,NAN,NAN,121.0,121.0
15586,Anjo,NAN,NAN,38.0,62.0,62.0
15927,jedi093,NAN,NAN,NAN,4.0,4.0
15989,DarkHero,NAN,NAN,NAN,117.0,117.0
16023,soccermom69,NAN,NAN,NAN,40.0,83.0
16393,Higgins,NAN,NAN,NAN,18.0,18.0
16468,TTV/Aceflight,NAN,NAN,11.0,11.0,11.0
16478,Anjel,NAN,NAN,7.0,7.0,7.0
18652,LFTG | Logos,28,57,57.0,57.0,57.0
18722,K.H.D | REIGN,NAN,NAN,NAN,7.0,7.0
19346,mexico629,NAN,NAN,11.0,15.0,15.0
21081,Opportunity,NAN,NAN,3.0,3.0,3.0
21405,Fire,1,1,1.0,4.0,4.0
