Rank,Tag,Wins,Losses,Win%,Bankroll Bills
1.0,KoDoRiN,6,1,85.71,216.0
2.0,Revenge | Gahtzu,4,2,66.67,189.0
3.0,IMP | Ben,4,2,66.67,164.0
4.0,TG | Mot$,15,5,75.0,155.0
5.0,YC | Peppi | | Pappi,11,3,78.57,116.0
6.0,CG | Jflex,3,2,60.0,108.0
7.0,DD,10,3,76.92,95.0
8.0,The Leaf,8,4,66.67,93.0
9.0,SANS | Blues Clues,16,7,69.57,76.0
10.0,prof,15,7,68.18,75.0
11.0,Crescent | JSalt,10,2,83.33,70.0
12.0,Inky,11,5,68.75,66.0
13.0,jacket,11,3,78.57,51.0
14.0,Khryke,14,8,63.64,49.0
15.0,Rocket,13,6,68.42,48.0
16.0,I'm Michael BTW,8,5,61.54,43.0
17.0,Younger,12,5,70.59,37.0
18.0,Brainless  | FLiiNcHy,9,5,64.29,29.0
19.0,LFTG | Logos,8,4,66.67,28.0
20.0,Arcadia,7,3,70.0,27.0
21.0,TBD,11,8,57.89,21.0
22.0,Not_DuduTsai,9,5,64.29,19.0
23.0,Bbatts,8,4,66.67,18.0
24.0,Tuesday,7,1,87.5,17.0
24.0,redpandamaster,7,4,63.64,17.0
26.0,LG | Louis,6,1,85.71,16.0
26.0,Mud,11,12,47.83,16.0
26.0,K8A,11,9,55.0,16.0
29.0,jeddo,10,13,43.48,15.0
29.0,Hulka,5,0,100.0,15.0
29.0,lochist,5,0,100.0,15.0
32.0,Cow,9,9,50.0,14.0
33.0,Frap,8,5,61.54,13.0
33.0,Erica,8,8,50.0,13.0
33.0,NathanSandwich,8,5,61.54,13.0
36.0,Winx Club | Siddward,7,4,63.64,12.0
36.0,Jun,7,7,50.0,12.0
36.0,Melo,7,4,63.64,12.0
36.0,RU | Midnight Blue,7,5,58.33,12.0
36.0,Flow | ESPONJA,7,7,50.0,12.0
41.0,Joey Bats,6,6,50.0,11.0
41.0,El Link,6,4,60.0,11.0
41.0,Chiefn_,6,8,42.86,11.0
41.0,Dr. Lame,6,4,60.0,11.0
45.0,Chem,5,3,62.5,10.0
45.0,yingling,5,2,71.43,10.0
47.0,Ghost Rider,4,3,57.14,9.0
47.0,Nebulous | Jib,4,2,66.67,9.0
47.0,Aura,4,0,100.0,9.0
47.0,PW | Vincessant,4,1,80.0,9.0
47.0,Chompy,4,1,80.0,9.0
47.0,Tanooki,4,1,80.0,9.0
53.0,SadSack,7,16,30.43,8.0
54.0,GAS,2,1,66.67,7.0
54.0,Forrest,2,1,66.67,7.0
54.0,GUG | Kürv,2,1,66.67,7.0
57.0,Epoodle,5,7,41.67,6.0
57.0,LewdCelebs4Free,5,6,45.45,6.0
59.0,Pi2z,4,5,44.44,5.0
59.0,RedX,4,5,44.44,5.0
59.0,Marvelboy,4,8,33.33,5.0
59.0,Axis,4,5,44.44,5.0
59.0,BKB! | stocmoney,4,5,44.44,5.0
59.0,a-on,4,3,57.14,5.0
59.0,BeanBurrito-San,4,16,20.0,5.0
59.0,Golf,4,5,44.44,5.0
67.0,Kelpo,3,4,42.86,4.0
67.0,91,3,3,50.0,4.0
67.0,Ribboned Ace,3,4,42.86,4.0
67.0,FreeHops,3,3,50.0,4.0
67.0,Yamasaki,3,6,33.33,4.0
67.0,MGFC | JorDank,3,5,37.5,4.0
67.0,TourGuide,3,6,33.33,4.0
67.0,Kandayo,3,6,33.33,4.0
67.0,Phantom Airline,3,5,37.5,4.0
67.0,Bobakanoosh,3,9,25.0,4.0
67.0,Deeb,3,7,30.0,4.0
78.0,FM | Cilan,2,3,40.0,3.0
78.0,2rk | Turok,2,3,40.0,3.0
78.0,Wassabi,2,2,50.0,3.0
78.0,Keykey,2,3,40.0,3.0
78.0,JoffDuchar,2,6,25.0,3.0
78.0,RitzyCheese,2,9,18.18,3.0
78.0,YoungHanSolo,2,3,40.0,3.0
78.0,Darrell,2,2,50.0,3.0
78.0,charmell0,2,11,15.38,3.0
87.0,Melee Stats | Pikachu942,1,6,14.29,2.0
87.0,Blitzkrieg,1,4,20.0,2.0
87.0,Jet,1,1,50.0,2.0
87.0,ash6,1,5,16.67,2.0
87.0,flthd | flatline,1,2,33.33,2.0
87.0,aujory,1,3,25.0,2.0
87.0,Wumbo,1,1,50.0,2.0
87.0,shoelegend88,1,4,20.0,2.0
87.0,SUPERUNKNOWN,1,5,16.67,2.0
87.0,gsm | Pound,1,3,25.0,2.0
87.0,ali_,1,8,11.11,2.0
98.0,KOA | youngbool,0,2,0.0,1.0
98.0,NattyIce,0,11,0.0,1.0
98.0,AWaveDash,0,8,0.0,1.0
98.0,HaxMoneyHulkHogan,0,3,0.0,1.0
98.0,Dolfo,0,4,0.0,1.0
98.0,Power Kevin,0,1,0.0,1.0
98.0,SIMP | Vagab0nd,0,2,0.0,1.0
98.0,PurpleZ,0,1,0.0,1.0
98.0,Trash,0,1,0.0,1.0
98.0,Anzeray,0,2,0.0,1.0
98.0,markrevival,0,3,0.0,1.0
98.0,Ratt,0,3,0.0,1.0
98.0,Penguin,0,2,0.0,1.0
98.0,Fire,0,8,0.0,1.0
98.0,nunoodle,0,8,0.0,1.0
98.0,yBaS | MaxJacks,0,1,0.0,1.0
98.0,Special K,0,8,0.0,1.0
98.0,Jeem,0,2,0.0,1.0
98.0,Hell'sLabyrinth,0,4,0.0,1.0
