SmasherID,SmashTag,Wins,Losses,Placement
1017,S2J,5,0,1
3561,LG | Ginger,5,2,2
61570,CG | Peppi | Pappi,3,2,3
4390,CG | Jflex,3,2,4
133666,404 YC | Salt,5,2,5
26750,KoDoRiN,3,2,5
542693,Bbatts,3,2,7
64692,Blues Clues,2,2,7
68261,Azel,3,2,9
245069,PALS | Jello,2,2,9
14592,ZOOK | Suezo,3,2,9
694497,IMP | Ben,1,2,9
2269490,GGS,2,2,13
3772,Arcadia,1,2,13
448153,Neenor,2,2,13
37116,GUG | Kurv,1,2,13
22595,Aura,0,2,17
279722,Justus,0,2,17
3665,Younger,0,2,17
5724,Wassabi,1,2,17
2179108,Mud,0,2,17
15586,AB | Anjo,0,2,17
147811,Dawson,1,2,17
581039,I'm Michael BTW,0,2,17
