SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,Coast
68261,Azel,10,1,0,0,0,1,0,1,WC
245069,PALS | Jello,11,2,0,0,0,1,0,2,WC
5724,Wassabi,12,3,0,0,0,1,0,3,WC
61570,CG | Peppi | Pappi,8,0,0,0,1,0,0,4,WC
18652,LFTG | Logos,10,2,0,0,1,0,0,5,WC
133666,404 YC | Salt,10,2,0,0,1,0,0,5,WC
70458,PEPIS | Noire,11,3,0,0,1,0,0,7,WC
64692,Blues Clues,10,3,0,0,1,0,0,8,WC
15586,AB | Anjo,8,1,0,0,1,0,0,9,WC
38979,Tristan's Rule,10,4,0,0,1,0,0,10,WC
211440,Darrell,10,4,0,0,1,0,0,10,WC
890721,Mr. Butterfly,10,4,0,0,1,0,0,10,WC
3772,Arcadia,8,2,0,0,1,0,0,13,WC
279722,Justus,8,3,0,0,1,0,0,14,WC
12137,yingling,9,6,0,1,0,0,0,15,WC
466221,Melo,12,9,0,0,1,0,0,16,WC
7068,mikey,5,0,0,0,1,0,0,17,WC
132938,RU | Midnight Blue,7,2,0,0,1,0,0,18,WC
4205,a-on,10,6,0,0,1,0,0,19,WC
327212,IWI | Marrgasm,6,7,1,0,0,0,0,20,WC
66311,zilo,4,1,0,1,0,0,0,21,WC
129363,Flow | ESPONJA,6,2,0,1,0,0,0,22,WC
3499,Boy,5,3,0,1,0,0,0,23,WC
10228,Flow | Stark,7,5,0,1,0,0,0,24,WC
4176,NathanSandwich,8,7,0,1,0,0,0,25,WC
269511,SquidTheCat,5,6,1,0,0,0,0,26,WC
1816060,FKA Minerali,4,2,0,1,0,0,0,27,WC
1957918,Cow,6,4,0,1,0,0,0,28,WC
598192,Pena,6,4,0,1,0,0,0,28,WC
245152,emy,7,6,0,1,0,0,0,30,WC
50053,PML | Die222,8,7,0,1,0,0,0,31,WC
710975,Keo,14,14,0,1,0,0,0,32,WC
23207,veil,12,12,0,1,0,0,0,32,WC
146978,Ding Hing,5,5,0,1,0,0,0,32,WC
157632,TurboThot,4,4,0,1,0,0,0,32,WC
45236,Lime,4,3,0,1,0,0,0,36,WC
30804,Frap,7,7,0,1,0,0,0,37,WC
38643,RedX,8,8,1,0,0,0,0,37,WC
39235,Dream,3,3,1,0,0,0,0,37,WC
16468,CV Aceflight,12,14,0,1,0,0,0,40,WC
213297,Chompy,5,6,0,1,0,0,0,41,WC
1171263,PYR,5,6,1,0,0,0,0,41,WC
62457,QTT | Yeyo,2,3,1,0,0,0,0,43,WC
2058200,Kuzon,3,6,1,0,0,0,0,44,WC
53839,Poopy Ass,4,9,1,0,0,0,0,45,WC
492755,BoffTarget,4,4,1,0,0,0,0,46,WC
617254,N8v,2,2,1,0,0,0,0,46,WC
22458,Kandayo,1,1,1,0,0,0,0,46,WC
35192,Robert Flambe,3,4,1,0,0,0,0,49,WC
950362,EWA | ERGonomics,6,8,1,0,0,0,0,49,WC
428826,ArcaneFox,5,7,1,0,0,0,0,51,WC
47752,p3achyjr,5,7,1,0,0,0,0,51,WC
1918774,EWA | Gorgonzola,4,6,1,0,0,0,0,53,WC
1737518,Kombeze Ataie,4,6,1,0,0,0,0,53,WC
528737,3OutChange,8,12,1,0,0,0,0,53,WC
2221234,LordTourettes,5,8,1,0,0,0,0,56,WC
2245020,enterthekiwi,3,5,1,0,0,0,0,57,WC
1298609,Beck,3,5,1,0,0,0,0,57,WC
144133,YBBT | leroydankins,3,5,1,0,0,0,0,57,WC
1026815,Sakm,5,9,1,0,0,0,0,60,WC
252523,Dusky,1,2,1,0,0,0,0,61,WC
4317,Solomon,2,4,1,0,0,0,0,61,WC
34399,BuenasRetas | Cobs,2,5,1,0,0,0,0,63,WC
10362,Elk G | Ivayne,1,1,1,0,0,0,0,64,WC
63772,Fern,3,6,1,0,0,0,0,65,WC
