Rank,BankRoll Bills,SmashTag,Wins,Losses,WinPercentage
1,235,Ginger,20,4,0.833
2,197,CLG. | SFAT,12,4,0.75
3,168,Revenge | Gahtzu,8,2,0.8
4,144,S2J,4,2,0.666
5,124,LSD,14,3,0.824
6,113,KoDoRiN,8,3,0.727
7,104,Fiction,14,4,0.778
8,98,Dom,13,6,0.684
9,73,bobby big ballz,13,6,0.684
10,67,cliché,12,7,0.632
11,66,GHQ | Zamu,11,5,0.688
12,63,Golden,8,3,0.727
13,55,SANS | Blues Clues,15,7,0.682
14,48,Chem,13,10,0.565
15,47,Captain G,12,10,0.545
16,42,DD,7,4,0.636
17,34,EP | Justus,14,9,0.609
18,29,Hulka,9,6,0.6
21,28,MIOM | Toph,8,5,0.615
21,28,ABG | salami,8,5,0.615
21,28,billybopeep,8,6,0.571
21,28,306 | Polo,8,3,0.727
22,17,Hunybear,12,9,0.571
24,16,DarkGenex,11,11,0.5
24,16,Cock Lot | JEEPER,11,15,0.423
25,15,Milo,10,10,0.5
26,14,Dawson,9,8,0.529
29,12,ANTIFA CEO | Quiggles,11,14,0.44
29,12,W8ASec,7,7,0.5
29,12,:3 | Marrgasm,7,3,0.7
35,11,GST | Ryobeat,6,2,0.75
35,11,TheFormuoli,10,14,0.417
35,11,Pipe,6,13,0.316
35,11,Musashi,6,5,0.545
35,11,306 | Amrak,6,4,0.6
35,11,2Framez,6,3,0.667
36,10,Thad <3,5,4,0.556
38,9,TG NBR | Panos,4,4,0.5
38,9,NOOT,4,3,0.571
41,8,OtES,7,12,0.368
41,8,Slump,7,12,0.368
41,8,RedX,7,10,0.412
44,5,Vitro,4,6,0.4
44,5,jams,4,16,0.2
44,5,DiscipleOfBorp,4,11,0.267
45,4,Theftz,3,6,0.333
48,3,Miranda,2,4,0.333
48,3,Alex18+,2,8,0.2
48,3,Chewy,2,8,0.2
54,2,Fishpaste,1,9,0.1
54,2,Strazz,1,9,0.1
54,2,radvillainy,1,11,0.083
54,2,N8V,1,8,0.111
54,2,Ringler,1,11,0.083
54,2,ericiscool.net,1,2,0.333
59,1,Pawn,0,17,0
59,1,CarltonDanks,0,5,0
59,1,Frost | JJK,0,4,0
59,1,Blu-J,0,2,0
59,1,Afron,0,4,0
