Rank,BankRoll Bills,SmashTag,Wins,Losses,WinPercentage
1.0,24,Tenacity | Albert,14,2,0.875
3.0,23,S2J,13,0,1.0
3.0,23,GUG | Kürv,13,8,0.619
4.0,21,Aura,11,6,0.647
9.0,19,ALP,9,4,0.692
9.0,19,TPN,9,4,0.692
9.0,19,Mango's Friend | Lucky,9,2,0.818
9.0,19,Connor,9,2,0.818
9.0,19,KoDoRiN,9,4,0.692
10.0,18,MegaXmas,8,2,0.8
11.0,17,PnS | Andymosity,7,5,0.583
12.0,15,Hulka,5,3,0.625
15.0,14,Twin,9,10,0.474
15.0,14,Bean,9,8,0.529
15.0,14,Otto_Zone,9,8,0.529
19.0,13,cliché,8,4,0.667
19.0,13,ROFL,8,7,0.533
19.0,13,ChewKiF,8,8,0.5
19.0,13,winismine,8,7,0.533
20.0,12,RB | Cum Fox,7,5,0.583
22.0,11,exzachly,6,10,0.375
22.0,11,Culture | BaseJustice,6,10,0.375
23.0,9,Chadwicc,4,3,0.571
25.0,8,Solo Climber,3,1,0.75
25.0,8,Stiv,3,1,0.75
26.0,7,Veni,2,1,0.667
29.0,6,DPIII,6,8,0.429
29.0,6,Bladee,6,8,0.429
29.0,6,Hentai Boi,6,11,0.353
30.0,5,WOMB#619 | Wombat,5,9,0.357
33.0,4,KatBot,4,10,0.286
33.0,4,YBBT | leroydankins,4,10,0.286
33.0,4,RB | PeachIcedT,4,5,0.444
35.0,3,EyeQuill,3,5,0.375
35.0,3,Old McJonald,3,9,0.25
36.0,2,Dandy,2,12,0.143
38.0,1,Veths,1,10,0.091
38.0,1,CxC | Lutra,1,12,0.077
42.0,0,K.H.D | Reign,0,12,0.0
42.0,0,Serafin,0,2,0.0
42.0,0,TreyTheTrashman,0,2,0.0
42.0,0,Egsid,0,1,0.0
