SmasherID	SmashTag	Wins	Losses	Prospect	Rookie	Pro	Placement	WinPercentage	AllPlacements
6196230	S2J	26	0	0	0	1	1	1.0	1
6197845	Tenacity | Albert	28	4	0	0	1	2	0.875	2
6197302	Mango's Friend | Lucky	18	4	0	0	1	3	0.8181818181818182	3
6187376	KoDoRiN	18	8	0	0	1	4	0.6923076923076923	4
6198091	MegaXmas	16	4	0	0	1	5	0.8	5
6197968	ALP	18	8	0	0	1	5	0.6923076923076923	5
6191215	TPN	18	8	0	0	1	7	0.6923076923076923	7
6197953	GUG | Kürv	26	16	0	0	1	7	0.6190476190476191	7
6192151	PnS | Andymosity	14	10	0	0	1	9	0.5833333333333334	9
6198059	Aura	22	12	0	0	1	9	0.6470588235294118	9
6197918	Connor	9	2	0	0	1	9	0.8181818181818182	9
6198630	Hulka	5	3	0	0	1	9	0.625	9
6196604	Bean	9	8	0	1	0	13	0.5294117647058824	13
6193777	cliché	8	4	0	1	0	13	0.6666666666666666	13
6192339	ROFL	8	7	0	1	0	13	0.5333333333333333	13
6197849	RB | Cum Fox	7	5	0	1	0	13	0.5833333333333334	13
6198685	Stiv	3	1	0	1	0	17	0.75	17
6188948	ChewKiF	8	8	0	1	0	18	0.5	18
6197853	Twin	9	10	0	1	0	19	0.47368421052631576	19
6196037	Culture | BaseJustice	6	10	0	1	0	20	0.375	20
6193367	exzachly	6	10	0	1	0	20	0.375	20
6193031	Solo Climber	3	1	0	1	0	22	0.75	22
6196768	Veni	2	1	0	1	0	23	0.6666666666666666	23
6198537	Chadwicc	4	3	0	1	0	24	0.5714285714285714	24
6197947	winismine	8	7	0	1	0	25	0.5333333333333333	25
6196732	Otto_Zone	9	8	0	1	0	26	0.5294117647058824	26
6197678	RB | PeachIcedT	4	5	1	0	0	27	0.4444444444444444	27
6197579	Bladee	6	8	1	0	0	28	0.42857142857142855	28
6198005	EyeQuill	3	5	1	0	0	29	0.375	29
6191192	WOMB#619 | Wombat	5	9	1	0	0	30	0.35714285714285715	30
6193170	Hentai Boi	6	11	1	0	0	31	0.35294117647058826	31
6197930	YBBT | leroydankins	4	10	1	0	0	32	0.2857142857142857	32
6193333	KatBot	4	10	1	0	0	32	0.2857142857142857	32
6197949	DPIII	6	8	1	0	0	34	0.42857142857142855	34
6198084	Old McJonald	3	9	1	0	0	35	0.25	35
6193731	Dandy	2	12	1	0	0	36	0.14285714285714285	36
6196660	Veths	1	10	1	0	0	37	0.09090909090909091	37
6197838	CxC | Lutra	1	12	1	0	0	38	0.07692307692307693	38
6196583	K.H.D | Reign	0	12	1	0	0	39	0.0	39
6197604	Serafin	0	2	1	0	0	39	0.0	39
6197297	TreyTheTrashman	0	4	1	0	0	39	0.0	39
6198395	Egsid	0	2	1	0	0	39	0.0	39
