SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement,WinPercentage,PlacePoints,Points,Rank
6368602,Fiction,14,4,0,0,0,1,0,7,0.7777777777777778,75.0,104.0,6.0
6368291,SANS | Blues Clues,15,7,0,0,0,1,0,13,0.6818181818181818,25.0,55.0,12.0
6366905,bobby big ballz,13,6,0,0,0,1,0,9,0.6842105263157895,45.0,73.0,8.0
6368912,EP | Justus,14,9,0,0,1,0,0,17,0.6086956521739131,10.0,34.0,16.0
6367978,306 | Polo,8,3,0,0,1,0,0,17,0.7272727272727273,10.0,28.0,21.0
6369444,CLG. | SFAT,12,4,0,0,1,0,0,2,0.75,175.0,197.0,2.0
6356897,KoDoRiN,8,3,0,0,1,0,0,5,0.7272727272727273,95.0,113.0,5.0
6369263,DD,7,4,0,0,1,0,0,13,0.6363636363636364,25.0,42.0,15.0
6367325,MIOM | Toph,8,5,0,0,1,0,0,17,0.6153846153846154,10.0,28.0,21.0
6368952,ABG | salami,8,5,0,0,1,0,0,17,0.6153846153846154,10.0,28.0,21.0
6369312,Hulka,9,6,0,0,1,0,0,17,0.6,10.0,29.0,17.0
6366838,cliché,12,7,0,0,1,0,0,9,0.631578947368421,45.0,67.0,9.0
6369140,billybopeep,8,6,0,0,1,0,0,17,0.5714285714285714,10.0,28.0,21.0
6367624,306 | Amrak,6,4,0,1,0,0,0,-1,0.6,0.0,11.0,35.0
6369283,:3 | Marrgasm,7,3,0,1,0,0,0,-1,0.7,0.0,12.0,29.0
6368866,Cock Lot | JEEPER,11,15,0,1,0,0,0,-1,0.4230769230769231,0.0,16.0,24.0
6369459,NOOT,4,3,0,1,0,0,0,-1,0.5714285714285714,0.0,9.0,38.0
6367633,Musashi,6,5,0,1,0,0,0,-1,0.5454545454545454,0.0,11.0,35.0
6367430,W8ASec,7,7,0,1,0,0,0,-1,0.5,0.0,12.0,29.0
6368104,RedX,7,10,1,0,0,0,0,-1,0.4117647058823529,0.0,8.0,41.0
6368962,Thad <3,5,4,0,1,0,0,0,-1,0.5555555555555556,0.0,10.0,36.0
6366956,Slump,7,12,1,0,0,0,0,-1,0.3684210526315789,0.0,8.0,41.0
6368694,Theftz,3,6,1,0,0,0,0,-1,0.3333333333333333,0.0,4.0,45.0
6368005,Pipe,6,13,0,1,0,0,0,-1,0.3157894736842105,0.0,11.0,35.0
6367874,TheFormuoli,10,14,1,0,0,0,0,-1,0.4166666666666667,0.0,11.0,35.0
6368973,Vitro,4,6,1,0,0,0,0,-1,0.4,0.0,5.0,44.0
6368869,DiscipleOfBorp,4,11,1,0,0,0,0,-1,0.26666666666666666,0.0,5.0,44.0
6368228,jams,4,16,1,0,0,0,0,-1,0.2,0.0,5.0,44.0
6367552,Ringler,1,11,1,0,0,0,0,-1,0.08333333333333333,0.0,2.0,54.0
6367522,N8V,1,8,1,0,0,0,0,-1,0.1111111111111111,0.0,2.0,54.0
6368095,CarltonDanks,0,5,1,0,0,0,0,-1,0.0,0.0,1.0,59.0
6369247,Pawn,0,17,1,0,0,0,0,-1,0.0,0.0,1.0,59.0
6366170,LSD,14,3,0,0,0,1,0,5,0.8235294117647058,95.0,124.0,4.0
6367425,Ginger,20,4,0,0,0,1,0,1,0.8333333333333334,200.0,235.0,1.0
6367931,Dom,13,6,0,0,1,0,0,7,0.6842105263157895,75.0,98.0,7.0
6368829,Revenge | Gahtzu,8,2,0,0,1,0,0,3,0.8,150.0,168.0,3.0
6366795,Golden,8,3,0,0,1,0,0,9,0.7272727272727273,45.0,63.0,11.0
6368275,GHQ | Zamu,11,5,0,0,1,0,0,9,0.6875,45.0,66.0,10.0
6367932,Chem,13,10,0,0,1,0,0,13,0.5652173913043478,25.0,48.0,13.0
6368181,Captain G,12,10,0,0,1,0,0,13,0.5454545454545454,25.0,47.0,14.0
6368884,GST | Ryobeat,6,2,0,1,0,0,0,-1,0.75,0.0,11.0,35.0
6368318,Hunybear,12,9,0,1,0,0,0,-1,0.5714285714285714,0.0,17.0,22.0
6368273,Dawson,9,8,0,1,0,0,0,-1,0.5294117647058824,0.0,14.0,26.0
6368598,2Framez,6,3,0,1,0,0,0,-1,0.6666666666666666,0.0,11.0,35.0
6368303,DarkGenex,11,11,0,1,0,0,0,-1,0.5,0.0,16.0,24.0
6367981,Milo,10,10,0,1,0,0,0,-1,0.5,0.0,15.0,25.0
6367525,ANTIFA CEO | Quiggles,11,14,1,0,0,0,0,-1,0.44,0.0,12.0,29.0
6368961,TG NBR | Panos,4,4,0,1,0,0,0,-1,0.5,0.0,9.0,38.0
6367756,OtES,7,12,1,0,0,0,0,-1,0.3684210526315789,0.0,8.0,41.0
6369066,Miranda,2,4,1,0,0,0,0,-1,0.3333333333333333,0.0,3.0,48.0
6367596,ericiscool.net,1,2,1,0,0,0,0,-1,0.3333333333333333,0.0,2.0,54.0
6368861,Chewy,2,8,1,0,0,0,0,-1,0.2,0.0,3.0,48.0
6368974,Alex18+,2,8,1,0,0,0,0,-1,0.2,0.0,3.0,48.0
6368024,Fishpaste,1,9,1,0,0,0,0,-1,0.1,0.0,2.0,54.0
6368462,Strazz,1,9,1,0,0,0,0,-1,0.1,0.0,2.0,54.0
6368026,radvillainy,1,11,1,0,0,0,0,-1,0.08333333333333333,0.0,2.0,54.0
6368010,Blu-J,0,2,1,0,0,0,0,-1,0.0,0.0,1.0,59.0
6368182,Frost | JJK,0,4,1,0,0,0,0,-1,0.0,0.0,1.0,59.0
6369110,Afron,0,4,1,0,0,0,0,-1,0.0,0.0,1.0,59.0
