SmasherID,SmashTag,Wins,Losses,Placement
6369267,Ginger,8,1,1
6369679,CLG. | SFAT,4,2,2
6369269,Revenge | Gahtzu,3,2,3
6369678,S2J,4,2,4
6369265,LSD,2,2,5
6369697,KoDoRiN,2,2,5
6369268,Dom,3,2,7
6369684,Fiction,3,2,7
6369687,bobby big ballz,1,2,9
6369272,Golden,2,2,9
6369689,cliché,2,2,9
6369273,GHQ | Zamu,2,2,9
6369274,Chem,2,2,13
6369682,DD,1,2,13
6369686,SANS | Blues Clues,1,2,13
6369276,Captain G,1,2,13
6369691,MIOM | Toph,0,2,17
6369704,EP | Justus,1,2,17
6369708,Hulka,0,2,17
6369693,306 | Polo,1,2,17
6369700,ABG | salami,0,2,17
6369703,billybopeep,0,2,17
