SmasherID,SmashTag,Wins,Losses,Prospect,Rookie,Pro,AllStar,HallOfFame,Placement
1016,Fiction,11,2,0,0,0,1,0,1
64692,SANS | Blues Clues,14,5,0,0,0,1,0,2
65777,bobby big ballz,12,4,0,0,0,1,0,3
279722,EP | Justus,13,7,0,0,1,0,0,4
61873,306 | Polo,7,1,0,0,1,0,0,5
1019,CLG. | SFAT,8,2,0,0,1,0,0,6
26750,KoDoRiN,6,1,0,0,1,0,0,7
10485,DD,6,2,0,0,1,0,0,8
4127,MIOM | Toph,8,3,0,0,1,0,0,9
294260,ABG | salami,8,3,0,0,1,0,0,9
3734,Hulka,9,4,0,0,1,0,0,11
927948,cliché,10,5,0,0,1,0,0,12
135157,billybopeep,8,4,0,0,1,0,0,12
585236,306 | Amrak,6,4,0,1,0,0,0,14
327212,:3 | Marrgasm,7,3,0,1,0,0,0,15
12137,Cock Lot | JEEPER,11,15,0,1,0,0,0,16
265808,NOOT,4,3,0,1,0,0,0,17
27862,Musashi,6,5,0,1,0,0,0,18
38175,W8ASec,7,7,0,1,0,0,0,19
38643,RedX,7,10,1,0,0,0,0,20
286517,Thad <3,5,4,0,1,0,0,0,21
407878,Slump,7,12,1,0,0,0,0,22
4864,Theftz,3,6,1,0,0,0,0,23
627118,Pipe,6,13,0,1,0,0,0,24
391890,TheFormuoli,10,14,1,0,0,0,0,25
51608,Vitro,4,6,1,0,0,0,0,26
14617,DiscipleOfBorp,4,11,1,0,0,0,0,27
288395,jams,4,16,1,0,0,0,0,28
53365,Ringler,1,11,1,0,0,0,0,29
617254,N8V,1,8,1,0,0,0,0,30
2082068,CarltonDanks,0,5,1,0,0,0,0,31
40403,Pawn,0,17,1,0,0,0,0,31
61897,LSD,12,1,0,0,0,1,0,1
3561,Ginger,12,3,0,0,0,1,0,2
21215,Dom,10,4,0,0,1,0,0,3
1077,Revenge | Gahtzu,5,0,0,0,1,0,0,4
138710,Golden,6,1,0,0,1,0,0,5
23920,GHQ | Zamu,9,3,0,0,1,0,0,6
709843,Chem,11,8,0,0,1,0,0,7
185618,Captain G,11,8,0,0,1,0,0,7
4748,GST | Ryobeat,6,2,0,1,0,0,0,9
465131,Hunybear,12,9,0,1,0,0,0,10
147811,Dawson,9,8,0,1,0,0,0,11
257025,2Framez,6,3,0,1,0,0,0,12
26153,DarkGenex,11,11,0,1,0,0,0,13
353165,Milo,10,10,0,1,0,0,0,14
5618,ANTIFA CEO | Quiggles,11,14,1,0,0,0,0,15
16066,TG NBR | Panos,4,4,0,1,0,0,0,16
45356,OtES,7,12,1,0,0,0,0,17
65566,Miranda,2,4,1,0,0,0,0,18
255496,ericiscool.net,1,2,1,0,0,0,0,19
158148,Chewy,2,8,1,0,0,0,0,20
241260,Alex18+,2,8,1,0,0,0,0,20
925369,Fishpaste,1,9,1,0,0,0,0,22
11945,Strazz,1,9,1,0,0,0,0,23
155077,radvillainy,1,11,1,0,0,0,0,24
13622,Blu-J,0,2,1,0,0,0,0,25
424095,Frost | JJK,0,4,1,0,0,0,0,25
357233,Afron,0,4,1,0,0,0,0,25
